wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
3.0,360.0,60.0,13638.0,13858.0,13706.0,17694.0,13638.0,14928.0,14528.0,14979.0,14330.0,17247.0
4.0,360.0,60.0,15549.0,15782.0,15504.0,19406.0,15549.0,17348.0,16760.0,17137.0,17449.0,19272.0
4.0,360.0,60.0,15338.0,15579.0,15579.0,19497.0,15338.0,17218.0,16624.0,17100.0,17042.0,19241.0
4.0,360.0,60.0,15035.0,15356.0,15109.0,19541.0,15035.0,16800.0,16444.0,16580.0,16656.0,19216.0
2.0,400.0,0.0,13577.0,13792.0,13665.0,15043.0,13577.0,14774.0,14454.0,14142.0,14142.0,15482.0
2.0,400.0,0.0,13176.0,13289.0,13220.0,14926.0,13176.0,14338.0,14187.0,14616.0,14616.0,15437.0
2.0,400.0,0.0,12669.0,12686.0,12669.0,14841.0,12669.0,13947.0,13834.0,15021.0,15021.0,15319.0
3.0,400.0,0.0,15605.0,16223.0,15669.0,18002.0,15605.0,17411.0,17195.0,16995.0,16995.0,18622.0
3.0,400.0,0.0,15577.0,15914.0,15309.0,17964.0,15577.0,17143.0,16911.0,16494.0,16494.0,18589.0
3.0,400.0,0.0,15336.0,15513.0,15059.0,17795.0,15336.0,16715.0,16560.0,16055.0,16055.0,18480.0
4.0,400.0,0.0,16928.0,17465.0,17055.0,19857.0,16928.0,19163.0,18782.0,19038.0,19038.0,20594.0
4.0,400.0,0.0,16687.0,17173.0,16853.0,19853.0,16687.0,18837.0,18493.0,18876.0,18876.0,20574.0
4.0,400.0,0.0,16390.0,16905.0,16518.0,19863.0,16390.0,18412.0,18224.0,18394.0,18394.0,20493.0
2.0,480.0,80.0,12007.0,12123.0,12032.0,14901.0,12007.0,12855.0,12832.0,12405.0,12243.0,14436.0
2.0,480.0,80.0,12309.0,11617.0,11600.0,14936.0,12309.0,12560.0,12614.0,12797.0,11797.0,14337.0
2.0,480.0,80.0,11184.0,11220.0,11179.0,15003.0,11184.0,11972.0,12312.0,13101.0,11324.0,14084.0
3.0,480.0,80.0,14287.0,14524.0,14263.0,17647.0,14287.0,15282.0,15196.0,15078.0,15314.0,17342.0
3.0,480.0,80.0,14157.0,14232.0,14025.0,17740.0,14157.0,15118.0,14958.0,14709.0,14826.0,17343.0
3.0,480.0,80.0,13867.0,13752.0,13556.0,17806.0,13867.0,14812.0,14535.0,14199.0,14278.0,17267.0
4.0,480.0,80.0,15711.0,15881.0,15496.0,19693.0,15711.0,17051.0,16916.0,16923.0,17488.0,19292.0
4.0,480.0,80.0,15444.0,15630.0,15605.0,19851.0,15444.0,16977.0,16805.0,16646.0,16980.0,19306.0
4.0,480.0,80.0,15189.0,15408.0,15273.0,19637.0,15189.0,16770.0,16666.0,16290.0,16432.0,19232.0
2.0,500.0,0.0,13458.0,13651.0,13543.0,15180.0,13458.0,14862.0,14394.0,13873.0,13873.0,15485.0
2.0,500.0,0.0,13851.0,13176.0,13076.0,15039.0,13851.0,14493.0,14016.0,14359.0,14359.0,15449.0
2.0,500.0,0.0,14074.0,12624.0,12588.0,14875.0,14074.0,14142.0,13712.0,14854.0,14854.0,15323.0
3.0,500.0,0.0,15436.0,16215.0,15658.0,18016.0,15436.0,17669.0,16999.0,16826.0,16826.0,18647.0
3.0,500.0,0.0,15375.0,15829.0,15446.0,17933.0,15375.0,17460.0,16785.0,16991.0,16991.0,18589.0
3.0,500.0,0.0,15031.0,15409.0,14977.0,17929.0,15031.0,17115.0,16400.0,17104.0,17104.0,18480.0
4.0,500.0,0.0,16710.0,17420.0,16817.0,19861.0,16710.0,19340.0,18713.0,18955.0,18955.0,20597.0
4.0,500.0,0.0,16798.0,17189.0,16654.0,20007.0,16798.0,19088.0,18415.0,18973.0,18973.0,20581.0
4.0,500.0,0.0,16621.0,17065.0,16419.0,19904.0,16621.0,18896.0,18056.0,19179.0,19179.0,20488.0
2.0,600.0,100.0,11928.0,12102.0,11911.0,14986.0,11928.0,12797.0,12765.0,12197.0,12280.0,14446.0
2.0,600.0,100.0,11610.0,11642.0,11549.0,15046.0,11610.0,12616.0,12516.0,12620.0,11793.0,14352.0
2.0,600.0,100.0,11241.0,11275.0,11235.0,14909.0,11241.0,12176.0,12174.0,12866.0,11350.0,14096.0
3.0,600.0,100.0,14121.0,14269.0,14070.0,17915.0,14121.0,15174.0,15037.0,14952.0,15216.0,17383.0
3.0,600.0,100.0,13919.0,14016.0,13803.0,17956.0,13919.0,14927.0,14713.0,15021.0,14683.0,17354.0
3.0,600.0,100.0,13612.0,13669.0,13492.0,17921.0,13612.0,14706.0,14438.0,15182.0,14075.0,17237.0
4.0,600.0,100.0,15324.0,15842.0,15364.0,19762.0,15324.0,17035.0,16850.0,16998.0,17312.0,19280.0
4.0,600.0,100.0,15140.0,15536.0,15226.0,19701.0,15140.0,16922.0,16673.0,16990.0,16837.0,19288.0
4.0,600.0,100.0,15129.0,15253.0,15087.0,19895.0,15129.0,16638.0,16505.0,16936.0,16337.0,19224.0
2.0,600.0,0.0,13654.0,13850.0,13652.0,15184.0,13654.0,14886.0,14468.0,14205.0,14205.0,15512.0
2.0,600.0,0.0,13292.0,13453.0,13261.0,15083.0,13292.0,14578.0,14147.0,14673.0,14673.0,15484.0
2.0,600.0,0.0,13756.0,12963.0,12864.0,14958.0,13756.0,14260.0,13807.0,15060.0,15060.0,15336.0
3.0,600.0,0.0,15382.0,15855.0,15507.0,18110.0,15382.0,17755.0,16968.0,17063.0,17063.0,18647.0
3.0,600.0,0.0,15225.0,15676.0,15240.0,17987.0,15225.0,17495.0,16701.0,16817.0,16817.0,18617.0
3.0,600.0,0.0,14848.0,15323.0,14899.0,17870.0,14848.0,17022.0,16411.0,16400.0,16400.0,18509.0
4.0,600.0,0.0,16455.0,17076.0,16625.0,19935.0,16455.0,19362.0,18635.0,18966.0,18966.0,20629.0
4.0,600.0,0.0,16259.0,16808.0,16287.0,19979.0,16259.0,19225.0,18267.0,18734.0,18734.0,20614.0
4.0,600.0,0.0,16256.0,16533.0,16164.0,19896.0,16256.0,18931.0,17946.0,18590.0,18590.0,20557.0
2.0,720.0,120.0,12069.0,12416.0,12104.0,14966.0,12069.0,12909.0,12817.0,12507.0,12513.0,14460.0
2.0,720.0,120.0,11665.0,11945.0,11819.0,15139.0,11665.0,12623.0,12555.0,12860.0,12050.0,14366.0
2.0,720.0,120.0,11349.0,11434.0,11335.0,15020.0,11349.0,12227.0,12247.0,13172.0,11501.0,14071.0
3.0,720.0,120.0,13994.0,14295.0,14059.0,18029.0,13994.0,15240.0,15099.0,15100.0,15459.0,17408.0
3.0,720.0,120.0,13942.0,14197.0,13882.0,18029.0,13942.0,14994.0,14880.0,14947.0,14985.0,17373.0
3.0,720.0,120.0,13618.0,13925.0,13613.0,17963.0,13618.0,14732.0,14637.0,14509.0,14489.0,17288.0
4.0,720.0,120.0,15328.0,15479.0,15244.0,19948.0,15328.0,17042.0,16815.0,16888.0,17433.0,19325.0
4.0,720.0,120.0,15168.0,15277.0,15083.0,19840.0,15168.0,16957.0,16704.0,16888.0,17084.0,19331.0
4.0,720.0,120.0,15021.0,15085.0,14851.0,19755.0,15021.0,16702.0,16429.0,16848.0,16619.0,19251.0
2.0,700.0,0.0,13531.0,13858.0,13616.0,15169.0,13531.0,14993.0,14373.0,14138.0,14138.0,15528.0
2.0,700.0,0.0,13222.0,13466.0,13261.0,15187.0,13222.0,14697.0,13983.0,13662.0,13662.0,15481.0
2.0,700.0,0.0,12796.0,12938.0,12811.0,14965.0,12796.0,14191.0,13644.0,13101.0,13101.0,15327.0
3.0,700.0,0.0,15292.0,16007.0,15287.0,18147.0,15292.0,17738.0,16915.0,16980.0,16980.0,18677.0
3.0,700.0,0.0,15287.0,15810.0,15192.0,18187.0,15287.0,17467.0,16681.0,16542.0,16542.0,18657.0
3.0,700.0,0.0,15000.0,15349.0,14896.0,18077.0,15000.0,17183.0,16426.0,16159.0,16159.0,18555.0
4.0,700.0,0.0,16298.0,16982.0,16346.0,20176.0,16298.0,19448.0,18742.0,19248.0,19248.0,20669.0
4.0,700.0,0.0,16042.0,16753.0,16256.0,20064.0,16042.0,19293.0,18365.0,19234.0,19234.0,20656.0
4.0,700.0,0.0,15948.0,16677.0,16073.0,20123.0,15948.0,18860.0,18055.0,19209.0,19209.0,20556.0
2.0,840.0,140.0,12014.0,12267.0,12017.0,15063.0,12014.0,12850.0,12700.0,12433.0,12516.0,14470.0
2.0,840.0,140.0,11650.0,11875.0,11677.0,15223.0,11650.0,12539.0,12433.0,11944.0,12053.0,14371.0
2.0,840.0,140.0,11326.0,11440.0,11334.0,15163.0,11326.0,12154.0,12212.0,11429.0,11507.0,14109.0
3.0,840.0,140.0,13905.0,14271.0,13913.0,18086.0,13905.0,15222.0,15183.0,15220.0,15442.0,17404.0
3.0,840.0,140.0,14030.0,14118.0,13740.0,18105.0,14030.0,15062.0,14942.0,14930.0,15032.0,17401.0
3.0,840.0,140.0,13818.0,13749.0,13512.0,18137.0,13818.0,14793.0,14601.0,14358.0,14537.0,17300.0
4.0,840.0,140.0,15148.0,15425.0,15132.0,20044.0,15148.0,17035.0,16756.0,17003.0,17545.0,19341.0
4.0,840.0,140.0,14975.0,15205.0,14983.0,20086.0,14975.0,16958.0,16552.0,17081.0,17158.0,19354.0
4.0,840.0,140.0,14844.0,15006.0,14747.0,20067.0,14844.0,16748.0,16388.0,17147.0,16692.0,19270.0
2.0,800.0,0.0,13399.0,13781.0,13416.0,15218.0,13399.0,14945.0,14325.0,14206.0,14206.0,15485.0
2.0,800.0,0.0,12997.0,13376.0,13159.0,15107.0,12997.0,14655.0,14055.0,13704.0,13704.0,15433.0
2.0,800.0,0.0,12672.0,12934.0,12769.0,14904.0,12672.0,14250.0,13716.0,13199.0,13199.0,15277.0
3.0,800.0,0.0,14860.0,15720.0,15056.0,18182.0,14860.0,17612.0,16947.0,17137.0,17137.0,18590.0
3.0,800.0,0.0,14978.0,15473.0,14803.0,18168.0,14978.0,17390.0,16592.0,16573.0,16573.0,18549.0
3.0,800.0,0.0,14856.0,15217.0,14658.0,18016.0,14856.0,16986.0,16275.0,16088.0,16088.0,18468.0
4.0,800.0,0.0,15974.0,16463.0,15875.0,19922.0,15974.0,19339.0,18511.0,18994.0,18994.0,20555.0
4.0,800.0,0.0,15820.0,16461.0,15752.0,19888.0,15820.0,19064.0,18326.0,18513.0,18513.0,20533.0
4.0,800.0,0.0,15643.0,16229.0,15534.0,19959.0,15643.0,18808.0,18052.0,18130.0,18130.0,20468.0
2.0,960.0,160.0,11838.0,12240.0,11960.0,15171.0,11838.0,12871.0,12734.0,12384.0,12419.0,14426.0
2.0,960.0,160.0,11952.0,11788.0,11634.0,15085.0,11952.0,12598.0,12527.0,12004.0,11984.0,14339.0
2.0,960.0,160.0,11274.0,11395.0,11276.0,15156.0,11274.0,12066.0,12235.0,11666.0,11541.0,14074.0
3.0,960.0,160.0,13626.0,14050.0,13687.0,18013.0,13626.0,15206.0,15102.0,15111.0,15424.0,17337.0
3.0,960.0,160.0,13525.0,13909.0,13591.0,18162.0,13525.0,15080.0,14839.0,14696.0,15040.0,17303.0
3.0,960.0,160.0,13268.0,13647.0,13329.0,17992.0,13268.0,14779.0,14435.0,14268.0,14505.0,17226.0
4.0,960.0,160.0,14776.0,15175.0,14745.0,19936.0,14776.0,17002.0,16719.0,16771.0,17474.0,19252.0
4.0,960.0,160.0,14644.0,15074.0,14579.0,20024.0,14644.0,16921.0,16587.0,16525.0,16971.0,19239.0
4.0,960.0,160.0,14829.0,14697.0,14435.0,19981.0,14829.0,16719.0,16305.0,16038.0,16548.0,19196.0
2.0,900.0,0.0,13285.0,13683.0,13386.0,15242.0,13285.0,15059.0,14263.0,14168.0,14168.0,15539.0
2.0,900.0,0.0,13017.0,13405.0,13201.0,15172.0,13017.0,14761.0,13989.0,13700.0,13700.0,15493.0
2.0,900.0,0.0,13291.0,13006.0,12836.0,15043.0,13291.0,14493.0,13649.0,13197.0,13197.0,15361.0
3.0,900.0,0.0,14913.0,15384.0,14808.0,18344.0,14913.0,18020.0,16956.0,17338.0,17338.0,18734.0
3.0,900.0,0.0,14720.0,15186.0,14763.0,18233.0,14720.0,17721.0,16667.0,16985.0,16985.0,18682.0
3.0,900.0,0.0,14569.0,15131.0,14564.0,18242.0,14569.0,17402.0,16371.0,16461.0,16461.0,18588.0
4.0,900.0,0.0,15610.0,16182.0,15730.0,20198.0,15610.0,19617.0,18659.0,19299.0,19299.0,20727.0
4.0,900.0,0.0,15618.0,16164.0,15457.0,20110.0,15618.0,19454.0,18365.0,19072.0,19072.0,20696.0
4.0,900.0,0.0,15523.0,16129.0,15407.0,20279.0,15523.0,19291.0,18105.0,18673.0,18673.0,20624.0
2.0,1080.0,180.0,11854.0,12341.0,11958.0,15210.0,11854.0,12834.0,12720.0,12524.0,12660.0,14483.0
2.0,1080.0,180.0,11908.0,11969.0,11809.0,15185.0,11908.0,12615.0,12464.0,12066.0,12165.0,14412.0
2.0,1080.0,180.0,11478.0,11530.0,11354.0,15165.0,11478.0,12093.0,12124.0,11576.0,11643.0,14144.0
3.0,1080.0,180.0,13778.0,13893.0,13544.0,18169.0,13778.0,15174.0,15128.0,15277.0,15555.0,17459.0
3.0,1080.0,180.0,13600.0,13856.0,13560.0,18209.0,13600.0,14931.0,14808.0,15078.0,15133.0,17470.0
3.0,1080.0,180.0,13416.0,13569.0,13189.0,18282.0,13416.0,14660.0,14406.0,14766.0,14625.0,17346.0
4.0,1080.0,180.0,14714.0,14919.0,14499.0,20183.0,14714.0,16979.0,16816.0,17128.0,17757.0,19430.0
4.0,1080.0,180.0,14824.0,14757.0,14394.0,20209.0,14824.0,16794.0,16521.0,16668.0,17293.0,19397.0
4.0,1080.0,180.0,14676.0,14646.0,14282.0,20215.0,14676.0,16601.0,16297.0,16608.0,16821.0,19340.0
2.0,1000.0,0.0,13181.0,13530.0,13167.0,15204.0,13181.0,14993.0,14330.0,14204.0,14204.0,15481.0
2.0,1000.0,0.0,13177.0,13145.0,13050.0,15112.0,13177.0,14660.0,14022.0,13649.0,13649.0,15439.0
2.0,1000.0,0.0,13190.0,12845.0,12762.0,14888.0,13190.0,14270.0,13690.0,13144.0,13144.0,15303.0
3.0,1000.0,0.0,14661.0,15044.0,14544.0,18282.0,14661.0,17780.0,16828.0,17077.0,17077.0,18600.0
3.0,1000.0,0.0,14486.0,15221.0,14410.0,18230.0,14486.0,17483.0,16572.0,16527.0,16527.0,18579.0
3.0,1000.0,0.0,14311.0,14754.0,14358.0,18028.0,14311.0,17054.0,16223.0,16087.0,16087.0,18460.0
4.0,1000.0,0.0,15319.0,15833.0,15383.0,20227.0,15319.0,19364.0,18498.0,19133.0,19133.0,20574.0
4.0,1000.0,0.0,15426.0,15663.0,15269.0,20203.0,15426.0,19172.0,18271.0,18656.0,18656.0,20559.0
4.0,1000.0,0.0,15212.0,15552.0,15058.0,20008.0,15212.0,19073.0,18020.0,18136.0,18136.0,20482.0
2.0,1200.0,200.0,11786.0,12048.0,11765.0,15153.0,11786.0,12806.0,12784.0,12495.0,12548.0,14435.0
2.0,1200.0,200.0,11570.0,11770.0,11609.0,15063.0,11570.0,12594.0,12419.0,11977.0,12064.0,14349.0
2.0,1200.0,200.0,11347.0,11430.0,11320.0,15130.0,11347.0,12097.0,12124.0,11452.0,11533.0,14084.0
3.0,1200.0,200.0,13479.0,13743.0,13321.0,18164.0,13479.0,15071.0,14983.0,15169.0,15507.0,17355.0
3.0,1200.0,200.0,13348.0,13615.0,13239.0,18106.0,13348.0,14919.0,14681.0,14630.0,14947.0,17335.0
3.0,1200.0,200.0,13160.0,13142.0,12895.0,18250.0,13160.0,14605.0,14396.0,14332.0,14462.0,17243.0
4.0,1200.0,200.0,14429.0,14738.0,14197.0,20089.0,14429.0,16843.0,16645.0,16909.0,17398.0,19298.0
4.0,1200.0,200.0,14404.0,14646.0,14225.0,19997.0,14404.0,16716.0,16375.0,16349.0,17074.0,19247.0
4.0,1200.0,200.0,14458.0,14499.0,14016.0,19997.0,14458.0,16622.0,16207.0,15982.0,16590.0,19193.0
