wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,48000.0,8000.0,1.3653e6,1.356139e6,1.372447e6,1.37329e6,1.410124e6
3.0,48000.0,8000.0,1.662276e6,1.662276e6,1.701625e6,1.752789e6,1.740741e6
3.0,48000.0,8000.0,1.652023e6,1.652023e6,1.683115e6,1.739121e6,1.737765e6
3.0,48000.0,8000.0,1.629913e6,1.629913e6,1.654906e6,1.715257e6,1.728289e6
4.0,48000.0,8000.0,1.838155e6,1.814741e6,1.894945e6,1.963296e6,1.933607e6
4.0,48000.0,8000.0,1.83041e6,1.813783e6,1.880155e6,1.951281e6,1.931592e6
4.0,48000.0,8000.0,1.814884e6,1.814884e6,1.856972e6,1.931535e6,1.925481e6
2.0,50000.0,0.0,1.526369e6,1.504804e6,1.546461e6,1.546461e6,1.551242e6
2.0,50000.0,0.0,1.517844e6,1.498917e6,1.532383e6,1.532383e6,1.546817e6
2.0,50000.0,0.0,1.49945e6,1.483978e6,1.509807e6,1.509807e6,1.533155e6
3.0,50000.0,0.0,1.809143e6,1.775867e6,1.85995e6,1.85995e6,1.866295e6
3.0,50000.0,0.0,1.800503e6,1.771696e6,1.846313e6,1.846313e6,1.862934e6
3.0,50000.0,0.0,1.78681e6,1.760579e6,1.827056e6,1.827056e6,1.852998e6
4.0,50000.0,0.0,1.982254e6,1.944747e6,2.058664e6,2.058664e6,2.065596e6
4.0,50000.0,0.0,1.975024e6,1.940941e6,2.046016e6,2.046016e6,2.062848e6
4.0,50000.0,0.0,1.963085e6,1.931809e6,2.030078e6,2.030078e6,2.054792e6
2.0,60000.0,10000.0,1.403258e6,1.385736e6,1.423779e6,1.421695e6,1.445939e6
2.0,60000.0,10000.0,1.390252e6,1.376339e6,1.40338e6,1.403969e6,1.437151e6
2.0,60000.0,10000.0,1.360372e6,1.349554e6,1.368031e6,1.368668e6,1.410508e6
3.0,60000.0,10000.0,1.655345e6,1.637768e6,1.699213e6,1.749577e6,1.741644e6
3.0,60000.0,10000.0,1.644684e6,1.644684e6,1.679468e6,1.734357e6,1.738484e6
3.0,60000.0,10000.0,1.623233e6,1.623233e6,1.650901e6,1.710161e6,1.729042e6
4.0,60000.0,10000.0,1.830096e6,1.802462e6,1.891701e6,1.960613e6,1.934634e6
4.0,60000.0,10000.0,1.822563e6,1.803047e6,1.876287e6,1.94749e6,1.932697e6
4.0,60000.0,10000.0,1.806941e6,1.806941e6,1.853266e6,1.927505e6,1.92654e6
2.0,60000.0,0.0,1.524098e6,1.498408e6,1.546307e6,1.546307e6,1.551038e6
2.0,60000.0,0.0,1.514837e6,1.493935e6,1.530167e6,1.530167e6,1.546547e6
2.0,60000.0,0.0,1.496324e6,1.478161e6,1.506719e6,1.506719e6,1.532967e6
3.0,60000.0,0.0,1.80283e6,1.766312e6,1.859337e6,1.859337e6,1.866011e6
3.0,60000.0,0.0,1.794592e6,1.762284e6,1.844471e6,1.844471e6,1.862644e6
3.0,60000.0,0.0,1.780162e6,1.750893e6,1.824956e6,1.824956e6,1.852699e6
4.0,60000.0,0.0,1.974011e6,1.933038e6,2.058679e6,2.058679e6,2.06525e6
4.0,60000.0,0.0,1.966658e6,1.930866e6,2.04488e6,2.04488e6,2.06253e6
4.0,60000.0,0.0,1.95403e6,1.920455e6,2.027241e6,2.027241e6,2.054447e6
2.0,72000.0,12000.0,1.398531e6,1.379866e6,1.420744e6,1.418735e6,1.445714e6
