wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,4000.0,0.0,139432.0,140244.0,139576.0,139432.0,151129.0,147405.0,140395.0,140395.0,155050.0
2.0,4000.0,0.0,142647.0,135197.0,134691.0,142647.0,147610.0,144422.0,135041.0,135041.0,154596.0
2.0,4000.0,0.0,129536.0,129814.0,129550.0,129536.0,142860.0,141302.0,129692.0,129692.0,153238.0
3.0,4000.0,0.0,160209.0,168725.0,160017.0,160209.0,179624.0,175776.0,168470.0,168470.0,186491.0
3.0,4000.0,0.0,157332.0,164863.0,157613.0,157332.0,176481.0,172512.0,163321.0,163321.0,186218.0
3.0,4000.0,0.0,154036.0,160903.0,155335.0,154036.0,172778.0,169693.0,158276.0,158276.0,185200.0
4.0,4000.0,0.0,171898.0,183874.0,172634.0,171898.0,199301.0,194705.0,189348.0,189348.0,206426.0
4.0,4000.0,0.0,171581.0,181554.0,170727.0,171581.0,196524.0,191620.0,184958.0,184958.0,206164.0
4.0,4000.0,0.0,169946.0,179551.0,169614.0,169946.0,193685.0,186970.0,179639.0,179639.0,205352.0
2.0,4800.0,800.0,122663.0,124108.0,123102.0,122663.0,130686.0,129199.0,124223.0,124077.0,144561.0
2.0,4800.0,800.0,119005.0,119316.0,119098.0,119005.0,126740.0,127144.0,119380.0,119360.0,143688.0
2.0,4800.0,800.0,114507.0,114291.0,114150.0,114507.0,121394.0,123941.0,114560.0,114385.0,140986.0
3.0,4800.0,800.0,146336.0,151005.0,147964.0,146336.0,156766.0,155559.0,152024.0,152871.0,174114.0
3.0,4800.0,800.0,143930.0,147268.0,143702.0,143930.0,154022.0,152158.0,146337.0,147923.0,173789.0
3.0,4800.0,800.0,139301.0,144360.0,139188.0,139301.0,151157.0,148898.0,142200.0,143083.0,172819.0
4.0,4800.0,800.0,160710.0,163315.0,160248.0,160710.0,176480.0,174395.0,170691.0,174241.0,193350.0
4.0,4800.0,800.0,158174.0,165051.0,157269.0,158174.0,174048.0,172379.0,166596.0,169537.0,193168.0
4.0,4800.0,800.0,157285.0,158214.0,154449.0,157285.0,171280.0,169606.0,161363.0,164634.0,192543.0
2.0,5000.0,0.0,140413.0,141449.0,140346.0,140413.0,152081.0,148219.0,143471.0,143471.0,154953.0
2.0,5000.0,0.0,135728.0,136767.0,136228.0,135728.0,148693.0,144723.0,136737.0,136737.0,154474.0
2.0,5000.0,0.0,131599.0,131603.0,131248.0,131599.0,144446.0,141395.0,131653.0,131653.0,153130.0
3.0,5000.0,0.0,157854.0,167839.0,156912.0,157854.0,181738.0,175668.0,170673.0,170673.0,186335.0
3.0,5000.0,0.0,156445.0,164153.0,155434.0,156445.0,178571.0,172665.0,165394.0,165394.0,186001.0
3.0,5000.0,0.0,153445.0,161052.0,153799.0,153445.0,175180.0,170238.0,160559.0,160559.0,185021.0
4.0,5000.0,0.0,168121.0,180445.0,168325.0,168121.0,200628.0,195252.0,191057.0,191057.0,206210.0
