wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,4000.0,0.0,155297.0,155225.0,155125.0,155297.0,155060.0,155198.0,155223.0,155223.0,155125.0
2.0,4000.0,0.0,154729.0,154812.0,154595.0,154729.0,154573.0,154704.0,154789.0,154789.0,154677.0
2.0,4000.0,0.0,153363.0,153518.0,153230.0,153363.0,153220.0,153376.0,153303.0,153303.0,153331.0
3.0,4000.0,0.0,186688.0,186491.0,186406.0,186688.0,186598.0,186623.0,186506.0,186506.0,186592.0
3.0,4000.0,0.0,186334.0,186203.0,186127.0,186334.0,186100.0,186350.0,186295.0,186295.0,186291.0
3.0,4000.0,0.0,185281.0,185296.0,185019.0,185281.0,185219.0,185312.0,185368.0,185368.0,185273.0
4.0,4000.0,0.0,206457.0,206588.0,206359.0,206457.0,206388.0,206539.0,206628.0,206628.0,206524.0
4.0,4000.0,0.0,206424.0,206247.0,205946.0,206424.0,206083.0,206229.0,206464.0,206464.0,206248.0
4.0,4000.0,0.0,205782.0,205364.0,205299.0,205782.0,205252.0,205566.0,205701.0,205701.0,205391.0
2.0,4800.0,800.0,144751.0,144784.0,144545.0,144751.0,144551.0,144498.0,144642.0,144705.0,144586.0
2.0,4800.0,800.0,143836.0,144085.0,143897.0,143836.0,143631.0,143729.0,143890.0,143911.0,143689.0
2.0,4800.0,800.0,141008.0,141319.0,141180.0,141008.0,140894.0,141218.0,141305.0,141328.0,141032.0
3.0,4800.0,800.0,175438.0,172704.0,173347.0,175438.0,173189.0,173225.0,173158.0,177688.0,174135.0
3.0,4800.0,800.0,174926.0,171780.0,171780.0,174926.0,171777.0,171784.0,172008.0,177328.0,173847.0
3.0,4800.0,800.0,174285.0,169563.0,169563.0,174285.0,169038.0,169149.0,169691.0,175669.0,172866.0
4.0,4800.0,800.0,194897.0,192073.0,192894.0,194897.0,192194.0,192017.0,192089.0,198929.0,193443.0
4.0,4800.0,800.0,194924.0,190963.0,192824.0,194924.0,190759.0,190664.0,190992.0,198600.0,193219.0
4.0,4800.0,800.0,193924.0,189016.0,192369.0,193924.0,188323.0,188339.0,188833.0,197197.0,192614.0
2.0,5000.0,0.0,155012.0,154975.0,154953.0,155012.0,154963.0,154805.0,154729.0,154729.0,154947.0
2.0,5000.0,0.0,154551.0,154526.0,154456.0,154551.0,154383.0,154253.0,154382.0,154382.0,154493.0
2.0,5000.0,0.0,153233.0,153214.0,153070.0,153233.0,153021.0,152928.0,152984.0,152984.0,153133.0
3.0,5000.0,0.0,186492.0,186185.0,186300.0,186492.0,186441.0,186208.0,186347.0,186347.0,186357.0
3.0,5000.0,0.0,186409.0,185797.0,186127.0,186409.0,186155.0,185836.0,185999.0,185999.0,186035.0
3.0,5000.0,0.0,185012.0,184920.0,185183.0,185012.0,185108.0,184858.0,184950.0,184950.0,185018.0
4.0,5000.0,0.0,206074.0,206118.0,206325.0,206074.0,206321.0,206161.0,206144.0,206144.0,206270.0
4.0,5000.0,0.0,205994.0,205980.0,206044.0,205994.0,205992.0,206018.0,205989.0,205989.0,206005.0
4.0,5000.0,0.0,205102.0,205111.0,205348.0,205102.0,205161.0,204914.0,205308.0,205308.0,205136.0
2.0,6000.0,1000.0,144355.0,144416.0,144355.0,144355.0,144388.0,144294.0,144316.0,144364.0,144459.0
2.0,6000.0,1000.0,143574.0,143488.0,143538.0,143574.0,143530.0,143590.0,143527.0,143534.0,143583.0
2.0,6000.0,1000.0,141040.0,140924.0,141018.0,141040.0,140864.0,140858.0,140876.0,140875.0,140927.0
3.0,6000.0,1000.0,175319.0,172300.0,173168.0,175319.0,172953.0,172732.0,172735.0,177268.0,173951.0
3.0,6000.0,1000.0,174510.0,171445.0,171445.0,174510.0,171655.0,171344.0,171617.0,176848.0,173642.0
3.0,6000.0,1000.0,173741.0,169127.0,169127.0,173741.0,169015.0,168674.0,169048.0,175210.0,172679.0
4.0,6000.0,1000.0,194392.0,192726.0,193473.0,194392.0,191777.0,191538.0,191754.0,198457.0,193185.0
4.0,6000.0,1000.0,194390.0,192357.0,193250.0,194390.0,190490.0,190349.0,190602.0,198229.0,192984.0
4.0,6000.0,1000.0,194207.0,189233.0,192184.0,194207.0,188185.0,187885.0,188437.0,196849.0,192382.0
2.0,6000.0,0.0,154862.0,154997.0,154796.0,154862.0,154975.0,154853.0,154923.0,154923.0,154908.0
2.0,6000.0,0.0,154158.0,154564.0,154533.0,154158.0,154527.0,154311.0,154508.0,154508.0,154459.0
2.0,6000.0,0.0,152946.0,153208.0,153208.0,152946.0,153158.0,152834.0,153201.0,153201.0,153109.0
3.0,6000.0,0.0,186336.0,186346.0,186126.0,186336.0,186321.0,186005.0,186154.0,186154.0,186219.0
3.0,6000.0,0.0,185845.0,186003.0,185979.0,185845.0,186095.0,185766.0,185817.0,185817.0,185880.0
3.0,6000.0,0.0,184737.0,184828.0,184840.0,184737.0,185071.0,184720.0,184889.0,184889.0,184874.0
4.0,6000.0,0.0,206010.0,206167.0,205974.0,206010.0,206119.0,205850.0,206295.0,206295.0,205972.0
4.0,6000.0,0.0,205596.0,205657.0,205739.0,205596.0,205926.0,205599.0,206010.0,206010.0,205700.0
4.0,6000.0,0.0,204789.0,204809.0,204681.0,204789.0,205099.0,204933.0,205233.0,205233.0,204925.0
2.0,7200.0,1200.0,144293.0,144375.0,144325.0,144293.0,144307.0,144248.0,144578.0,144581.0,144374.0
2.0,7200.0,1200.0,143409.0,143508.0,143438.0,143409.0,143529.0,143216.0,143639.0,143648.0,143502.0
2.0,7200.0,1200.0,141022.0,140682.0,140820.0,141022.0,140855.0,140648.0,141013.0,140998.0,140833.0
3.0,7200.0,1200.0,175138.0,172736.0,173124.0,175138.0,172866.0,172773.0,172601.0,177318.0,173778.0
3.0,7200.0,1200.0,174572.0,172946.0,173026.0,174572.0,171390.0,171251.0,171435.0,176826.0,173490.0
3.0,7200.0,1200.0,173492.0,172635.0,172557.0,173492.0,168751.0,168655.0,169024.0,175330.0,172536.0
4.0,7200.0,1200.0,194586.0,192375.0,192636.0,194586.0,191668.0,191542.0,191476.0,198596.0,192960.0
4.0,7200.0,1200.0,194327.0,192974.0,192714.0,194327.0,190259.0,190140.0,190445.0,198063.0,192754.0
4.0,7200.0,1200.0,193576.0,192086.0,192538.0,193576.0,188039.0,187876.0,188274.0,196566.0,192125.0
2.0,7000.0,0.0,155451.0,155159.0,155427.0,155451.0,155309.0,155380.0,155151.0,155151.0,155264.0
2.0,7000.0,0.0,154778.0,154767.0,154838.0,154778.0,154923.0,154895.0,154655.0,154655.0,154802.0
2.0,7000.0,0.0,153495.0,153386.0,153405.0,153495.0,153559.0,153446.0,153287.0,153287.0,153457.0
3.0,7000.0,0.0,186626.0,186922.0,187034.0,186626.0,186963.0,186969.0,186927.0,186927.0,186875.0
3.0,7000.0,0.0,186508.0,186474.0,186567.0,186508.0,186615.0,186622.0,186512.0,186512.0,186549.0
3.0,7000.0,0.0,185408.0,185668.0,185470.0,185408.0,185620.0,185652.0,185584.0,185584.0,185518.0
4.0,7000.0,0.0,206952.0,206667.0,206872.0,206952.0,207137.0,206832.0,206851.0,206851.0,206855.0
4.0,7000.0,0.0,206755.0,206692.0,206514.0,206755.0,207076.0,206623.0,206551.0,206551.0,206604.0
4.0,7000.0,0.0,205742.0,205797.0,205849.0,205742.0,206178.0,205889.0,205815.0,205815.0,205802.0
2.0,8400.0,1400.0,144777.0,144748.0,144721.0,144777.0,144852.0,144816.0,144563.0,144587.0,144692.0
2.0,8400.0,1400.0,143795.0,143750.0,143876.0,143795.0,143962.0,144049.0,143732.0,143761.0,143839.0
2.0,8400.0,1400.0,141313.0,141087.0,141152.0,141313.0,141318.0,141182.0,141131.0,141098.0,141163.0
3.0,8400.0,1400.0,175616.0,173322.0,173578.0,175616.0,173528.0,173492.0,173090.0,177779.0,174388.0
3.0,8400.0,1400.0,175584.0,171872.0,171872.0,175584.0,172106.0,172040.0,171880.0,177260.0,174108.0
3.0,8400.0,1400.0,174372.0,169491.0,169491.0,174372.0,169383.0,169324.0,169577.0,175744.0,173120.0
4.0,8400.0,1400.0,195822.0,192236.0,192629.0,195822.0,192432.0,192502.0,192403.0,198966.0,193736.0
4.0,8400.0,1400.0,195159.0,191129.0,192836.0,195159.0,190882.0,191220.0,191308.0,198706.0,193535.0
4.0,8400.0,1400.0,194557.0,189410.0,192149.0,194557.0,188753.0,188821.0,189272.0,197423.0,192920.0
2.0,8000.0,0.0,155005.0,154910.0,155094.0,155005.0,154954.0,154909.0,155142.0,155142.0,155085.0
2.0,8000.0,0.0,154744.0,154554.0,154622.0,154744.0,154580.0,154449.0,154761.0,154761.0,154626.0
2.0,8000.0,0.0,153246.0,153326.0,153281.0,153246.0,153189.0,153052.0,153289.0,153289.0,153274.0
3.0,8000.0,0.0,186557.0,186551.0,186568.0,186557.0,186451.0,186315.0,186443.0,186443.0,186529.0
3.0,8000.0,0.0,186092.0,186091.0,186229.0,186092.0,186096.0,185920.0,186088.0,186088.0,186211.0
3.0,8000.0,0.0,185046.0,185145.0,185249.0,185046.0,185168.0,184846.0,185249.0,185249.0,185208.0
4.0,8000.0,0.0,206535.0,206444.0,206592.0,206535.0,206395.0,206227.0,206499.0,206499.0,206457.0
4.0,8000.0,0.0,205954.0,206041.0,205930.0,205954.0,205965.0,206012.0,206180.0,206180.0,206142.0
4.0,8000.0,0.0,205361.0,205243.0,205496.0,205361.0,205144.0,205263.0,205329.0,205329.0,205337.0
2.0,9600.0,1600.0,144341.0,144504.0,144349.0,144341.0,144450.0,144281.0,144392.0,144424.0,144531.0
2.0,9600.0,1600.0,143674.0,143473.0,143451.0,143674.0,143455.0,143500.0,143555.0,143486.0,143666.0
2.0,9600.0,1600.0,141025.0,140827.0,140825.0,141025.0,140813.0,140964.0,140959.0,140898.0,141007.0
3.0,9600.0,1600.0,175247.0,172229.0,173188.0,175247.0,173055.0,172779.0,172792.0,177628.0,174088.0
3.0,9600.0,1600.0,174807.0,171409.0,171409.0,174807.0,171426.0,171329.0,171568.0,177124.0,173783.0
3.0,9600.0,1600.0,173787.0,169205.0,169205.0,173787.0,168902.0,168706.0,169139.0,175467.0,172788.0
4.0,9600.0,1600.0,194623.0,192111.0,192347.0,194623.0,191895.0,191956.0,191845.0,198566.0,193336.0
4.0,9600.0,1600.0,194565.0,190882.0,192192.0,194565.0,190502.0,190274.0,190787.0,198111.0,193120.0
4.0,9600.0,1600.0,193863.0,188798.0,191636.0,193863.0,188217.0,188028.0,188659.0,196868.0,192516.0
2.0,9000.0,0.0,154923.0,155138.0,154951.0,154923.0,155083.0,155093.0,155120.0,155120.0,154990.0
2.0,9000.0,0.0,154566.0,154643.0,154405.0,154566.0,154614.0,154719.0,154475.0,154475.0,154522.0
2.0,9000.0,0.0,153187.0,153179.0,153173.0,153187.0,153240.0,153367.0,153118.0,153118.0,153186.0
3.0,9000.0,0.0,186240.0,186446.0,186296.0,186240.0,186357.0,186409.0,186344.0,186344.0,186370.0
3.0,9000.0,0.0,185985.0,186107.0,186081.0,185985.0,186094.0,186102.0,185971.0,185971.0,186041.0
3.0,9000.0,0.0,184808.0,185056.0,185202.0,184808.0,185183.0,185144.0,184995.0,184995.0,185025.0
4.0,9000.0,0.0,206163.0,206326.0,206209.0,206163.0,206252.0,206173.0,206267.0,206267.0,206223.0
4.0,9000.0,0.0,205961.0,206148.0,205836.0,205961.0,206028.0,205938.0,205958.0,205958.0,205902.0
4.0,9000.0,0.0,205307.0,205107.0,204967.0,205307.0,205370.0,205193.0,204937.0,204937.0,205116.0
2.0,10800.0,1800.0,144504.0,144440.0,144692.0,144504.0,144369.0,144447.0,144258.0,144442.0,144440.0
2.0,10800.0,1800.0,143492.0,143578.0,143582.0,143492.0,143575.0,143669.0,143385.0,143521.0,143572.0
2.0,10800.0,1800.0,140888.0,140959.0,140889.0,140888.0,140978.0,141024.0,140790.0,140846.0,140915.0
3.0,10800.0,1800.0,175169.0,172455.0,173236.0,175169.0,172927.0,173036.0,172696.0,177420.0,173961.0
3.0,10800.0,1800.0,174826.0,171637.0,171637.0,174826.0,171633.0,171603.0,171546.0,177036.0,173650.0
3.0,10800.0,1800.0,173730.0,169162.0,169162.0,173730.0,169024.0,169030.0,168984.0,175510.0,172670.0
4.0,10800.0,1800.0,194899.0,191756.0,192644.0,194899.0,191858.0,191681.0,191574.0,198331.0,193128.0
4.0,10800.0,1800.0,194067.0,190963.0,192222.0,194067.0,190324.0,190468.0,190458.0,197854.0,192970.0
4.0,10800.0,1800.0,193952.0,188892.0,191821.0,193952.0,188197.0,188178.0,188409.0,196632.0,192338.0
2.0,10000.0,0.0,155049.0,155129.0,155055.0,155049.0,154927.0,155053.0,154968.0,154968.0,155091.0
2.0,10000.0,0.0,154555.0,154781.0,154612.0,154555.0,154591.0,154684.0,154558.0,154558.0,154628.0
2.0,10000.0,0.0,153222.0,153379.0,153416.0,153222.0,153334.0,153273.0,153219.0,153219.0,153271.0
3.0,10000.0,0.0,186629.0,186697.0,186333.0,186629.0,186591.0,186716.0,186426.0,186426.0,186571.0
3.0,10000.0,0.0,186048.0,186258.0,186076.0,186048.0,186300.0,186325.0,186107.0,186107.0,186231.0
3.0,10000.0,0.0,185309.0,185357.0,185138.0,185309.0,185371.0,185336.0,185208.0,185208.0,185240.0
4.0,10000.0,0.0,206466.0,206389.0,206214.0,206466.0,206562.0,206464.0,206502.0,206502.0,206526.0
4.0,10000.0,0.0,205995.0,206388.0,206219.0,205995.0,206173.0,206241.0,206197.0,206197.0,206230.0
4.0,10000.0,0.0,205418.0,205611.0,205417.0,205418.0,205406.0,205423.0,205357.0,205357.0,205421.0
2.0,12000.0,2000.0,144512.0,144679.0,144647.0,144512.0,144706.0,144571.0,144462.0,144492.0,144611.0
2.0,12000.0,2000.0,143694.0,143793.0,143872.0,143694.0,143822.0,143784.0,143679.0,143632.0,143705.0
2.0,12000.0,2000.0,141132.0,141123.0,141176.0,141132.0,141202.0,141062.0,141112.0,141143.0,141048.0
3.0,12000.0,2000.0,175248.0,172497.0,173083.0,175248.0,173205.0,173283.0,172966.0,177590.0,174136.0
3.0,12000.0,2000.0,175019.0,171718.0,171718.0,175019.0,171768.0,171796.0,171651.0,177125.0,173793.0
3.0,12000.0,2000.0,173853.0,169423.0,169423.0,173853.0,168989.0,169160.0,169252.0,175516.0,172861.0
4.0,12000.0,2000.0,194686.0,192088.0,192948.0,194686.0,192222.0,192185.0,191905.0,198793.0,193424.0
4.0,12000.0,2000.0,194443.0,191079.0,192427.0,194443.0,190832.0,190914.0,190929.0,198368.0,193219.0
4.0,12000.0,2000.0,194231.0,188962.0,191706.0,194231.0,188451.0,188671.0,188687.0,197155.0,192618.0
2.0,11000.0,0.0,155087.0,155026.0,154922.0,155087.0,155109.0,154966.0,154907.0,154907.0,154930.0
2.0,11000.0,0.0,154662.0,154579.0,154324.0,154662.0,154655.0,154444.0,154443.0,154443.0,154495.0
2.0,11000.0,0.0,153280.0,153219.0,153121.0,153280.0,153283.0,153143.0,153128.0,153128.0,153118.0
3.0,11000.0,0.0,186346.0,186265.0,186386.0,186346.0,186451.0,186276.0,186140.0,186140.0,186266.0
3.0,11000.0,0.0,186272.0,186031.0,186010.0,186272.0,186179.0,186010.0,185883.0,185883.0,185965.0
3.0,11000.0,0.0,185066.0,185110.0,185038.0,185066.0,185180.0,185178.0,185058.0,185058.0,184944.0
4.0,11000.0,0.0,206091.0,206292.0,205945.0,206091.0,206262.0,206191.0,206157.0,206157.0,206104.0
4.0,11000.0,0.0,205868.0,205956.0,205982.0,205868.0,206018.0,205923.0,205975.0,205975.0,205827.0
4.0,11000.0,0.0,205008.0,204991.0,205324.0,205008.0,205250.0,205047.0,205069.0,205069.0,205024.0
2.0,13200.0,2200.0,144378.0,144547.0,144589.0,144378.0,144585.0,144443.0,144479.0,144451.0,144399.0
2.0,13200.0,2200.0,143648.0,143474.0,143454.0,143648.0,143548.0,143499.0,143542.0,143474.0,143525.0
2.0,13200.0,2200.0,140873.0,140809.0,140815.0,140873.0,140959.0,140900.0,140920.0,140868.0,140881.0
3.0,13200.0,2200.0,175212.0,172155.0,173115.0,175212.0,173027.0,173016.0,172768.0,177328.0,173853.0
3.0,13200.0,2200.0,174873.0,171629.0,172784.0,174873.0,171658.0,171606.0,171563.0,176877.0,173541.0
3.0,13200.0,2200.0,173651.0,169337.0,169337.0,173651.0,168914.0,168957.0,169005.0,175331.0,172597.0
4.0,13200.0,2200.0,194723.0,191692.0,192501.0,194723.0,191869.0,191716.0,191554.0,198376.0,193067.0
4.0,13200.0,2200.0,194422.0,190875.0,192079.0,194422.0,190597.0,190298.0,190414.0,197890.0,192896.0
4.0,13200.0,2200.0,193916.0,188868.0,190964.0,193916.0,188399.0,187940.0,188421.0,196568.0,192271.0
2.0,12000.0,0.0,155088.0,155097.0,155110.0,155088.0,154845.0,154942.0,154997.0,154997.0,155034.0
2.0,12000.0,0.0,154485.0,154616.0,154695.0,154485.0,154437.0,154519.0,154447.0,154447.0,154600.0
2.0,12000.0,0.0,153029.0,153274.0,153302.0,153029.0,153089.0,153159.0,153013.0,153013.0,153229.0
3.0,12000.0,0.0,186477.0,186320.0,186328.0,186477.0,186254.0,186405.0,186589.0,186589.0,186470.0
3.0,12000.0,0.0,186458.0,186157.0,186219.0,186458.0,185828.0,185935.0,186225.0,186225.0,186113.0
3.0,12000.0,0.0,185348.0,184973.0,184953.0,185348.0,184860.0,184925.0,185195.0,185195.0,185113.0
4.0,12000.0,0.0,206499.0,206322.0,206457.0,206499.0,206222.0,206426.0,206240.0,206240.0,206317.0
4.0,12000.0,0.0,206233.0,206020.0,205845.0,206233.0,205923.0,206120.0,206103.0,206103.0,206050.0
4.0,12000.0,0.0,205096.0,205215.0,205171.0,205096.0,205188.0,205175.0,205174.0,205174.0,205224.0
2.0,14400.0,2400.0,144555.0,144728.0,144655.0,144555.0,144452.0,144546.0,144561.0,144474.0,144503.0
2.0,14400.0,2400.0,143746.0,143670.0,143714.0,143746.0,143611.0,143665.0,143647.0,143618.0,143621.0
2.0,14400.0,2400.0,141155.0,141013.0,141094.0,141155.0,140939.0,141011.0,140967.0,140892.0,140969.0
3.0,14400.0,2400.0,175330.0,172391.0,173169.0,175330.0,172774.0,172770.0,172794.0,177726.0,174011.0
3.0,14400.0,2400.0,174828.0,171468.0,171468.0,174828.0,171466.0,171284.0,171446.0,177103.0,173687.0
3.0,14400.0,2400.0,173985.0,169204.0,169204.0,173985.0,168845.0,168770.0,168926.0,175297.0,172743.0
4.0,14400.0,2400.0,194848.0,191822.0,192507.0,194848.0,191668.0,191839.0,191770.0,198522.0,193244.0
4.0,14400.0,2400.0,194672.0,190744.0,192038.0,194672.0,190401.0,190412.0,190863.0,198054.0,193069.0
4.0,14400.0,2400.0,193983.0,188967.0,191431.0,193983.0,188051.0,187971.0,188682.0,196754.0,192407.0
2.0,13000.0,0.0,154876.0,154926.0,155248.0,154876.0,154795.0,154971.0,155070.0,155070.0,155015.0
