wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
2.0,4000.0,0.0,114698.0,115416.0,115161.0,114698.0,150859.0,147270.0,150170.0,150170.0,155227.0
2.0,4000.0,0.0,114925.0,114494.0,114241.0,114925.0,148822.0,144632.0,144579.0,144579.0,154750.0
2.0,4000.0,0.0,114418.0,114271.0,113106.0,114418.0,145788.0,140993.0,140084.0,140084.0,153328.0
3.0,4000.0,0.0,120763.0,121003.0,120798.0,120763.0,178594.0,173213.0,180303.0,180303.0,186645.0
3.0,4000.0,0.0,120568.0,120914.0,120110.0,120568.0,177008.0,170636.0,174226.0,174226.0,186336.0
3.0,4000.0,0.0,120529.0,120013.0,119482.0,120529.0,174545.0,167699.0,170705.0,170705.0,185306.0
4.0,4000.0,0.0,123869.0,124343.0,123566.0,123869.0,195070.0,191117.0,199987.0,199987.0,206552.0
4.0,4000.0,0.0,123577.0,124231.0,123472.0,123577.0,193342.0,188705.0,194250.0,194250.0,206261.0
4.0,4000.0,0.0,123402.0,123675.0,122681.0,123402.0,192669.0,185965.0,190606.0,190606.0,205534.0
2.0,4800.0,800.0,110069.0,107602.0,107621.0,110069.0,127838.0,123174.0,127562.0,132488.0,144623.0
2.0,4800.0,800.0,109416.0,107006.0,106990.0,109416.0,125208.0,121709.0,121688.0,128328.0,143764.0
2.0,4800.0,800.0,109067.0,106205.0,105948.0,109067.0,122035.0,118529.0,117837.0,123083.0,141063.0
3.0,4800.0,800.0,117242.0,115729.0,115534.0,117242.0,152147.0,147790.0,155106.0,163852.0,174136.0
3.0,4800.0,800.0,116851.0,113989.0,114010.0,116851.0,150990.0,146461.0,148348.0,159978.0,173824.0
3.0,4800.0,800.0,116586.0,114911.0,114315.0,116586.0,147937.0,145198.0,145395.0,155492.0,172902.0
4.0,4800.0,800.0,121154.0,118808.0,118649.0,121154.0,168317.0,165982.0,170910.0,185025.0,193424.0
4.0,4800.0,800.0,121086.0,117963.0,117905.0,121086.0,167960.0,165726.0,166805.0,181488.0,193302.0
