wareh,capacity,buffer,CHIM,CHI,GS,BS
4.0,40000.0,0.0,0.0,0.0,0.0,0.0
4.0,40000.0,0.0,0.0,0.0,0.0,0.0
2.0,48000.0,8000.0,0.0,0.0,0.0,0.0
2.0,48000.0,8000.0,0.0,0.0,0.0,0.0
2.0,48000.0,8000.0,0.0,0.0,0.0,0.0
3.0,48000.0,8000.0,0.0,0.0,0.0,0.0
3.0,48000.0,8000.0,0.0,0.0,0.0,0.0
3.0,48000.0,8000.0,0.0,0.0,0.0,0.0
4.0,48000.0,8000.0,0.0,0.0,0.0,0.0
4.0,48000.0,8000.0,0.0,0.0,0.0,0.0
4.0,48000.0,8000.0,0.0,0.0,0.0,0.0
2.0,50000.0,0.0,0.0,0.0,0.0,0.0
2.0,50000.0,0.0,0.0,0.0,0.0,0.0
2.0,50000.0,0.0,0.0,0.0,0.0,0.0
3.0,50000.0,0.0,0.0,0.0,0.0,0.0
3.0,50000.0,0.0,0.0,0.0,0.0,0.0
3.0,50000.0,0.0,0.0,0.0,0.0,0.0
4.0,50000.0,0.0,0.0,0.0,0.0,0.0
4.0,50000.0,0.0,0.0,0.0,0.0,0.0
4.0,50000.0,0.0,0.0,0.0,0.0,0.0
2.0,60000.0,10000.0,0.0,0.0,0.0,0.0
2.0,60000.0,10000.0,0.0,0.0,0.0,0.0
2.0,60000.0,10000.0,0.0,0.0,0.0,0.0
3.0,60000.0,10000.0,0.0,0.0,0.0,0.0
3.0,60000.0,10000.0,0.0,0.0,0.0,0.0
3.0,60000.0,10000.0,0.0,0.0,0.0,0.0
4.0,60000.0,10000.0,0.0,0.0,0.0,0.0
4.0,60000.0,10000.0,0.0,0.0,0.0,0.0
4.0,60000.0,10000.0,0.0,0.0,0.0,0.0
2.0,60000.0,0.0,0.0,0.0,0.0,0.0
2.0,60000.0,0.0,0.0,0.0,0.0,0.0
2.0,60000.0,0.0,0.0,0.0,0.0,0.0
3.0,60000.0,0.0,0.0,0.0,0.0,0.0
3.0,60000.0,0.0,0.0,0.0,0.0,0.0
3.0,60000.0,0.0,0.0,0.0,0.0,0.0
4.0,60000.0,0.0,0.0,0.0,0.0,0.0
4.0,60000.0,0.0,0.0,0.0,0.0,0.0
4.0,60000.0,0.0,0.0,0.0,0.0,0.0
2.0,72000.0,12000.0,0.0,0.0,0.0,0.0
2.0,72000.0,12000.0,0.0,0.0,0.0,0.0
2.0,72000.0,12000.0,0.0,0.0,0.0,0.0
3.0,72000.0,12000.0,0.0,0.0,0.0,0.0
3.0,72000.0,12000.0,0.0,0.0,0.0,0.0
3.0,72000.0,12000.0,0.0,0.0,0.0,0.0
4.0,72000.0,12000.0,0.0,0.0,0.0,0.0
4.0,72000.0,12000.0,0.0,0.0,0.0,0.0
4.0,72000.0,12000.0,0.0,0.0,0.0,0.0
2.0,70000.0,0.0,0.0,0.0,0.0,0.0
2.0,70000.0,0.0,0.0,0.0,0.0,0.0
2.0,70000.0,0.0,0.0,0.0,0.0,0.0
3.0,70000.0,0.0,0.0,0.0,0.0,0.0
3.0,70000.0,0.0,0.0,0.0,0.0,0.0
3.0,70000.0,0.0,0.0,0.0,0.0,0.0
4.0,70000.0,0.0,0.0,0.0,0.0,0.0
4.0,70000.0,0.0,0.0,0.0,0.0,0.0
4.0,70000.0,0.0,0.0,0.0,0.0,0.0
2.0,84000.0,14000.0,0.0,0.0,0.0,0.0
2.0,84000.0,14000.0,0.0,0.0,0.0,0.0
2.0,84000.0,14000.0,0.0,0.0,0.0,0.0
3.0,84000.0,14000.0,0.0,0.0,0.0,0.0
3.0,84000.0,14000.0,0.0,0.0,0.0,0.0
3.0,84000.0,14000.0,0.0,0.0,0.0,0.0
4.0,84000.0,14000.0,0.0,0.0,0.0,0.0
4.0,84000.0,14000.0,0.0,0.0,0.0,0.0
4.0,84000.0,14000.0,0.0,0.0,0.0,0.0
