wareh,capacity,buffer,CHIM,CHI,GS,BS,RND
2.0,48000.0,8000.0,1.117036e6,1.113302e6,1.16962e6,1.189969e6,1.409623e6
3.0,48000.0,8000.0,1.262922e6,1.245127e6,1.519881e6,1.598115e6,1.739798e6
3.0,48000.0,8000.0,1.2547e6,1.232232e6,1.464471e6,1.551239e6,1.736961e6
3.0,48000.0,8000.0,1.246977e6,1.215507e6,1.431483e6,1.49814e6,1.727116e6
4.0,48000.0,8000.0,1.335634e6,1.294784e6,1.70471e6,1.805099e6,1.932341e6
4.0,48000.0,8000.0,1.326854e6,1.289676e6,1.664663e6,1.765319e6,1.930484e6
4.0,48000.0,8000.0,1.326882e6,1.290009e6,1.630844e6,1.719921e6,1.924348e6
2.0,50000.0,0.0,1.232096e6,1.209636e6,1.471345e6,1.471345e6,1.550564e6
2.0,50000.0,0.0,1.215288e6,1.201195e6,1.419145e6,1.419145e6,1.546085e6
2.0,50000.0,0.0,1.2055e6,1.190404e6,1.36919e6,1.36919e6,1.532504e6
3.0,50000.0,0.0,1.328925e6,1.299349e6,1.767171e6,1.767171e6,1.865166e6
3.0,50000.0,0.0,1.323328e6,1.297207e6,1.714252e6,1.714252e6,1.861866e6
3.0,50000.0,0.0,1.318595e6,1.29129e6,1.665628e6,1.665628e6,1.851768e6
4.0,50000.0,0.0,1.391272e6,1.349633e6,1.959298e6,1.959298e6,2.064117e6
4.0,50000.0,0.0,1.384185e6,1.349196e6,1.911259e6,1.911259e6,2.061495e6
4.0,50000.0,0.0,1.382378e6,1.343897e6,1.870795e6,1.870795e6,2.053408e6
2.0,60000.0,10000.0,1.125637e6,1.12263e6,1.26959e6,1.296501e6,1.445287e6
2.0,60000.0,10000.0,1.121538e6,1.118611e6,1.220762e6,1.250482e6,1.436666e6
2.0,60000.0,10000.0,1.112694e6,1.110108e6,1.170205e6,1.193314e6,1.410101e6
3.0,60000.0,10000.0,1.25724e6,1.239533e6,1.515324e6,1.602168e6,1.740702e6
3.0,60000.0,10000.0,1.24977e6,1.22916e6,1.464671e6,1.554964e6,1.737528e6
3.0,60000.0,10000.0,1.243566e6,1.211009e6,1.430581e6,1.502055e6,1.727982e6
4.0,60000.0,10000.0,1.328291e6,1.283402e6,1.709249e6,1.809887e6,1.933205e6
4.0,60000.0,10000.0,1.324058e6,1.284593e6,1.667381e6,1.770159e6,1.931267e6
4.0,60000.0,10000.0,1.320955e6,1.279507e6,1.630599e6,1.725314e6,1.925364e6
2.0,60000.0,0.0,1.23325e6,1.203953e6,1.475044e6,1.475044e6,1.551089e6
2.0,60000.0,0.0,1.226172e6,1.198467e6,1.418513e6,1.418513e6,1.54648e6
2.0,60000.0,0.0,1.2091e6,1.187687e6,1.367659e6,1.367659e6,1.532937e6
3.0,60000.0,0.0,1.324243e6,1.29379e6,1.768569e6,1.768569e6,1.865735e6
3.0,60000.0,0.0,1.321811e6,1.290579e6,1.71153e6,1.71153e6,1.86256e6
3.0,60000.0,0.0,1.317187e6,1.283921e6,1.662864e6,1.662864e6,1.852479e6
4.0,60000.0,0.0,1.386517e6,1.343235e6,1.964412e6,1.964412e6,2.064887e6
4.0,60000.0,0.0,1.386622e6,1.345207e6,1.911782e6,1.911782e6,2.062122e6
4.0,60000.0,0.0,1.375812e6,1.340266e6,1.872008e6,1.872008e6,2.054048e6
2.0,72000.0,12000.0,1.124255e6,1.12123e6,1.275093e6,1.295715e6,1.445712e6
2.0,72000.0,12000.0,1.121461e6,1.118353e6,1.218527e6,1.249071e6,1.43685e6
2.0,72000.0,12000.0,1.112793e6,1.110431e6,1.16786e6,1.19137e6,1.410382e6
3.0,72000.0,12000.0,1.256167e6,1.234183e6,1.517708e6,1.599051e6,1.741078e6
3.0,72000.0,12000.0,1.249501e6,1.222969e6,1.464353e6,1.55367e6,1.738139e6
3.0,72000.0,12000.0,1.237425e6,1.205534e6,1.428401e6,1.500737e6,1.728508e6
4.0,72000.0,12000.0,1.318347e6,1.27685e6,1.706316e6,1.808609e6,1.934045e6
4.0,72000.0,12000.0,1.323392e6,1.277034e6,1.660776e6,1.769469e6,1.932233e6
4.0,72000.0,12000.0,1.313003e6,1.274717e6,1.6322e6,1.723786e6,1.925967e6
2.0,70000.0,0.0,1.229186e6,1.203166e6,1.476009e6,1.476009e6,1.550677e6
2.0,70000.0,0.0,1.22093e6,1.196389e6,1.418378e6,1.418378e6,1.546288e6
2.0,70000.0,0.0,1.205227e6,1.18708e6,1.367449e6,1.367449e6,1.532704e6
3.0,70000.0,0.0,1.330214e6,1.295223e6,1.769531e6,1.769531e6,1.865254e6
3.0,70000.0,0.0,1.317372e6,1.289761e6,1.712491e6,1.712491e6,1.861957e6
3.0,70000.0,0.0,1.311393e6,1.284292e6,1.664449e6,1.664449e6,1.851905e6
4.0,70000.0,0.0,1.390785e6,1.343066e6,1.967019e6,1.967019e6,2.064167e6
4.0,70000.0,0.0,1.387724e6,1.34578e6,1.91321e6,1.91321e6,2.061425e6
4.0,70000.0,0.0,1.375366e6,1.33836e6,1.87191e6,1.87191e6,2.053319e6
2.0,84000.0,14000.0,1.12479e6,1.121038e6,1.279572e6,1.29528e6,1.445476e6
2.0,84000.0,14000.0,1.122774e6,1.119825e6,1.222022e6,1.249618e6,1.436695e6
2.0,84000.0,14000.0,1.11374e6,1.106404e6,1.171888e6,1.192257e6,1.41002e6
3.0,84000.0,14000.0,1.252971e6,1.233447e6,1.520287e6,1.600367e6,1.740785e6
3.0,84000.0,14000.0,1.248858e6,1.223321e6,1.46702e6,1.553956e6,1.737605e6
3.0,84000.0,14000.0,1.240659e6,1.205578e6,1.431785e6,1.502097e6,1.728076e6
4.0,84000.0,14000.0,1.31135e6,1.274513e6,1.707662e6,1.808791e6,1.933277e6
4.0,84000.0,14000.0,1.313801e6,1.273887e6,1.663172e6,1.76865e6,1.931464e6
4.0,84000.0,14000.0,1.306995e6,1.276331e6,1.633088e6,1.72454e6,1.925126e6
