wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
3.0,360.0,60.0,12694.0,13032.0,12968.0,17782.0,12694.0,14356.0,13067.0,14164.0,12903.0,17173.0
4.0,360.0,60.0,15619.0,16131.0,15729.0,19871.0,15619.0,16819.0,16221.0,16157.0,16117.0,19209.0
4.0,360.0,60.0,15420.0,15574.0,15420.0,19873.0,15420.0,16449.0,15641.0,15787.0,15585.0,19206.0
4.0,360.0,60.0,14767.0,14962.0,14962.0,19847.0,14767.0,15970.0,15105.0,15441.0,15071.0,19125.0
2.0,400.0,0.0,12732.0,12762.0,12739.0,15198.0,12732.0,14415.0,12774.0,12854.0,12854.0,15499.0
2.0,400.0,0.0,12136.0,12143.0,12143.0,15122.0,12136.0,13829.0,12209.0,13473.0,13473.0,15448.0
2.0,400.0,0.0,11616.0,11616.0,11616.0,14821.0,11616.0,13089.0,11674.0,14111.0,14111.0,15317.0
3.0,400.0,0.0,15440.0,15458.0,15415.0,18440.0,15440.0,17112.0,15531.0,15635.0,15635.0,18638.0
3.0,400.0,0.0,15920.0,14899.0,14854.0,18243.0,15920.0,16589.0,14974.0,16054.0,16054.0,18604.0
3.0,400.0,0.0,16082.0,14360.0,14328.0,18156.0,16082.0,16056.0,14403.0,16287.0,16287.0,18507.0
4.0,400.0,0.0,17343.0,17497.0,17305.0,20343.0,17343.0,19107.0,17538.0,17765.0,17765.0,20635.0
4.0,400.0,0.0,16849.0,16932.0,16834.0,20153.0,16849.0,18798.0,17035.0,17180.0,17180.0,20608.0
4.0,400.0,0.0,16353.0,16438.0,16354.0,19996.0,16353.0,18420.0,16551.0,16819.0,16819.0,20525.0
2.0,480.0,80.0,11292.0,11291.0,11284.0,15148.0,11292.0,12165.0,11361.0,11297.0,11308.0,14476.0
2.0,480.0,80.0,11765.0,10914.0,10904.0,15251.0,11765.0,11637.0,10915.0,11764.0,10923.0,14362.0
2.0,480.0,80.0,12256.0,10572.0,10570.0,15260.0,12256.0,10935.0,10613.0,12264.0,10586.0,14067.0
3.0,480.0,80.0,13701.0,14116.0,13718.0,18116.0,13701.0,14855.0,14147.0,14159.0,14022.0,17397.0
3.0,480.0,80.0,13341.0,13544.0,13362.0,18185.0,13341.0,14558.0,13604.0,14685.0,13477.0,17404.0
3.0,480.0,80.0,12926.0,12988.0,12928.0,18145.0,12926.0,14232.0,13076.0,15117.0,12916.0,17253.0
4.0,480.0,80.0,15584.0,15953.0,15953.0,20085.0,15584.0,16796.0,16217.0,16322.0,16081.0,19325.0
4.0,480.0,80.0,15502.0,15438.0,15438.0,20174.0,15502.0,16497.0,15686.0,15633.0,15556.0,19285.0
4.0,480.0,80.0,15676.0,14953.0,14953.0,20070.0,15676.0,16057.0,15155.0,15095.0,15016.0,19255.0
2.0,500.0,0.0,12783.0,12774.0,12774.0,15444.0,12783.0,14661.0,12823.0,12849.0,12849.0,15491.0
2.0,500.0,0.0,13396.0,12170.0,12158.0,15157.0,13396.0,14127.0,12172.0,12249.0,12249.0,15448.0
2.0,500.0,0.0,14037.0,11617.0,11617.0,14778.0,14037.0,13488.0,11657.0,11730.0,11730.0,15294.0
3.0,500.0,0.0,15419.0,15467.0,15409.0,18500.0,15419.0,17495.0,15652.0,15767.0,15767.0,18621.0
3.0,500.0,0.0,14905.0,14926.0,14907.0,18221.0,14905.0,17146.0,15073.0,16463.0,16463.0,18593.0
3.0,500.0,0.0,14306.0,14341.0,14301.0,17953.0,14306.0,16570.0,14379.0,16736.0,16736.0,18483.0
4.0,500.0,0.0,17239.0,17484.0,17255.0,20378.0,17239.0,19582.0,17563.0,17751.0,17751.0,20610.0
4.0,500.0,0.0,17552.0,16940.0,16767.0,20298.0,17552.0,19122.0,17018.0,17325.0,17325.0,20574.0
4.0,500.0,0.0,17847.0,16447.0,16325.0,20227.0,17847.0,18748.0,16553.0,17122.0,17122.0,20505.0
2.0,600.0,100.0,11288.0,11287.0,11286.0,15256.0,11288.0,12143.0,11329.0,11295.0,11326.0,14426.0
2.0,600.0,100.0,10895.0,10899.0,10893.0,14973.0,10895.0,11568.0,10921.0,10905.0,10920.0,14353.0
2.0,600.0,100.0,12209.0,10588.0,10588.0,15248.0,12209.0,10974.0,10611.0,10588.0,10600.0,14097.0
3.0,600.0,100.0,13656.0,14105.0,13647.0,18228.0,13656.0,14878.0,14145.0,14249.0,13965.0,17378.0
3.0,600.0,100.0,13317.0,13553.0,13311.0,18285.0,13317.0,14570.0,13587.0,14685.0,13427.0,17343.0
3.0,600.0,100.0,12923.0,13007.0,12904.0,18152.0,12923.0,14252.0,13072.0,15138.0,12907.0,17237.0
4.0,600.0,100.0,15548.0,15951.0,15951.0,20023.0,15548.0,16734.0,16214.0,16096.0,16149.0,19302.0
4.0,600.0,100.0,15378.0,15447.0,15447.0,20079.0,15378.0,16439.0,15777.0,15892.0,15592.0,19284.0
4.0,600.0,100.0,16068.0,14939.0,14939.0,20197.0,16068.0,16098.0,15218.0,15609.0,15031.0,19211.0
2.0,600.0,0.0,12759.0,12779.0,12765.0,15323.0,12759.0,14590.0,12785.0,12837.0,12837.0,15477.0
2.0,600.0,0.0,12164.0,12172.0,12164.0,15246.0,12164.0,14069.0,12259.0,12241.0,12241.0,15434.0
2.0,600.0,0.0,14023.0,11647.0,11625.0,14946.0,14023.0,13196.0,11719.0,11727.0,11727.0,15306.0
3.0,600.0,0.0,15387.0,15452.0,15391.0,18505.0,15387.0,17141.0,15477.0,15559.0,15559.0,18591.0
3.0,600.0,0.0,14856.0,14934.0,14860.0,18303.0,14856.0,16697.0,14947.0,15047.0,15047.0,18560.0
3.0,600.0,0.0,14311.0,14392.0,14312.0,18177.0,14311.0,16329.0,14467.0,14912.0,14912.0,18467.0
4.0,600.0,0.0,17203.0,17408.0,17199.0,20359.0,17203.0,19220.0,17458.0,17709.0,17709.0,20572.0
4.0,600.0,0.0,16734.0,16901.0,16729.0,20228.0,16734.0,18789.0,16982.0,17955.0,17955.0,20530.0
4.0,600.0,0.0,16630.0,16338.0,16250.0,20030.0,16630.0,18428.0,16510.0,17747.0,17747.0,20454.0
2.0,720.0,120.0,11287.0,11303.0,11293.0,15302.0,11287.0,12201.0,11368.0,11312.0,11328.0,14430.0
2.0,720.0,120.0,10901.0,10910.0,10896.0,15345.0,10901.0,11633.0,10926.0,10895.0,10901.0,14332.0
2.0,720.0,120.0,10584.0,10583.0,10581.0,15030.0,10584.0,11131.0,10601.0,10587.0,10597.0,14046.0
3.0,720.0,120.0,13651.0,14121.0,13713.0,18257.0,13651.0,14963.0,14200.0,14281.0,13993.0,17347.0
3.0,720.0,120.0,13486.0,13552.0,13502.0,18321.0,13486.0,14730.0,13621.0,13620.0,13426.0,17324.0
3.0,720.0,120.0,12684.0,12995.0,12908.0,18191.0,12684.0,14393.0,13075.0,13104.0,12913.0,17232.0
4.0,720.0,120.0,15535.0,15833.0,15833.0,20108.0,15535.0,16849.0,16130.0,16265.0,16033.0,19245.0
4.0,720.0,120.0,15338.0,15405.0,15405.0,20259.0,15338.0,16498.0,15600.0,16342.0,15552.0,19235.0
4.0,720.0,120.0,15003.0,14930.0,14930.0,20179.0,15003.0,16053.0,15098.0,16021.0,15023.0,19195.0
2.0,700.0,0.0,12745.0,12770.0,12752.0,15408.0,12745.0,14772.0,12909.0,12865.0,12865.0,15488.0
2.0,700.0,0.0,12128.0,12136.0,12128.0,15318.0,12128.0,14185.0,12249.0,12259.0,12259.0,15442.0
2.0,700.0,0.0,11591.0,11591.0,11591.0,14980.0,11591.0,13610.0,11646.0,11741.0,11741.0,15307.0
3.0,700.0,0.0,15310.0,15370.0,15311.0,18453.0,15310.0,17819.0,15565.0,15537.0,15537.0,18625.0
