wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
4.0,300.0,0.0,1.0677293,0.294787,0.3049937,21.4963327,1.0504431,0.0468949,0.0081049,0.0036264,0.0036652,0.0564832
2.0,360.0,60.0,0.4819377,0.2648912,0.2845816,25.0225422,0.4684302,0.0469653,0.0081111,0.0025955,0.0022229,0.1743392
2.0,360.0,60.0,0.3915274,0.2778615,0.2955279,25.3706087,0.3992792,0.0467556,0.0080275,0.0027599,0.0023636,0.1714089
2.0,360.0,60.0,0.3990081,0.2635305,0.2774953,25.9337019,0.3937202,0.046922,0.0078225,0.0025047,0.0026616,0.169575
3.0,360.0,60.0,0.6505594,0.2750914,0.3055085,23.6395248,0.6608556,0.0469781,0.0078408,0.00328,0.0026353,0.3212528
3.0,360.0,60.0,0.6893652,0.3109115,0.3284496,23.5170567,0.6792712,0.0471563,0.0080832,0.0031931,0.0025845,0.3027211
3.0,360.0,60.0,0.5353593,0.2650015,0.3171502,23.6005,0.5534488,0.0475118,0.0080513,0.0035275,0.0026881,0.3085403
4.0,360.0,60.0,2.3219486,0.280089,0.3112932,21.653522,2.2506533,0.0473189,0.0084792,0.0038813,0.005946,0.5898097
4.0,360.0,60.0,1.0259639,0.2535599,0.2890368,22.0734129,1.0310323,0.0475804,0.0086868,0.0038195,0.0030874,0.5873818
4.0,360.0,60.0,1.0172795,0.2663829,0.2993025,21.7872514,1.019486,0.0477727,0.0091046,0.0038808,0.0028607,0.5926326
2.0,400.0,0.0,0.4972575,0.2491455,0.2718308,52.2857973,0.4880484,0.0546038,0.0120482,0.0039153,0.0037989,0.0461353
2.0,400.0,0.0,0.5002898,0.2706384,0.2792457,53.8056597,0.5108043,0.0552865,0.0119901,0.0036269,0.0036648,0.0464014
2.0,400.0,0.0,0.4881603,0.2458646,0.2570094,55.7377295,0.5133893,0.0554913,0.0118034,0.0040386,0.00365,0.0490284
3.0,400.0,0.0,0.7455048,0.2574178,0.2635141,50.8389793,0.7365235,0.0555776,0.0122583,0.0046426,0.004935,0.0560601
