wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
3.0,6000.0,0.0,128857.0,129494.0,128694.0,154065.0,173776.0,173776.0,184951.0
2.0,7200.0,1200.0,115550.0,113067.0,113083.0,119087.0,128667.0,133140.0,144396.0
2.0,7200.0,1200.0,113215.0,119642.0,116625.0,119119.0,124597.0,128660.0,143470.0
2.0,7200.0,1200.0,112159.0,117716.0,115103.0,117890.0,119426.0,122816.0,140749.0
3.0,7200.0,1200.0,126059.0,122780.0,122701.0,142475.0,152168.0,164161.0,174023.0
3.0,7200.0,1200.0,125536.0,124099.0,123771.0,139906.0,150698.0,160108.0,173630.0
3.0,7200.0,1200.0,123386.0,123763.0,122952.0,138139.0,148173.0,154973.0,172705.0
2.0,7000.0,0.0,123739.0,123553.0,123560.0,143325.0,149422.0,149422.0,155198.0
2.0,7000.0,0.0,122894.0,129091.0,128334.0,140462.0,145555.0,145555.0,154788.0
2.0,7000.0,0.0,120182.0,133106.0,124689.0,136628.0,140839.0,140839.0,153477.0
3.0,7000.0,0.0,133457.0,133337.0,133221.0,156164.0,177611.0,177611.0,186813.0
3.0,7000.0,0.0,133696.0,134928.0,134758.0,152705.0,173328.0,173328.0,186560.0
3.0,7000.0,0.0,134568.0,135049.0,134725.0,155100.0,168708.0,168708.0,185483.0
2.0,8400.0,1400.0,116530.0,119704.0,118895.0,121300.0,129390.0,132120.0,144683.0
2.0,8400.0,1400.0,115006.0,119434.0,118153.0,120930.0,125507.0,127357.0,143915.0
2.0,8400.0,1400.0,112229.0,116602.0,116242.0,117744.0,120645.0,120886.0,141151.0
3.0,8400.0,1400.0,128308.0,126239.0,125335.0,143715.0,152095.0,162799.0,174380.0
3.0,8400.0,1400.0,127959.0,126803.0,126115.0,142933.0,149813.0,158307.0,173924.0
3.0,8400.0,1400.0,126169.0,128690.0,128289.0,142247.0,146096.0,152819.0,173188.0
2.0,8000.0,0.0,121944.0,127397.0,122908.0,143112.0,149202.0,149202.0,155166.0
2.0,8000.0,0.0,121143.0,129480.0,123298.0,141738.0,145165.0,145165.0,154631.0
2.0,8000.0,0.0,119245.0,131610.0,122604.0,137617.0,140466.0,140466.0,153220.0
3.0,8000.0,0.0,131327.0,132879.0,131584.0,162395.0,178212.0,178212.0,186611.0
3.0,8000.0,0.0,130785.0,134481.0,130866.0,159253.0,179535.0,179535.0,186251.0
