wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
3.0,240.0,40.0,0.37948031,0.209131732,0.272424869,0.0,0.0,0.008428558,0.00687618,0.006739824,0.065707859
3.0,240.0,40.0,0.382455359,0.203195229,0.277019163,0.0,0.0,0.008631169,0.006846385,0.006690091,0.054297914
4.0,240.0,40.0,0.942419224,0.202597507,0.402444934,0.0,0.0,0.008756727,0.00716838,0.006903482,0.116088752
4.0,240.0,40.0,1.403666778,0.207605468,0.32522053,0.0,0.0,0.00885989,0.007095393,0.006762597,0.10991831
4.0,240.0,40.0,1.140336624,0.206874825,0.347471936,0.0,0.0,0.009042163,0.007219456,0.007049877,0.109368907
2.0,300.0,0.0,0.373289047,0.23292789,0.227003939,91.555146641,0.373165578,0.011982063,0.007647622,0.008723946,0.008789579
2.0,300.0,0.0,0.694221134,0.207379069,0.202975648,91.035204834,0.697430358,0.012308266,0.007771905,0.007639245,0.009232914
2.0,300.0,0.0,0.374328697,0.210967353,0.214577202,90.460651955,0.374094601,0.01238432,0.007706153,0.007584522,0.009666308
3.0,300.0,0.0,1.212828594,0.214207529,0.225675866,87.148538248,1.203104203,0.012087432,0.00805024,0.007852538,0.010385141
3.0,300.0,0.0,0.828550527,0.211060602,0.219470558,86.804837996,0.815601455,0.012164837,0.008105353,0.00811909,0.010204791
3.0,300.0,0.0,0.812586496,0.210855586,0.217103918,86.301528011,0.810289687,0.011853823,0.007873246,0.007810359,0.008784751
4.0,300.0,0.0,7.284218042,0.21168152,0.21755731,83.766946497,7.012448624,0.011893757,0.009076781,0.008217684,0.010417202
4.0,300.0,0.0,2.074966721,0.196813609,0.206790871,83.717071082,2.098848083,0.012100135,0.009529071,0.008287396,0.010787076
4.0,300.0,0.0,2.644821045,0.207443991,0.216238029,83.331232008,2.641975453,0.012248761,0.00835618,0.008312847,0.01136789
2.0,330.0,30.0,0.488812393,0.212803022,0.246494623,0.0,0.0,0.011465112,0.007729392,0.007500035,0.041412687
2.0,330.0,30.0,0.621303527,0.209216134,0.251643759,0.0,0.0,0.011585958,0.007768143,0.007545006,0.041221915
2.0,330.0,30.0,0.368810102,0.202620326,0.23942914,0.0,0.0,0.011591625,0.0077321,0.007725768,0.038662083
3.0,330.0,30.0,1.285850549,0.200573694,0.270492801,0.0,0.0,0.011590378,0.007871835,0.007859872,0.065050139
3.0,330.0,30.0,0.967414116,0.209535528,0.255545924,0.0,0.0,0.012029619,0.007994372,0.007820532,0.065583337
3.0,330.0,30.0,0.593754011,0.210480111,0.268984726,0.0,0.0,0.011877694,0.008056248,0.008132594,0.069823646
4.0,330.0,30.0,1.184574953,0.209614658,0.321980332,0.0,0.0,0.01190311,0.008410751,0.008115117,0.125130425
4.0,330.0,30.0,1.00880641,0.21162754,0.321006182,0.0,0.0,0.012896556,0.008325846,0.008052655,0.122527022
4.0,330.0,30.0,1.779286774,0.210916366,0.354572288,0.0,0.0,0.012626567,0.008381498,0.008193439,0.121589918
2.0,360.0,60.0,0.394214512,0.212764061,0.238077476,0.0,0.0,0.01170521,0.007711951,0.00757475,0.04313602
2.0,360.0,60.0,0.398694562,0.213942633,0.238394078,0.0,0.0,0.011823421,0.007745121,0.007487801,0.042232846
2.0,360.0,60.0,0.468766445,0.208021586,0.232193869,0.0,0.0,0.011555506,0.007666729,0.007509832,0.042427363
3.0,360.0,60.0,2.207702663,0.208743961,0.303161039,0.0,0.0,0.012018604,0.009874406,0.007880002,0.06759696
3.0,360.0,60.0,4.303668993,0.216134452,0.233741777,0.0,0.0,0.011628756,0.008148589,0.007681571,0.072182037
3.0,360.0,60.0,1.040565756,0.208897605,0.26911997,0.0,0.0,0.01191171,0.008032396,0.007773944,0.071715235
4.0,360.0,60.0,2.291525888,0.209631824,0.352077879,0.0,0.0,0.011983712,0.00852513,0.0082416,0.122332591
4.0,360.0,60.0,1.213294508,0.211120985,0.350987992,0.0,0.0,0.012051858,0.008591392,0.00908987,0.121496984
4.0,360.0,60.0,1.185138481,0.203136601,0.308038568,0.0,0.0,0.012497251,0.008581611,0.008017689,0.107183357
2.0,400.0,0.0,0.580780265,0.21227251,0.216311795,170.805935603,0.596052413,0.016415294,0.00898796,0.008832435,0.010800994
2.0,400.0,0.0,0.714526199,0.223099043,0.206301631,170.530224928,0.719001753,0.015825683,0.008928718,0.008835943,0.011756284
2.0,400.0,0.0,0.580086104,0.210983307,0.210938569,168.047545103,0.586525937,0.016223809,0.009252469,0.009207824,0.013585615
3.0,400.0,0.0,1.323586351,0.205699141,0.208096385,160.429832419,1.312540395,0.016276001,0.009517474,0.009485694,0.014302566
3.0,400.0,0.0,0.858027637,0.204572262,0.210785297,159.491590016,0.858455744,0.016328352,0.009876,0.00957418,0.013457415
3.0,400.0,0.0,1.193818671,0.199450165,0.21371919,159.244348728,1.224069718,0.016153048,0.009524159,0.009665266,0.014850742
4.0,400.0,0.0,6.122977182,0.215700835,0.226511577,151.292056422,6.027609429,0.016794718,0.010558033,0.010408219,0.014426614
4.0,400.0,0.0,1.56168903,0.201977958,0.211076748,151.262250993,1.575120361,0.016558076,0.010939136,0.01042655,0.016505255
4.0,400.0,0.0,2.040627651,0.207536256,0.206047529,152.803171993,2.070004761,0.016929541,0.010436025,0.010670216,0.016915264
