wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,733.0,733.0,688.0,771.0
2.0,20.0,0.0,662.0,662.0,662.0,662.0,662.0,662.0,666.0,719.0,719.0,662.0,768.0
2.0,20.0,0.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,705.0,705.0,638.0,760.0
3.0,20.0,0.0,829.0,829.0,830.0,830.0,829.0,829.0,834.0,920.0,920.0,829.0,921.0
3.0,20.0,0.0,829.0,829.0,830.0,830.0,829.0,829.0,834.0,920.0,920.0,829.0,921.0
3.0,20.0,0.0,791.0,821.0,793.0,793.0,791.0,821.0,791.0,868.0,868.0,793.0,913.0
4.0,20.0,0.0,938.0,938.0,942.0,939.0,943.0,938.0,934.0,1004.0,1004.0,934.0,1019.0
4.0,20.0,0.0,904.0,912.0,911.0,909.0,908.0,912.0,911.0,981.0,981.0,904.0,1017.0
4.0,20.0,0.0,904.0,912.0,911.0,909.0,908.0,912.0,911.0,981.0,981.0,904.0,1013.0
2.0,22.0,2.0,649.0,649.0,649.0,649.0,0.0,0.0,651.0,649.0,663.0,653.0,742.0
2.0,22.0,2.0,626.0,626.0,629.0,629.0,0.0,0.0,629.0,630.0,638.0,627.0,740.0
2.0,22.0,2.0,604.0,604.0,604.0,604.0,0.0,0.0,621.0,608.0,619.0,608.0,735.0
3.0,22.0,2.0,787.0,807.0,777.0,777.0,0.0,0.0,782.0,850.0,828.0,780.0,893.0
3.0,22.0,2.0,787.0,807.0,777.0,777.0,0.0,0.0,782.0,850.0,828.0,780.0,888.0
3.0,22.0,2.0,741.0,815.0,741.0,741.0,0.0,0.0,740.0,845.0,782.0,739.0,880.0
4.0,22.0,2.0,880.0,895.0,879.0,879.0,0.0,0.0,878.0,945.0,945.0,875.0,983.0
4.0,22.0,2.0,880.0,895.0,879.0,879.0,0.0,0.0,878.0,945.0,945.0,875.0,977.0
4.0,22.0,2.0,835.0,836.0,843.0,843.0,0.0,0.0,854.0,935.0,935.0,842.0,973.0
2.0,24.0,4.0,613.0,613.0,613.0,613.0,0.0,0.0,613.0,613.0,627.0,614.0,717.0
2.0,24.0,4.0,596.0,596.0,596.0,596.0,0.0,0.0,613.0,596.0,612.0,598.0,712.0
2.0,24.0,4.0,580.0,580.0,580.0,580.0,0.0,0.0,585.0,579.0,590.0,582.0,702.0
3.0,24.0,4.0,760.0,760.0,762.0,762.0,0.0,0.0,764.0,786.0,809.0,764.0,863.0
3.0,24.0,4.0,722.0,740.0,732.0,732.0,0.0,0.0,731.0,773.0,767.0,728.0,854.0
3.0,24.0,4.0,701.0,709.0,697.0,697.0,0.0,0.0,703.0,745.0,721.0,700.0,849.0
4.0,24.0,4.0,856.0,867.0,872.0,867.0,0.0,0.0,870.0,893.0,906.0,863.0,951.0
4.0,24.0,4.0,828.0,826.0,836.0,836.0,0.0,0.0,850.0,863.0,879.0,827.0,946.0
4.0,24.0,4.0,828.0,826.0,836.0,836.0,0.0,0.0,850.0,863.0,879.0,827.0,947.0
