wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,1.621692618,0.042137913,0.232588447,0.232456792,0.03296643,0.044208579,8.7791e-5,0.088617464,0.000138636,0.556539586,0.056281843
2.0,20.0,0.0,1.429601501,0.042169405,0.222674586,0.223502349,0.021695503,0.041940462,9.0096e-5,9.8616e-5,7.8153e-5,0.418817165,0.000409552
2.0,20.0,0.0,1.438860022,0.037993842,0.223557776,0.227392923,0.021063432,0.038468554,9.0306e-5,8.4019e-5,0.000115379,0.388563553,0.000576544
3.0,20.0,0.0,32.240898036,0.053863403,0.220330586,0.222907115,0.027495358,0.046250024,0.000108324,9.5125e-5,0.000114401,2.323536395,0.000692411
3.0,20.0,0.0,32.163279372,0.048595574,0.224864981,0.222850744,0.028041231,0.058269205,0.000175163,9.4426e-5,9.261e-5,2.262206838,0.000398447
3.0,20.0,0.0,9.410518804,0.054018074,0.217325742,0.222218011,0.027447223,0.053150358,0.000108324,9.4635e-5,8.1925e-5,1.578206516,0.000482117
4.0,20.0,0.0,2198.913667779,0.154335375,0.186660114,0.188245309,0.044830305,0.195130367,9.8896e-5,8.7022e-5,8.4858e-5,29.570543177,0.000560759
4.0,20.0,0.0,2623.562092501,0.086691702,0.187314099,0.196151797,0.038178753,0.086459688,0.000108325,8.7651e-5,9.247e-5,26.867016343,0.000521787
4.0,20.0,0.0,2658.596797188,0.094603145,0.203291154,0.188122624,0.031371278,0.084638041,0.000108115,8.8769e-5,8.7512e-5,26.89512907,0.000530379
2.0,22.0,2.0,2.850697816,0.064662361,0.187294281,0.186912106,0.0,0.0,9.1493e-5,9.7569e-5,9.4287e-5,4.812211471,0.015843899
2.0,22.0,2.0,3.075531255,0.058778534,0.187603254,0.187769127,0.0,0.0,9.1981e-5,0.000118522,0.000104344,3.62585446,0.002359956
2.0,22.0,2.0,1.931535429,0.053580065,0.186664363,0.186863062,0.0,0.0,7.2915e-5,8.7792e-5,9.1702e-5,3.139602489,0.002002016
3.0,22.0,2.0,442.273372831,0.07426975,0.187210476,0.186698046,0.0,0.0,8.5836e-5,8.9956e-5,7.9131e-5,275.480348032,0.003163273
3.0,22.0,2.0,442.732852156,0.074853882,0.186825096,0.186960169,0.0,0.0,9.2959e-5,8.7791e-5,8.4578e-5,275.880921666,0.003242687
3.0,22.0,2.0,142.076275652,0.0959123,0.186701563,0.187160563,0.0,0.0,8.7233e-5,8.821e-5,8.388e-5,202.627722025,0.002794859
4.0,22.0,2.0,2004.166820463,0.160727096,0.189488651,0.188958133,0.0,0.0,9.282e-5,8.4788e-5,9.1004e-5,3361.168629797,0.00545443
4.0,22.0,2.0,2004.177071653,0.162937217,0.188581729,0.18945056,0.0,0.0,9.3308e-5,9.4217e-5,9.254e-5,3367.569834567,0.005276264
4.0,22.0,2.0,2229.29829388,0.073459042,0.186521035,0.188320439,0.0,0.0,9.1633e-5,9.5404e-5,9.3588e-5,2590.426827651,0.00516522
2.0,24.0,4.0,3.922554772,0.056413104,0.189466895,0.186808367,0.0,0.0,9.1353e-5,9.6242e-5,9.1144e-5,12.357372037,0.001706864
2.0,24.0,4.0,2.629519043,0.05447269,0.186357747,0.186492542,0.0,0.0,9.303e-5,9.6731e-5,8.9677e-5,7.41920635,0.001659441
2.0,24.0,4.0,2.61909962,0.053878196,0.188375057,0.188763378,0.0,0.0,9.3937e-5,0.000101899,8.423e-5,5.1657742,0.00182315
3.0,24.0,4.0,948.723699301,0.09821486,0.18864788,0.188810401,0.0,0.0,8.7512e-5,9.0654e-5,8.5347e-5,3601.990934292,0.003144282
3.0,24.0,4.0,676.572413752,0.066233523,0.194624737,0.189027892,0.0,0.0,7.9201e-5,8.9746e-5,7.1029e-5,1483.530216497,0.003496281
3.0,24.0,4.0,257.159441499,0.061754753,0.192620419,0.188762637,0.0,0.0,9.6591e-5,9.0165e-5,8.4369e-5,1212.829379417,0.003317835
4.0,24.0,4.0,2453.134399169,0.134603715,0.204205705,0.203899171,0.0,0.0,9.3587e-5,9.5613e-5,9.0515e-5,3603.42954655,0.005795613
4.0,24.0,4.0,2673.366727308,0.100698563,0.186579835,0.187140037,0.0,0.0,9.4426e-5,8.5277e-5,8.7023e-5,3603.449374004,0.005413644
4.0,24.0,4.0,2670.403079344,0.104420483,0.192134351,0.187335111,0.0,0.0,9.3727e-5,8.0597e-5,8.7233e-5,3603.500071387,0.005612977
