wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT
2.0,20.0,0.0,685.0,685.0,685.0,685.0,685.0,685.0,685.0,737.0,737.0,685.0
2.0,20.0,0.0,660.0,660.0,660.0,660.0,660.0,660.0,662.0,719.0,719.0,660.0
2.0,20.0,0.0,632.0,632.0,632.0,632.0,632.0,632.0,632.0,695.0,695.0,632.0
3.0,20.0,0.0,803.0,803.0,805.0,805.0,803.0,803.0,810.0,887.0,887.0,803.0
3.0,20.0,0.0,803.0,803.0,805.0,805.0,803.0,803.0,810.0,887.0,887.0,803.0
3.0,20.0,0.0,772.0,794.0,766.0,766.0,772.0,794.0,766.0,866.0,866.0,766.0
4.0,20.0,0.0,911.0,911.0,946.0,932.0,919.0,911.0,909.0,1022.0,1022.0,909.0
4.0,20.0,0.0,875.0,876.0,893.0,892.0,878.0,876.0,892.0,1003.0,1003.0,875.0
4.0,20.0,0.0,875.0,876.0,893.0,892.0,878.0,876.0,892.0,1003.0,1003.0,875.0
2.0,22.0,2.0,649.0,649.0,649.0,649.0,0.0,0.0,648.0,649.0,667.0,647.0
2.0,22.0,2.0,625.0,625.0,625.0,625.0,0.0,0.0,625.0,624.0,645.0,620.0
2.0,22.0,2.0,602.0,602.0,602.0,602.0,0.0,0.0,610.0,601.0,620.0,599.0
3.0,22.0,2.0,755.0,792.0,757.0,757.0,0.0,0.0,755.0,828.0,815.0,751.0
3.0,22.0,2.0,755.0,792.0,757.0,757.0,0.0,0.0,755.0,828.0,815.0,751.0
3.0,22.0,2.0,726.0,802.0,725.0,725.0,0.0,0.0,733.0,819.0,755.0,720.0
4.0,22.0,2.0,859.0,875.0,863.0,863.0,0.0,0.0,864.0,946.0,946.0,839.0
4.0,22.0,2.0,859.0,875.0,863.0,863.0,0.0,0.0,864.0,946.0,946.0,839.0
4.0,22.0,2.0,819.0,814.0,813.0,813.0,0.0,0.0,829.0,933.0,933.0,798.0
2.0,24.0,4.0,611.0,611.0,611.0,611.0,0.0,0.0,611.0,611.0,628.0,605.0
2.0,24.0,4.0,586.0,586.0,586.0,586.0,0.0,0.0,604.0,589.0,608.0,586.0
2.0,24.0,4.0,572.0,572.0,572.0,572.0,0.0,0.0,579.0,574.0,586.0,571.0
3.0,24.0,4.0,750.0,750.0,744.0,744.0,0.0,0.0,750.0,771.0,800.0,729.0
3.0,24.0,4.0,708.0,730.0,709.0,709.0,0.0,0.0,721.0,762.0,743.0,702.0
3.0,24.0,4.0,685.0,700.0,686.0,686.0,0.0,0.0,687.0,739.0,712.0,676.0
4.0,24.0,4.0,839.0,844.0,857.0,844.0,0.0,0.0,856.0,875.0,908.0,815.0
4.0,24.0,4.0,823.0,815.0,805.0,805.0,0.0,0.0,830.0,850.0,873.0,782.0
4.0,24.0,4.0,823.0,815.0,805.0,805.0,0.0,0.0,830.0,850.0,873.0,782.0
