wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GP,GS,BS,RND
2.0,1000.0,0.0,14.395850356,0.69236329,0.881228733,6.064145794,0.475883654,0.820507639,0.525383644,0.173052083
2.0,1000.0,0.0,5.042455189,0.685016016,0.727492387,5.196319952,0.491056898,0.395738507,0.423923173,0.088184887
2.0,1000.0,0.0,8.164323454,0.635115191,0.745063484,8.057468832,0.387273464,0.551878951,0.427747699,0.094283105
3.0,1000.0,0.0,12.850175295,0.565351497,0.912561971,12.800658934,0.534718703,0.471313979,0.565098223,0.132480239
3.0,1000.0,0.0,19.335091961,0.705209199,0.861213948,19.591709632,0.527818881,0.449907719,0.40145147,0.129035215
3.0,1000.0,0.0,12.164710207,0.712436558,1.102700109,12.016549482,0.479101664,0.380974449,0.410799049,0.140687667
4.0,1000.0,0.0,71.848465404,0.537722333,0.73346702,68.346345414,0.402989813,0.325167222,0.274571529,0.14024191
4.0,1000.0,0.0,135.793311243,0.758546397,0.841237994,138.280367965,0.482918712,0.433523197,0.465730652,0.180598587
4.0,1000.0,0.0,391.515155957,0.484112136,0.64421229,391.312627915,0.629635388,0.525551364,0.474891245,0.192731856
2.0,1100.0,100.0,37.830695459,0.781764308,1.001460188,0.0,0.468091312,0.421040053,0.352080622,0.390789053
2.0,1100.0,100.0,37.772210383,0.668754362,1.072706808,0.0,0.429669585,0.322093233,0.455653551,0.390868241
2.0,1100.0,100.0,28.931893964,0.738469471,1.044848978,0.0,0.467084514,0.329875316,0.381571123,0.381986928
3.0,1100.0,100.0,85.001569787,0.773817103,1.346675849,0.0,0.454875924,0.411624137,0.319099982,0.631228991
3.0,1100.0,100.0,68.093465535,0.612626041,1.297994929,0.0,0.48531364,0.428024394,0.404380211,0.651268366
3.0,1100.0,100.0,41.045318519,0.744925648,1.310630543,0.0,0.343971399,0.320827339,0.333598407,0.588853586
4.0,1100.0,100.0,181.358206988,0.577813134,1.541426119,0.0,0.441610032,0.357709842,0.303836455,1.040075831
4.0,1100.0,100.0,109.876745748,0.575006113,1.386743042,0.0,0.47427471,0.322526897,0.399671712,1.172627923
4.0,1100.0,100.0,138.963895102,0.578617672,1.551180111,0.0,0.45137748,0.328491896,0.269141088,1.040955564
2.0,1200.0,200.0,13.390126761,0.472798214,0.905245844,0.0,0.32755511,0.265756993,0.272097046,0.316028328
2.0,1200.0,200.0,12.295856499,0.536352227,0.875563316,0.0,0.446402878,0.296521428,0.33690742,0.346898874
2.0,1200.0,200.0,10.963585614,0.602911294,1.063558613,0.0,0.454571264,0.390313343,0.361466127,0.32268861
3.0,1200.0,200.0,21.762910033,0.489126354,0.975916991,0.0,0.425783151,0.371749496,0.360146649,0.602432464
3.0,1200.0,200.0,26.32972269,0.59136491,1.143110247,0.0,0.468622064,0.443092158,0.337211479,0.592755186
3.0,1200.0,200.0,40.005118727,0.685863564,1.008119395,0.0,0.402109903,0.278732016,0.33134403,0.590955114
4.0,1200.0,200.0,225.718701069,0.628990437,2.297757463,0.0,0.381063197,0.362203597,0.276811729,1.217082867
4.0,1200.0,200.0,132.675200111,0.593772104,1.622872244,0.0,0.466877095,0.46860752,0.44398333,1.181973505
4.0,1200.0,200.0,111.835939251,0.50681087,1.307385497,0.0,0.44888226,0.399900585,0.294331268,1.20439097
2.0,2000.0,0.0,22.572439865,0.576379587,0.703574214,22.924170956,1.102271769,0.319930189,0.336602912,0.162157907
2.0,2000.0,0.0,25.1073382,0.704162115,0.83220869,24.315981631,1.137703128,0.352581328,0.31887149,0.172093909
2.0,2000.0,0.0,29.880433761,0.55019148,0.62569073,29.35892399,1.181781734,0.428224669,0.380247008,0.193530414
3.0,2000.0,0.0,35.376615098,0.756387919,0.749725856,35.932453472,1.181273517,0.345546674,0.355032645,0.191511474
3.0,2000.0,0.0,36.300130264,0.752910558,0.991677039,36.207949922,1.191837918,0.390619514,0.354028912,0.21881437
3.0,2000.0,0.0,53.470069904,0.666709403,1.267644881,54.515361565,1.307762251,0.442887534,0.460237907,0.229344392
4.0,2000.0,0.0,67.976994094,0.784580416,1.461000088,68.464153503,1.2447,0.402058095,0.414327994,0.258586653
4.0,2000.0,0.0,171.315112939,0.813973949,1.006043759,166.655328252,1.269307809,0.435674548,0.454439325,0.21031105
4.0,2000.0,0.0,146.461967372,0.729410849,0.87295671,146.160989907,1.423307563,0.543642462,0.535559334,0.228359601
2.0,2200.0,200.0,28.052389248,0.607236252,1.055418663,0.0,1.08403612,0.372301091,0.37431512,0.418060865
2.0,2200.0,200.0,47.38825054,0.63580028,1.025709737,0.0,1.108671711,0.379544321,0.341418526,0.41421363
2.0,2200.0,200.0,70.561824764,0.70957037,0.853364647,0.0,1.167070853,0.390028978,0.396989507,0.393871761
3.0,2200.0,200.0,61.924598771,0.583875394,1.022923735,0.0,1.118377123,0.364407808,0.396058699,0.709971578
3.0,2200.0,200.0,71.329549771,0.779366172,1.376906314,0.0,1.340548827,0.530182404,0.514668071,0.681156663
3.0,2200.0,200.0,59.855232308,0.627865047,1.049807042,0.0,1.155548924,0.399208045,0.344720233,0.728014241
4.0,2200.0,200.0,165.101728783,0.668252182,1.495258196,0.0,1.15185984,0.355916153,0.328452817,1.28408871
4.0,2200.0,200.0,124.917632755,0.788486809,1.698785993,0.0,1.32472948,0.446844993,0.351237215,1.238340939
4.0,2200.0,200.0,168.18262517,0.678111592,1.550108109,0.0,1.256388399,0.384201744,0.340737611,1.266580665
2.0,2400.0,400.0,29.576597512,0.706673036,1.37431232,0.0,1.169186812,0.410702508,0.460205118,0.44386563
2.0,2400.0,400.0,33.035496722,0.603763014,0.799523537,0.0,1.11194904,0.330061829,0.321264826,0.405253733
2.0,2400.0,400.0,23.605536713,0.572922787,0.916034985,0.0,1.119117125,0.326048073,0.350285317,0.445776804
3.0,2400.0,400.0,56.428714135,0.689861818,1.167524021,0.0,1.244092093,0.370767072,0.365569582,0.727397081
3.0,2400.0,400.0,53.280546322,0.632319473,1.097074083,0.0,1.172530275,0.444483369,0.386265432,0.730793198
3.0,2400.0,400.0,58.096695527,0.609750355,1.005902454,0.0,1.186353852,0.392193129,0.442311589,0.712621119
4.0,2400.0,400.0,139.22586994,0.702833756,3.837750226,0.0,1.190445429,0.392609657,0.419017697,1.297718806
4.0,2400.0,400.0,119.028536123,0.723880011,1.633279864,0.0,1.256895269,0.43107468,0.465039313,1.364553883
4.0,2400.0,400.0,101.886421558,0.761828299,1.67462822,0.0,1.320319151,0.453271656,0.426467709,1.302973965
2.0,3000.0,0.0,46.89234597,0.737103446,0.755374566,42.671386691,4.36993956,0.477617355,0.4396542,0.274552076
2.0,3000.0,0.0,43.669856123,0.73777684,0.930530403,43.424182233,4.125974636,0.392938507,0.391586183,0.284407711
2.0,3000.0,0.0,37.052393166,0.976224641,0.86926727,40.048041371,4.204738067,0.450827013,0.428339997,0.305913689
3.0,3000.0,0.0,69.887924118,0.724115153,0.889086775,68.965190914,4.171609469,0.433779357,0.430835759,0.31429736
3.0,3000.0,0.0,98.033305089,0.860250285,0.994972224,100.631090688,4.296398394,0.535325422,0.485024796,0.334385217
3.0,3000.0,0.0,63.128429703,0.735520872,0.987671141,61.394876934,4.210023829,0.436252945,0.405882295,0.336824684
4.0,3000.0,0.0,188.115438348,0.785162741,1.097017744,188.433732819,4.394988959,0.552918876,0.548338851,0.311885128
4.0,3000.0,0.0,119.389488251,0.69946618,0.985519963,114.521086263,4.18565927,0.487324205,0.514645557,0.320008392
4.0,3000.0,0.0,132.547531419,0.818898079,1.03968536,131.306740346,4.273485078,0.525316512,0.500048365,0.359249376
2.0,3300.0,300.0,120.717163032,0.758015557,1.634133144,0.0,4.266913368,0.519971523,0.5166882,0.585234238
2.0,3300.0,300.0,46.621984534,0.71554948,1.258571987,0.0,4.203795565,0.437634034,0.430808785,0.566457243
2.0,3300.0,300.0,38.606376778,0.752177638,1.172454453,0.0,4.141931623,0.42209997,0.485554222,0.595253144
3.0,3300.0,300.0,130.25889402,0.767765127,1.161016899,0.0,4.153707975,0.42944807,0.418583598,0.864238054
3.0,3300.0,300.0,173.764958732,1.029412911,1.525961761,0.0,4.555004441,0.635109488,0.601290152,0.959422146
3.0,3300.0,300.0,134.292869204,0.955866637,1.389711417,0.0,4.32960425,0.487625982,0.415798834,0.876984806
4.0,3300.0,300.0,550.069204975,0.764854008,1.730472845,0.0,4.383730164,0.48338954,0.457203667,1.553689278
4.0,3300.0,300.0,149.336969936,0.854528388,1.801455708,0.0,4.368557742,0.59562699,0.510558554,1.5801132
4.0,3300.0,300.0,134.546752462,0.817082149,1.720994762,0.0,4.330868962,0.517451206,0.471324548,1.578719271
2.0,3600.0,600.0,38.981135581,0.820962615,1.277644968,0.0,4.22232736,0.453303073,0.465613449,0.58549346
2.0,3600.0,600.0,74.104886079,0.726889633,1.223680687,0.0,4.191712413,0.472309248,0.48205384,0.582732491
2.0,3600.0,600.0,40.827778264,0.768920064,1.159090954,0.0,4.200294518,0.459840345,0.443551511,0.608672933
3.0,3600.0,600.0,97.591846128,0.827876571,1.302134659,0.0,4.338768538,0.531047945,0.537216087,0.9022629
3.0,3600.0,600.0,109.875011986,0.966261605,1.541757868,0.0,4.407745181,0.538969432,0.540956583,0.908095069
3.0,3600.0,600.0,82.788511388,0.755831841,1.164133321,0.0,4.222593908,0.484723714,0.422565323,0.864541253
4.0,3600.0,600.0,253.755238546,0.837725453,1.684092295,0.0,4.248306376,0.470644872,0.423200415,1.565393291
4.0,3600.0,600.0,177.876738988,0.867143732,1.786209652,0.0,4.392786111,0.545163644,0.500681763,1.598338667
4.0,3600.0,600.0,131.071741305,0.822776042,1.677339203,0.0,4.356771466,0.531063445,0.43475279,1.542012425
2.0,4000.0,0.0,72.487406199,0.859366879,0.950262006,73.346925524,8.977569257,0.60594144,0.607045713,0.398899057
2.0,4000.0,0.0,64.475901666,0.908488593,1.062476363,61.506579071,8.88031611,0.602487427,0.599864368,0.447817439
2.0,4000.0,0.0,62.056337579,0.850484377,0.943617995,62.435617703,9.221057305,0.56917851,0.644721508,0.528659339
3.0,4000.0,0.0,123.818327405,0.844705793,1.058760655,120.695506401,9.151379858,0.671138982,0.641936709,0.441143906
3.0,4000.0,0.0,111.45060712,0.882690316,1.056185053,112.417032493,9.118810464,0.713053367,0.672603035,0.465689708
3.0,4000.0,0.0,112.192781064,0.900912719,1.166175742,109.785142724,8.89694682,0.629066574,0.623423954,0.513417969
4.0,4000.0,0.0,245.866284881,1.103318807,1.571577796,236.680942784,9.495916695,0.966469352,0.692113872,0.505735798
4.0,4000.0,0.0,336.023318766,0.91084983,1.385489757,341.114305277,9.231455131,0.876381309,0.627968386,0.433280222
4.0,4000.0,0.0,268.135050109,0.961950214,1.629919519,273.653768399,8.924190629,0.887456615,0.677086831,0.509571229
2.0,4400.0,400.0,62.954328296,1.080186209,1.577699458,0.0,9.437919501,0.574095785,0.587873216,0.772015571
2.0,4400.0,400.0,78.029209118,0.91367955,1.47397314,0.0,8.889734225,0.532933638,0.510228854,0.710137011
2.0,4400.0,400.0,78.747674397,0.947049674,1.63887172,0.0,8.804373139,0.534684235,0.540668241,1.132093273
3.0,4400.0,400.0,169.412811828,1.078403806,1.643450543,0.0,9.239469759,1.201203143,0.810237843,1.253594276
3.0,4400.0,400.0,165.510629721,1.093679169,1.66702121,0.0,9.480522859,0.727952672,0.662869502,1.042930209
3.0,4400.0,400.0,107.521694795,1.229794061,1.834432291,0.0,9.351020211,0.758296467,0.697046362,1.156344408
4.0,4400.0,400.0,217.908128953,1.100307642,2.144133925,0.0,9.476059848,0.740416315,0.679621448,2.008355862
4.0,4400.0,400.0,261.293379994,1.030696605,2.083261132,0.0,9.312044102,0.692093455,0.586750133,1.82266129
4.0,4400.0,400.0,207.836011824,0.954584382,1.79396762,0.0,9.091740247,0.642178995,0.594220234,1.890306101
2.0,4800.0,800.0,71.768038175,1.119005692,1.832597176,0.0,8.88901721,0.556191007,0.517164922,0.800358355
2.0,4800.0,800.0,61.138247633,1.251464374,1.767254764,0.0,8.941010116,0.617443115,0.521574217,0.789518825
2.0,4800.0,800.0,96.852093237,1.050731672,1.385496542,0.0,8.876566484,0.569049285,0.546416509,0.787754406
3.0,4800.0,800.0,122.659140911,1.030570388,1.467599079,0.0,9.028494236,0.675817976,0.633884049,1.080790086
3.0,4800.0,800.0,109.346361665,1.155484963,1.64405802,0.0,9.042292684,0.640323995,0.579954583,1.09916662
3.0,4800.0,800.0,129.8815884,0.937297556,1.405037277,0.0,9.627132661,0.718762704,0.638423779,1.129665291
4.0,4800.0,800.0,194.32715524,1.09181222,2.106610371,0.0,9.119695137,0.768959731,0.655033729,1.852725586
4.0,4800.0,800.0,310.275338497,0.986373444,1.899332812,0.0,9.202419094,0.730422665,0.580923248,1.926284892
4.0,4800.0,800.0,332.949662759,1.252400723,2.449432099,0.0,10.546129146,1.033370649,0.833102066,2.201445349
