wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GP,GS,BS,RND
4.0,3000.0,0.0,120732.0,118620.0,118610.0,120732.0,185099.0,200015.0,200015.0,206265.0
4.0,3000.0,0.0,121013.0,119009.0,117950.0,121013.0,183550.0,200538.0,200538.0,206029.0
4.0,3000.0,0.0,118487.0,117880.0,117718.0,118487.0,180608.0,199417.0,199417.0,205217.0
2.0,3300.0,300.0,109515.0,106404.0,106404.0,0.0,129340.0,138406.0,143095.0,149944.0
2.0,3300.0,300.0,109057.0,106606.0,106504.0,0.0,128385.0,135001.0,139444.0,149351.0
2.0,3300.0,300.0,108396.0,105966.0,105966.0,0.0,125688.0,130284.0,134664.0,147458.0
3.0,3300.0,300.0,114792.0,111649.0,111689.0,0.0,153233.0,164536.0,173978.0,180138.0
3.0,3300.0,300.0,114504.0,110990.0,110881.0,0.0,151288.0,162220.0,170734.0,179898.0
3.0,3300.0,300.0,114217.0,111294.0,110965.0,0.0,148104.0,158164.0,166427.0,179041.0
4.0,3300.0,300.0,117619.0,114314.0,113996.0,0.0,170234.0,184457.0,193836.0,199674.0
4.0,3300.0,300.0,117348.0,114639.0,113833.0,0.0,169923.0,184245.0,190739.0,199464.0
4.0,3300.0,300.0,116949.0,113902.0,113871.0,0.0,166324.0,183022.0,187479.0,198830.0
2.0,3600.0,600.0,108210.0,104928.0,104928.0,0.0,119180.0,128229.0,135257.0,144441.0
2.0,3600.0,600.0,108191.0,104775.0,104775.0,0.0,118302.0,124624.0,131312.0,143658.0
2.0,3600.0,600.0,108705.0,104450.0,104450.0,0.0,115726.0,119984.0,125972.0,140981.0
3.0,3600.0,600.0,113827.0,109041.0,109033.0,0.0,141586.0,151908.0,167444.0,174005.0
3.0,3600.0,600.0,113125.0,108815.0,108809.0,0.0,142887.0,148429.0,163801.0,173670.0
3.0,3600.0,600.0,113100.0,108500.0,108544.0,0.0,139974.0,145818.0,159135.0,172719.0
4.0,3600.0,600.0,116289.0,111947.0,111953.0,0.0,161143.0,171746.0,188214.0,193234.0
4.0,3600.0,600.0,116192.0,111929.0,111595.0,0.0,160475.0,172929.0,185020.0,193020.0
4.0,3600.0,600.0,116504.0,111257.0,111261.0,0.0,157839.0,173654.0,181230.0,192384.0
2.0,4000.0,0.0,113935.0,115212.0,113544.0,113935.0,145235.0,150002.0,150002.0,155032.0
2.0,4000.0,0.0,117884.0,114122.0,112909.0,117884.0,143080.0,146502.0,146502.0,154596.0
2.0,4000.0,0.0,111735.0,112852.0,111785.0,111735.0,139789.0,142331.0,142331.0,153221.0
3.0,4000.0,0.0,118797.0,119749.0,119065.0,118797.0,166309.0,179872.0,179872.0,186475.0
3.0,4000.0,0.0,118747.0,118884.0,118489.0,118747.0,164776.0,176277.0,176277.0,186146.0
3.0,4000.0,0.0,118664.0,118490.0,117735.0,118664.0,162373.0,172376.0,172376.0,185161.0
4.0,4000.0,0.0,125496.0,121183.0,121231.0,125496.0,180370.0,198800.0,198800.0,206285.0
4.0,4000.0,0.0,121024.0,121100.0,121051.0,121024.0,178766.0,198790.0,198790.0,206062.0
4.0,4000.0,0.0,120351.0,121650.0,121662.0,120351.0,175643.0,198051.0,198051.0,205221.0
2.0,4400.0,400.0,111331.0,109155.0,107712.0,0.0,130288.0,138263.0,142397.0,149974.0
2.0,4400.0,400.0,111045.0,107480.0,107482.0,0.0,128378.0,134834.0,138661.0,149377.0
2.0,4400.0,400.0,110774.0,106726.0,106727.0,0.0,126170.0,130196.0,133688.0,147479.0
3.0,4400.0,400.0,117170.0,114128.0,113182.0,0.0,151488.0,164454.0,173050.0,180216.0
3.0,4400.0,400.0,116272.0,113090.0,113077.0,0.0,150005.0,160440.0,169336.0,179943.0
3.0,4400.0,400.0,116845.0,113071.0,112575.0,0.0,147344.0,157333.0,164906.0,179004.0
4.0,4400.0,400.0,120345.0,116823.0,116779.0,0.0,166598.0,183406.0,192538.0,199657.0
4.0,4400.0,400.0,120070.0,116789.0,116564.0,0.0,165465.0,183349.0,189566.0,199483.0
4.0,4400.0,400.0,120647.0,116570.0,116231.0,0.0,164000.0,183100.0,185754.0,198866.0
2.0,4800.0,800.0,109643.0,106018.0,106019.0,0.0,119278.0,128755.0,134416.0,144474.0
2.0,4800.0,800.0,108402.0,105954.0,105958.0,0.0,119191.0,125423.0,130285.0,143594.0
2.0,4800.0,800.0,107522.0,105046.0,105038.0,0.0,116596.0,120365.0,124710.0,140959.0
3.0,4800.0,800.0,116035.0,111495.0,110642.0,0.0,141736.0,150999.0,166421.0,174008.0
3.0,4800.0,800.0,115900.0,110127.0,110093.0,0.0,142152.0,148493.0,162381.0,173692.0
3.0,4800.0,800.0,115550.0,110643.0,110207.0,0.0,139670.0,147290.0,157667.0,172713.0
4.0,4800.0,800.0,119389.0,113502.0,113459.0,0.0,161611.0,170747.0,186852.0,193242.0
4.0,4800.0,800.0,118833.0,113656.0,113528.0,0.0,155921.0,170783.0,183551.0,193055.0
4.0,4800.0,800.0,118797.0,113308.0,113315.0,0.0,155198.0,171564.0,179672.0,192440.0
2.0,5000.0,0.0,113343.0,115394.0,113520.0,113343.0,142644.0,149918.0,149918.0,155080.0
2.0,5000.0,0.0,113123.0,114463.0,112795.0,113123.0,141609.0,146138.0,146138.0,154637.0
2.0,5000.0,0.0,112090.0,112321.0,111453.0,112090.0,138921.0,141810.0,141810.0,153263.0
3.0,5000.0,0.0,121061.0,119660.0,118775.0,121061.0,163353.0,180535.0,180535.0,186550.0
3.0,5000.0,0.0,121889.0,118537.0,117751.0,121889.0,160968.0,176552.0,176552.0,186233.0
3.0,5000.0,0.0,117931.0,118018.0,117254.0,117931.0,158249.0,175414.0,175414.0,185244.0
4.0,5000.0,0.0,121131.0,120792.0,120823.0,121131.0,177183.0,199341.0,199341.0,206473.0
4.0,5000.0,0.0,121484.0,121591.0,121165.0,121484.0,174805.0,196749.0,196749.0,206240.0
4.0,5000.0,0.0,120555.0,120566.0,120033.0,120555.0,172082.0,193536.0,193536.0,205375.0
2.0,5500.0,500.0,111271.0,109017.0,107807.0,0.0,127213.0,137787.0,142225.0,150046.0
2.0,5500.0,500.0,110249.0,108313.0,107506.0,0.0,127183.0,134258.0,138293.0,149402.0
2.0,5500.0,500.0,110217.0,106992.0,106645.0,0.0,124426.0,130454.0,133376.0,147496.0
3.0,5500.0,500.0,116791.0,113284.0,112982.0,0.0,148197.0,165061.0,173143.0,180279.0
3.0,5500.0,500.0,116472.0,114366.0,113292.0,0.0,146670.0,161269.0,169243.0,180051.0
3.0,5500.0,500.0,115996.0,113146.0,112709.0,0.0,147043.0,156805.0,164652.0,179109.0
4.0,5500.0,500.0,119805.0,116481.0,116249.0,0.0,165461.0,182302.0,193100.0,199834.0
4.0,5500.0,500.0,120008.0,117025.0,116515.0,0.0,165587.0,180227.0,189613.0,199654.0
4.0,5500.0,500.0,119684.0,116211.0,115772.0,0.0,164420.0,179291.0,185686.0,199024.0
2.0,6000.0,1000.0,109500.0,105940.0,105940.0,0.0,117818.0,127499.0,134169.0,144587.0
2.0,6000.0,1000.0,108356.0,105696.0,105704.0,0.0,116871.0,124627.0,130082.0,143706.0
2.0,6000.0,1000.0,107678.0,105071.0,105038.0,0.0,115177.0,120063.0,124451.0,141029.0
3.0,6000.0,1000.0,115554.0,110733.0,110394.0,0.0,138982.0,152051.0,166311.0,174102.0
3.0,6000.0,1000.0,114859.0,110470.0,110242.0,0.0,140678.0,148221.0,162136.0,173778.0
3.0,6000.0,1000.0,114442.0,109969.0,109948.0,0.0,139946.0,146101.0,157265.0,172846.0
4.0,6000.0,1000.0,118628.0,113310.0,113274.0,0.0,155547.0,173324.0,187257.0,193392.0
4.0,6000.0,1000.0,118910.0,114289.0,113545.0,0.0,154552.0,170864.0,183556.0,193230.0
4.0,6000.0,1000.0,118628.0,113725.0,113378.0,0.0,156620.0,167602.0,179317.0,192596.0
2.0,6000.0,0.0,113789.0,116203.0,113695.0,113789.0,142814.0,150829.0,150829.0,155037.0
2.0,6000.0,0.0,114231.0,115093.0,112872.0,114231.0,141444.0,147124.0,147124.0,154590.0
2.0,6000.0,0.0,117314.0,115911.0,111687.0,117314.0,139164.0,142781.0,142781.0,153215.0
3.0,6000.0,0.0,118618.0,120506.0,118906.0,118618.0,165978.0,180881.0,180881.0,186477.0
3.0,6000.0,0.0,118080.0,120469.0,118798.0,118080.0,164592.0,177276.0,177276.0,186182.0
3.0,6000.0,0.0,117403.0,119308.0,118098.0,117403.0,161697.0,173349.0,173349.0,185186.0
4.0,6000.0,0.0,121576.0,122252.0,121758.0,121576.0,181835.0,200458.0,200458.0,206361.0
4.0,6000.0,0.0,120937.0,121703.0,121367.0,120937.0,179968.0,198437.0,198437.0,206128.0
4.0,6000.0,0.0,121074.0,121617.0,121068.0,121074.0,175531.0,196456.0,196456.0,205325.0
2.0,6600.0,600.0,111474.0,108687.0,107911.0,0.0,126041.0,139464.0,142872.0,149998.0
2.0,6600.0,600.0,110949.0,109161.0,107858.0,0.0,126265.0,135615.0,139091.0,149387.0
2.0,6600.0,600.0,110466.0,107153.0,107120.0,0.0,123897.0,130938.0,134252.0,147444.0
3.0,6600.0,600.0,117099.0,114171.0,113247.0,0.0,150806.0,166316.0,173839.0,180260.0
3.0,6600.0,600.0,117212.0,113743.0,113339.0,0.0,148901.0,162617.0,170280.0,179961.0
3.0,6600.0,600.0,116641.0,113202.0,112642.0,0.0,147413.0,158255.0,165901.0,179058.0
4.0,6600.0,600.0,120435.0,116973.0,117050.0,0.0,167965.0,184192.0,193737.0,199772.0
4.0,6600.0,600.0,120025.0,116519.0,116544.0,0.0,168691.0,181214.0,190813.0,199578.0
4.0,6600.0,600.0,120412.0,116735.0,116119.0,0.0,164958.0,179982.0,186896.0,198989.0
