wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
2.0,300.0,0.0,14847.0,12607.0,12607.0,14707.0,14847.0,12642.0,12702.0,12702.0,15310.0
3.0,300.0,0.0,16589.0,16583.0,16585.0,18393.0,16589.0,16551.0,16690.0,16690.0,18632.0
3.0,300.0,0.0,16093.0,16089.0,16069.0,18125.0,16093.0,16100.0,16348.0,16348.0,18599.0
3.0,300.0,0.0,15573.0,15580.0,15573.0,17928.0,15573.0,15612.0,15740.0,15740.0,18506.0
4.0,300.0,0.0,18531.0,18539.0,18563.0,20197.0,18531.0,18576.0,18740.0,18740.0,20606.0
4.0,300.0,0.0,18155.0,18153.0,18154.0,20151.0,18155.0,18150.0,18753.0,18753.0,20579.0
4.0,300.0,0.0,18063.0,17665.0,17659.0,19986.0,18063.0,17661.0,18125.0,18125.0,20495.0
2.0,330.0,30.0,12962.0,12945.0,12952.0,0.0,0.0,12964.0,12935.0,12957.0,14988.0
2.0,330.0,30.0,12377.0,12370.0,12372.0,0.0,0.0,12405.0,12379.0,12395.0,14925.0
2.0,330.0,30.0,11877.0,11877.0,11877.0,0.0,0.0,11867.0,11893.0,11913.0,14745.0
3.0,330.0,30.0,15824.0,15762.0,15762.0,0.0,0.0,15771.0,15766.0,15915.0,17997.0
3.0,330.0,30.0,15319.0,15296.0,15296.0,0.0,0.0,15335.0,15442.0,15439.0,17965.0
3.0,330.0,30.0,16144.0,14814.0,14814.0,0.0,0.0,14811.0,14888.0,14913.0,17881.0
4.0,330.0,30.0,17808.0,17764.0,17764.0,0.0,0.0,17759.0,17813.0,17941.0,19957.0
4.0,330.0,30.0,17409.0,17340.0,17340.0,0.0,0.0,17372.0,17791.0,17513.0,19930.0
4.0,330.0,30.0,16966.0,16878.0,16878.0,0.0,0.0,16864.0,17717.0,17050.0,19859.0
2.0,360.0,60.0,12194.0,12183.0,12183.0,0.0,0.0,12232.0,12171.0,12189.0,14418.0
2.0,360.0,60.0,11721.0,11710.0,11710.0,0.0,0.0,11699.0,11726.0,11740.0,14349.0
2.0,360.0,60.0,11242.0,11254.0,11242.0,0.0,0.0,11264.0,11271.0,11280.0,14087.0
3.0,360.0,60.0,14973.0,15105.0,15105.0,0.0,0.0,15137.0,15156.0,15197.0,17383.0
3.0,360.0,60.0,15164.0,14660.0,14660.0,0.0,0.0,14673.0,14723.0,14691.0,17335.0
3.0,360.0,60.0,13988.0,14120.0,14120.0,0.0,0.0,14152.0,14180.0,14113.0,17235.0
4.0,360.0,60.0,16994.0,17184.0,17064.0,0.0,0.0,17204.0,17140.0,17310.0,19286.0
4.0,360.0,60.0,16662.0,16740.0,16740.0,0.0,0.0,16710.0,16856.0,16866.0,19269.0
4.0,360.0,60.0,16279.0,16231.0,16231.0,0.0,0.0,16221.0,17022.0,16337.0,19215.0
2.0,400.0,0.0,13817.0,13832.0,13811.0,15331.0,13817.0,13838.0,13859.0,13859.0,15483.0
2.0,400.0,0.0,13259.0,13243.0,13243.0,15058.0,13259.0,13215.0,13307.0,13307.0,15442.0
2.0,400.0,0.0,12666.0,12668.0,12668.0,14772.0,12666.0,12689.0,12744.0,12744.0,15309.0
3.0,400.0,0.0,16533.0,16558.0,16543.0,18421.0,16533.0,16581.0,16703.0,16703.0,18602.0
3.0,400.0,0.0,16853.0,16089.0,16094.0,18192.0,16853.0,16099.0,16471.0,16471.0,18558.0
3.0,400.0,0.0,15918.0,15627.0,15633.0,17986.0,15918.0,15659.0,17041.0,17041.0,18477.0
4.0,400.0,0.0,18604.0,18536.0,18537.0,20354.0,18604.0,18570.0,18653.0,18653.0,20566.0
4.0,400.0,0.0,18176.0,18125.0,18130.0,20199.0,18176.0,18171.0,18324.0,18324.0,20538.0
4.0,400.0,0.0,17670.0,17620.0,17633.0,20014.0,17670.0,17682.0,17963.0,17963.0,20451.0
2.0,440.0,40.0,13016.0,12994.0,13012.0,0.0,0.0,12963.0,12995.0,12999.0,14975.0
2.0,440.0,40.0,12432.0,12435.0,12435.0,0.0,0.0,12458.0,12419.0,12441.0,14926.0
2.0,440.0,40.0,14035.0,11883.0,11883.0,0.0,0.0,11897.0,11879.0,11890.0,14720.0
3.0,440.0,40.0,15865.0,15800.0,15800.0,0.0,0.0,15814.0,15820.0,15892.0,17970.0
3.0,440.0,40.0,15461.0,15361.0,15361.0,0.0,0.0,15404.0,15728.0,15416.0,17959.0
3.0,440.0,40.0,15108.0,14850.0,14850.0,0.0,0.0,14854.0,15563.0,14896.0,17866.0
4.0,440.0,40.0,17859.0,17791.0,17791.0,0.0,0.0,17777.0,17814.0,17935.0,19907.0
4.0,440.0,40.0,17416.0,17327.0,17327.0,0.0,0.0,17404.0,17385.0,17463.0,19892.0
4.0,440.0,40.0,17597.0,16898.0,16898.0,0.0,0.0,16933.0,16991.0,17008.0,19822.0
2.0,480.0,80.0,12183.0,12190.0,12190.0,0.0,0.0,12221.0,12190.0,12211.0,14414.0
2.0,480.0,80.0,12691.0,11673.0,11673.0,0.0,0.0,11685.0,11675.0,11693.0,14339.0
2.0,480.0,80.0,13096.0,11191.0,11191.0,0.0,0.0,11225.0,11197.0,11203.0,14097.0
3.0,480.0,80.0,15108.0,15151.0,15151.0,0.0,0.0,15173.0,15203.0,15195.0,17345.0
3.0,480.0,80.0,14734.0,14692.0,14692.0,0.0,0.0,14688.0,15256.0,14687.0,17340.0
3.0,480.0,80.0,14322.0,14159.0,14159.0,0.0,0.0,14157.0,15291.0,14132.0,17229.0
4.0,480.0,80.0,17039.0,17194.0,17113.0,0.0,0.0,17238.0,17180.0,17290.0,19265.0
4.0,480.0,80.0,16847.0,16736.0,16736.0,0.0,0.0,16762.0,16767.0,16808.0,19238.0
4.0,480.0,80.0,17170.0,16286.0,16286.0,0.0,0.0,16266.0,16320.0,16313.0,19162.0
2.0,500.0,0.0,13854.0,13850.0,13844.0,15469.0,13854.0,13833.0,13901.0,13901.0,15512.0
2.0,500.0,0.0,14372.0,13251.0,13244.0,15344.0,14372.0,13275.0,13319.0,13319.0,15472.0
2.0,500.0,0.0,14855.0,12665.0,12665.0,14927.0,14855.0,12650.0,12739.0,12739.0,15338.0
3.0,500.0,0.0,16563.0,16576.0,16553.0,18512.0,16563.0,16584.0,16701.0,16701.0,18656.0
3.0,500.0,0.0,16124.0,16141.0,16117.0,18312.0,16124.0,16136.0,16869.0,16869.0,18626.0
3.0,500.0,0.0,15628.0,15611.0,15637.0,18193.0,15628.0,15650.0,17030.0,17030.0,18525.0
4.0,500.0,0.0,18600.0,18608.0,18610.0,20490.0,18600.0,18644.0,18729.0,18729.0,20635.0
4.0,500.0,0.0,18956.0,18111.0,18134.0,20228.0,18956.0,18175.0,18274.0,18274.0,20596.0
4.0,500.0,0.0,18048.0,17717.0,17722.0,20264.0,18048.0,17747.0,18194.0,18194.0,20539.0
2.0,550.0,50.0,13001.0,13005.0,13006.0,0.0,0.0,13037.0,13009.0,13034.0,15012.0
2.0,550.0,50.0,13565.0,12466.0,12466.0,0.0,0.0,12438.0,12457.0,12479.0,14944.0
2.0,550.0,50.0,14026.0,11892.0,11911.0,0.0,0.0,11914.0,11854.0,11881.0,14753.0
3.0,550.0,50.0,15867.0,15809.0,15809.0,0.0,0.0,15787.0,15857.0,15870.0,18031.0
3.0,550.0,50.0,15377.0,15311.0,15311.0,0.0,0.0,15363.0,16238.0,15382.0,18012.0
3.0,550.0,50.0,15104.0,14844.0,14844.0,0.0,0.0,14856.0,16312.0,14868.0,17908.0
4.0,550.0,50.0,17961.0,17810.0,17810.0,0.0,0.0,17888.0,17883.0,17936.0,19972.0
4.0,550.0,50.0,17652.0,17433.0,17433.0,0.0,0.0,17449.0,17464.0,17524.0,19950.0
4.0,550.0,50.0,17353.0,16947.0,16947.0,0.0,0.0,16917.0,17177.0,17031.0,19884.0
2.0,600.0,100.0,12234.0,12234.0,12228.0,0.0,0.0,12205.0,12228.0,12223.0,14450.0
2.0,600.0,100.0,11706.0,11694.0,11706.0,0.0,0.0,11722.0,11676.0,11679.0,14355.0
2.0,600.0,100.0,13147.0,11257.0,11254.0,0.0,0.0,11247.0,11240.0,11244.0,14103.0
3.0,600.0,100.0,15080.0,15141.0,15141.0,0.0,0.0,15173.0,15143.0,15203.0,17394.0
3.0,600.0,100.0,14738.0,14674.0,14674.0,0.0,0.0,14690.0,15487.0,14683.0,17387.0
3.0,600.0,100.0,14299.0,14166.0,14166.0,0.0,0.0,14208.0,15841.0,14149.0,17297.0
4.0,600.0,100.0,17014.0,17255.0,17070.0,0.0,0.0,17236.0,17198.0,17358.0,19324.0
4.0,600.0,100.0,16828.0,16755.0,16755.0,0.0,0.0,16749.0,16884.0,16883.0,19299.0
4.0,600.0,100.0,16604.0,16251.0,16251.0,0.0,0.0,16268.0,16266.0,16370.0,19219.0
2.0,600.0,0.0,13835.0,13809.0,13818.0,15370.0,13835.0,13842.0,13844.0,13844.0,15526.0
2.0,600.0,0.0,13211.0,13200.0,13214.0,15281.0,13211.0,13255.0,13267.0,13267.0,15472.0
2.0,600.0,0.0,14877.0,12664.0,12664.0,14924.0,14877.0,12701.0,12712.0,12712.0,15347.0
3.0,600.0,0.0,16589.0,16587.0,16579.0,18543.0,16589.0,16665.0,16629.0,16629.0,18671.0
3.0,600.0,0.0,16147.0,16154.0,16138.0,18367.0,16147.0,16230.0,16176.0,16176.0,18640.0
3.0,600.0,0.0,15648.0,15632.0,15637.0,18237.0,15648.0,15723.0,15915.0,15915.0,18538.0
4.0,600.0,0.0,18644.0,18589.0,18593.0,20607.0,18644.0,18642.0,18735.0,18735.0,20660.0
4.0,600.0,0.0,18184.0,18164.0,18179.0,20351.0,18184.0,18202.0,18363.0,18363.0,20633.0
4.0,600.0,0.0,18135.0,17695.0,17707.0,20286.0,18135.0,17767.0,18466.0,18466.0,20546.0
2.0,660.0,60.0,12991.0,12971.0,12971.0,0.0,0.0,13025.0,12978.0,12980.0,15018.0
2.0,660.0,60.0,12432.0,12435.0,12435.0,0.0,0.0,12447.0,12432.0,12426.0,14961.0
2.0,660.0,60.0,11888.0,11889.0,11883.0,0.0,0.0,11886.0,11874.0,11879.0,14771.0
3.0,660.0,60.0,15937.0,15828.0,15828.0,0.0,0.0,15905.0,15840.0,15914.0,18027.0
3.0,660.0,60.0,15443.0,15320.0,15320.0,0.0,0.0,15400.0,15339.0,15407.0,18024.0
3.0,660.0,60.0,15523.0,14823.0,14823.0,0.0,0.0,14879.0,15052.0,14926.0,17923.0
4.0,660.0,60.0,17918.0,17832.0,17832.0,0.0,0.0,17884.0,17893.0,18010.0,19989.0
4.0,660.0,60.0,17539.0,17376.0,17376.0,0.0,0.0,17451.0,17840.0,17542.0,19974.0
4.0,660.0,60.0,17291.0,16906.0,16906.0,0.0,0.0,17031.0,17255.0,17020.0,19917.0
2.0,720.0,120.0,12171.0,12163.0,12169.0,0.0,0.0,12200.0,12161.0,12162.0,14456.0
2.0,720.0,120.0,11673.0,11684.0,11668.0,0.0,0.0,11673.0,11668.0,11674.0,14385.0
