wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,745.0,745.0,698.0,785.0
2.0,20.0,0.0,663.0,663.0,663.0,663.0,672.0,663.0,661.0,762.0,762.0,663.0,780.0
2.0,20.0,0.0,641.0,641.0,641.0,641.0,641.0,641.0,631.0,776.0,776.0,631.0,778.0
3.0,20.0,0.0,852.0,852.0,823.0,829.0,860.0,852.0,823.0,922.0,922.0,828.0,946.0
3.0,20.0,0.0,852.0,852.0,823.0,829.0,860.0,852.0,823.0,922.0,922.0,828.0,944.0
3.0,20.0,0.0,781.0,781.0,781.0,781.0,796.0,781.0,781.0,907.0,907.0,786.0,937.0
4.0,20.0,0.0,959.0,959.0,955.0,960.0,961.0,959.0,962.0,1043.0,1043.0,966.0,1049.0
4.0,20.0,0.0,936.0,940.0,907.0,907.0,936.0,940.0,897.0,1058.0,1058.0,938.0,1045.0
4.0,20.0,0.0,936.0,940.0,907.0,907.0,936.0,940.0,897.0,1058.0,1058.0,938.0,1047.0
2.0,22.0,2.0,653.0,653.0,653.0,653.0,0.0,0.0,652.0,650.0,680.0,653.0,757.0
2.0,22.0,2.0,632.0,628.0,628.0,628.0,0.0,0.0,624.0,679.0,649.0,632.0,752.0
2.0,22.0,2.0,601.0,601.0,602.0,602.0,0.0,0.0,602.0,701.0,618.0,603.0,748.0
3.0,22.0,2.0,791.0,849.0,777.0,777.0,0.0,0.0,776.0,871.0,816.0,777.0,910.0
3.0,22.0,2.0,791.0,849.0,777.0,777.0,0.0,0.0,776.0,871.0,816.0,777.0,911.0
3.0,22.0,2.0,750.0,845.0,748.0,748.0,0.0,0.0,742.0,855.0,778.0,744.0,906.0
4.0,22.0,2.0,907.0,894.0,887.0,887.0,0.0,0.0,876.0,978.0,978.0,891.0,1012.0
4.0,22.0,2.0,907.0,894.0,887.0,887.0,0.0,0.0,876.0,978.0,978.0,891.0,1013.0
4.0,22.0,2.0,862.0,862.0,840.0,840.0,0.0,0.0,841.0,984.0,984.0,837.0,1004.0
2.0,24.0,4.0,619.0,619.0,619.0,619.0,0.0,0.0,611.0,612.0,632.0,620.0,731.0
2.0,24.0,4.0,594.0,594.0,594.0,594.0,0.0,0.0,594.0,637.0,607.0,594.0,725.0
2.0,24.0,4.0,570.0,573.0,573.0,573.0,0.0,0.0,573.0,658.0,587.0,576.0,720.0
3.0,24.0,4.0,769.0,769.0,766.0,775.0,0.0,0.0,759.0,814.0,803.0,758.0,882.0
3.0,24.0,4.0,747.0,779.0,732.0,730.0,0.0,0.0,732.0,789.0,766.0,738.0,876.0
3.0,24.0,4.0,695.0,709.0,698.0,697.0,0.0,0.0,697.0,727.0,728.0,699.0,868.0
4.0,24.0,4.0,866.0,864.0,880.0,863.0,0.0,0.0,875.0,899.0,935.0,871.0,978.0
4.0,24.0,4.0,856.0,849.0,840.0,840.0,0.0,0.0,840.0,892.0,884.0,849.0,974.0
4.0,24.0,4.0,856.0,849.0,840.0,840.0,0.0,0.0,840.0,892.0,884.0,849.0,980.0
