wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,RND
3.0,240.0,40.0,4.549965146,0.195150451,0.230355658,0.0,0.0,0.008513201,0.006596285,0.006363937,0.052745144
3.0,240.0,40.0,1.17252433,0.224267078,0.254572512,0.0,0.0,0.008728804,0.006782355,0.006592266,0.062586722
4.0,240.0,40.0,330.949995894,0.194448901,0.558823805,0.0,0.0,0.008629291,0.006817169,0.006648719,0.090212758
4.0,240.0,40.0,121.607983479,0.192598851,0.294125828,0.0,0.0,0.009918945,0.006764805,0.006680476,0.104756869
4.0,240.0,40.0,260.287644879,0.197510164,0.252285157,0.0,0.0,0.008850926,0.006920456,0.006865482,0.110969378
2.0,300.0,0.0,0.532328844,0.199523835,0.199826714,88.282247151,0.52802805,0.011609277,0.007442522,0.007402377,0.007500823
2.0,300.0,0.0,0.433035315,0.204400133,0.203110011,88.873499215,0.42995837,0.011621428,0.007547382,0.007452535,0.007188737
2.0,300.0,0.0,0.59266844,0.202023929,0.198507534,87.021931397,0.619899855,0.011774436,0.007609824,0.008005582,0.007290552
3.0,300.0,0.0,1.576661077,0.202899476,0.204070083,84.17243958,1.59260623,0.012004341,0.007930514,0.00798611,0.009457547
3.0,300.0,0.0,0.949901201,0.207246506,0.205595507,84.365086804,0.923286084,0.011607327,0.007790025,0.007935299,0.008127982
3.0,300.0,0.0,0.75914308,0.194403541,0.198960566,83.992440289,0.773902278,0.011942133,0.007883287,0.007861997,0.009169412
4.0,300.0,0.0,22.831601428,0.200643077,0.208125196,81.146240091,22.596258793,0.012294209,0.008118607,0.008122414,0.010975794
4.0,300.0,0.0,4.790508278,0.204430046,0.209720469,81.455710996,4.807289335,0.012304976,0.007944956,0.008206029,0.010685723
4.0,300.0,0.0,7.267483222,0.197992838,0.199576692,81.380976031,7.354712084,0.012715696,0.0083353,0.008329509,0.010814342
2.0,330.0,30.0,1.187115625,0.208269667,0.22888464,0.0,0.0,0.011379057,0.007594373,0.007474216,0.03756498
2.0,330.0,30.0,1.301702554,0.208123796,0.228029575,0.0,0.0,0.011484294,0.007637555,0.007433228,0.03843611
2.0,330.0,30.0,1.164584738,0.202027835,0.217067149,0.0,0.0,0.011358076,0.007478075,0.007474217,0.041219806
3.0,330.0,30.0,6.827688348,0.201440428,0.2331387,0.0,0.0,0.011376191,0.007756558,0.007631062,0.072189372
3.0,330.0,30.0,3.169481887,0.200649605,0.231801114,0.0,0.0,0.011801482,0.007845806,0.007536826,0.069706964
3.0,330.0,30.0,8.898358919,0.200699331,0.22144617,0.0,0.0,0.011683167,0.007698769,0.009016953,0.069119964
4.0,330.0,30.0,16.663308403,0.202336857,0.260453742,0.0,0.0,0.012137654,0.008190315,0.007910518,0.122360735
4.0,330.0,30.0,16.010240877,0.207574398,0.268967163,0.0,0.0,0.012376553,0.009750966,0.008141834,0.117580853
4.0,330.0,30.0,7.850222138,0.202311504,0.25824471,0.0,0.0,0.01236942,0.008223276,0.007864249,0.116141938
2.0,360.0,60.0,1.009570393,0.202951096,0.218658136,0.0,0.0,0.011269287,0.007622185,0.007263186,0.040371048
2.0,360.0,60.0,0.798793154,0.20500854,0.220909424,0.0,0.0,0.011515419,0.007574124,0.00740313,0.039768422
2.0,360.0,60.0,0.611725003,0.203603059,0.226370892,0.0,0.0,0.011603146,0.00765714,0.007449107,0.037108679
3.0,360.0,60.0,2.046475479,0.204015432,0.236959993,0.0,0.0,0.011864637,0.008053277,0.007631021,0.067783543
3.0,360.0,60.0,2.541643652,0.202623756,0.235227334,0.0,0.0,0.011936444,0.007969508,0.007512188,0.072624274
3.0,360.0,60.0,1.361444028,0.202710275,0.232411414,0.0,0.0,0.012133183,0.007921718,0.007678621,0.06863339
4.0,360.0,60.0,13.797105391,0.203386984,0.527084624,0.0,0.0,0.012682319,0.008275394,0.00773784,0.1207154
4.0,360.0,60.0,8.480633239,0.197978186,0.25229167,0.0,0.0,0.012488641,0.00824144,0.008641534,0.112776808
4.0,360.0,60.0,3.480401359,0.19485025,0.246114147,0.0,0.0,0.012349711,0.007950281,0.008200252,0.112400768
2.0,400.0,0.0,0.672501047,0.196797085,0.19945845,168.33508876,0.691806055,0.01488257,0.011893237,0.009428825,0.010533557
2.0,400.0,0.0,0.527345509,0.195508086,0.199014472,166.008287622,0.522870318,0.015395676,0.010359391,0.009261712,0.011238246
2.0,400.0,0.0,0.575546225,0.194409329,0.198413904,164.995649164,0.545000011,0.015764679,0.008917153,0.008995521,0.011763999
3.0,400.0,0.0,2.028616689,0.206636827,0.209690769,154.173959599,1.995715046,0.015877041,0.009211051,0.009206061,0.011378657
3.0,400.0,0.0,2.479119318,0.197821501,0.198187861,152.447808717,2.541813241,0.01650794,0.009374206,0.00948738,0.012700257
3.0,400.0,0.0,1.142363572,0.211894379,0.212143135,154.242336758,1.123871451,0.016330237,0.009413721,0.00955158,0.013010882
4.0,400.0,0.0,4.464414875,0.203786577,0.206539983,143.780725245,4.470196859,0.016576481,0.010067578,0.010051407,0.013810771
4.0,400.0,0.0,5.187235736,0.201597743,0.212529983,146.183249136,5.210799425,0.017056397,0.010123016,0.010073955,0.014822783
