wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT
2.0,20.0,0.0,691.0,691.0,691.0,691.0,691.0,691.0,691.0,739.0,739.0,689.0
2.0,20.0,0.0,658.0,658.0,658.0,658.0,666.0,658.0,667.0,754.0,754.0,658.0
2.0,20.0,0.0,628.0,628.0,628.0,628.0,628.0,628.0,628.0,764.0,764.0,628.0
3.0,20.0,0.0,814.0,814.0,813.0,810.0,821.0,814.0,813.0,884.0,884.0,803.0
3.0,20.0,0.0,814.0,814.0,813.0,810.0,821.0,814.0,813.0,884.0,884.0,803.0
3.0,20.0,0.0,770.0,770.0,770.0,770.0,784.0,770.0,774.0,871.0,871.0,770.0
4.0,20.0,0.0,917.0,917.0,933.0,931.0,919.0,917.0,922.0,1003.0,1003.0,916.0
4.0,20.0,0.0,883.0,886.0,892.0,888.0,883.0,886.0,902.0,1020.0,1020.0,881.0
4.0,20.0,0.0,883.0,886.0,892.0,888.0,883.0,886.0,902.0,1020.0,1020.0,881.0
2.0,22.0,2.0,645.0,645.0,645.0,645.0,0.0,0.0,655.0,648.0,670.0,643.0
2.0,22.0,2.0,620.0,618.0,618.0,618.0,0.0,0.0,620.0,674.0,640.0,617.0
2.0,22.0,2.0,588.0,588.0,585.0,585.0,0.0,0.0,585.0,696.0,615.0,585.0
3.0,22.0,2.0,764.0,797.0,767.0,767.0,0.0,0.0,767.0,835.0,808.0,755.0
3.0,22.0,2.0,764.0,797.0,767.0,767.0,0.0,0.0,767.0,835.0,808.0,755.0
3.0,22.0,2.0,725.0,804.0,735.0,735.0,0.0,0.0,733.0,823.0,760.0,725.0
4.0,22.0,2.0,862.0,855.0,865.0,865.0,0.0,0.0,871.0,936.0,936.0,839.0
4.0,22.0,2.0,862.0,855.0,865.0,865.0,0.0,0.0,871.0,936.0,936.0,839.0
4.0,22.0,2.0,828.0,814.0,822.0,822.0,0.0,0.0,821.0,928.0,928.0,806.0
2.0,24.0,4.0,603.0,603.0,603.0,603.0,0.0,0.0,603.0,609.0,626.0,603.0
2.0,24.0,4.0,577.0,577.0,577.0,577.0,0.0,0.0,577.0,624.0,608.0,577.0
2.0,24.0,4.0,563.0,561.0,561.0,561.0,0.0,0.0,561.0,646.0,575.0,558.0
3.0,24.0,4.0,738.0,738.0,753.0,751.0,0.0,0.0,754.0,789.0,791.0,726.0
3.0,24.0,4.0,714.0,750.0,725.0,704.0,0.0,0.0,725.0,768.0,749.0,702.0
3.0,24.0,4.0,686.0,698.0,694.0,678.0,0.0,0.0,695.0,710.0,721.0,674.0
4.0,24.0,4.0,844.0,834.0,863.0,844.0,0.0,0.0,869.0,861.0,909.0,819.0
4.0,24.0,4.0,820.0,812.0,822.0,822.0,0.0,0.0,822.0,857.0,878.0,794.0
4.0,24.0,4.0,820.0,812.0,822.0,822.0,0.0,0.0,822.0,857.0,878.0,794.0
