wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,1.46807015,0.042861216,0.188427036,0.188340084,0.030175011,0.042455086,8.5696e-5,0.084691706,0.000128998,0.484801633,0.056762388
2.0,20.0,0.0,1.435739606,0.038319613,0.188009033,0.18809012,0.025552322,0.034207397,8.5766e-5,8.1296e-5,7.9201e-5,0.365698869,0.000270568
2.0,20.0,0.0,1.392330686,0.050948617,0.192132772,0.188417817,0.026431211,0.041409134,8.5626e-5,7.6127e-5,7.4451e-5,0.358255059,0.000414581
3.0,20.0,0.0,44.418443548,0.071972186,0.188712896,0.188606946,0.038334279,0.070086876,9.4915e-5,7.7664e-5,9.8477e-5,1.752557147,0.000384828
3.0,20.0,0.0,44.346256622,0.069088173,0.190567292,0.188688198,0.027063851,0.061490917,9.4077e-5,8.7373e-5,8.6744e-5,1.737431323,0.000426943
3.0,20.0,0.0,15.631179504,0.078906396,0.192038714,0.188025881,0.025816126,0.059979818,9.6382e-5,8.8769e-5,8.6534e-5,1.4865747,0.000766934
4.0,20.0,0.0,1970.912630569,0.104699487,0.194712961,0.188867778,0.035537158,0.1151369,9.7918e-5,8.4298e-5,7.7594e-5,27.462215232,0.000661191
4.0,20.0,0.0,1863.635583804,0.113194659,0.21409039,0.187282953,0.031154809,0.090361218,9.7569e-5,8.4648e-5,8.4578e-5,20.888639349,0.000443425
4.0,20.0,0.0,1861.822090126,0.089156103,0.187804192,0.188143134,0.031498921,0.099579499,9.1003e-5,8.6254e-5,8.381e-5,20.739198047,0.000508518
2.0,22.0,2.0,2.993353441,0.055294015,0.191012793,0.187746083,0.0,0.0,8.8559e-5,8.6744e-5,8.3112e-5,4.81539692,0.011937426
2.0,22.0,2.0,2.376510509,0.10112824,0.187469859,0.188498069,0.0,0.0,9.2121e-5,8.6255e-5,8.2553e-5,3.906044259,0.001634018
2.0,22.0,2.0,1.922853799,0.062515236,0.18753572,0.187849589,0.0,0.0,8.863e-5,8.2553e-5,8.4578e-5,3.293556241,0.001550208
3.0,22.0,2.0,480.624684758,0.266410593,0.192030397,0.187881786,0.0,0.0,8.9747e-5,9.2471e-5,7.3893e-5,170.006804713,0.003020313
3.0,22.0,2.0,480.902457764,0.282257838,0.187422536,0.187951936,0.0,0.0,8.8769e-5,8.395e-5,8.0248e-5,170.794744586,0.00305551
3.0,22.0,2.0,151.919049359,0.096432842,0.191764277,0.187946094,0.0,0.0,8.9676e-5,8.3322e-5,7.941e-5,166.890272344,0.003091269
4.0,22.0,2.0,1816.706058783,0.086630342,0.187977951,0.188218486,0.0,0.0,9.6871e-5,9.1003e-5,8.9048e-5,1249.062869443,0.005854833
4.0,22.0,2.0,1811.554867912,0.085624112,0.187548288,0.192501248,0.0,0.0,9.7849e-5,8.9956e-5,9.0585e-5,1245.287314366,0.005601237
4.0,22.0,2.0,1688.135383925,0.100330739,0.202553423,0.188738149,0.0,0.0,9.9245e-5,8.7372e-5,8.4788e-5,1791.751293789,0.005751261
2.0,24.0,4.0,6.382533821,0.075162952,0.187661084,0.187766615,0.0,0.0,8.8629e-5,8.7302e-5,8.2273e-5,19.476014253,0.002142118
2.0,24.0,4.0,4.229302801,0.054370497,0.187483548,0.189060646,0.0,0.0,8.9537e-5,8.5486e-5,8.1575e-5,8.754019879,0.001843962
2.0,24.0,4.0,3.036873126,0.053883421,0.192522354,0.188398267,0.0,0.0,8.9328e-5,8.821e-5,7.6267e-5,5.515161367,0.002106218
3.0,24.0,4.0,1011.457519635,0.169784407,0.187417363,0.188778091,0.0,0.0,8.9677e-5,7.8503e-5,7.5289e-5,1877.960155377,0.003159364
3.0,24.0,4.0,630.058828199,0.128948196,0.187576086,0.199690837,0.0,0.0,9.1982e-5,8.4369e-5,8.0248e-5,2824.167205148,0.00314267
3.0,24.0,4.0,210.255714655,0.106895914,0.195862953,0.187695097,0.0,0.0,9.3099e-5,8.5766e-5,7.9899e-5,1366.988106234,0.003180526
4.0,24.0,4.0,2977.793158228,0.277178301,0.191940592,0.188632466,0.0,0.0,9.7848e-5,9.1283e-5,7.7175e-5,3603.556475859,0.004034339
4.0,24.0,4.0,3045.358127545,0.119604741,0.234861835,0.228257113,0.0,0.0,0.000107906,9.4007e-5,8.5836e-5,3603.764884012,0.005170456
4.0,24.0,4.0,3058.593838212,0.113255202,0.204440894,0.205648179,0.0,0.0,9.9105e-5,0.000102667,8.4299e-5,3603.706027037,0.005562482
