wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,703.0,703.0,703.0,703.0,703.0,703.0,723.0,762.0,762.0,714.0,772.0
2.0,20.0,0.0,682.0,682.0,684.0,682.0,682.0,682.0,690.0,768.0,768.0,682.0,768.0
2.0,20.0,0.0,656.0,658.0,661.0,661.0,656.0,658.0,661.0,772.0,772.0,656.0,762.0
3.0,20.0,0.0,820.0,820.0,859.0,859.0,820.0,820.0,822.0,905.0,905.0,822.0,928.0
3.0,20.0,0.0,820.0,820.0,859.0,859.0,820.0,820.0,822.0,905.0,905.0,822.0,927.0
3.0,20.0,0.0,789.0,801.0,789.0,789.0,789.0,801.0,799.0,885.0,885.0,789.0,915.0
4.0,20.0,0.0,941.0,941.0,965.0,957.0,946.0,941.0,955.0,1031.0,1031.0,943.0,1030.0
4.0,20.0,0.0,910.0,918.0,933.0,933.0,918.0,918.0,908.0,1018.0,1018.0,918.0,1024.0
4.0,20.0,0.0,910.0,918.0,933.0,933.0,918.0,918.0,908.0,1018.0,1018.0,918.0,1020.0
2.0,22.0,2.0,669.0,669.0,677.0,677.0,0.0,0.0,672.0,695.0,693.0,665.0,745.0
2.0,22.0,2.0,652.0,649.0,654.0,654.0,0.0,0.0,654.0,701.0,675.0,649.0,746.0
2.0,22.0,2.0,625.0,625.0,625.0,625.0,0.0,0.0,625.0,724.0,642.0,623.0,736.0
3.0,22.0,2.0,794.0,811.0,782.0,782.0,0.0,0.0,785.0,853.0,827.0,776.0,895.0
3.0,22.0,2.0,794.0,811.0,782.0,782.0,0.0,0.0,785.0,853.0,827.0,776.0,896.0
3.0,22.0,2.0,762.0,761.0,761.0,761.0,0.0,0.0,752.0,844.0,792.0,757.0,888.0
4.0,22.0,2.0,887.0,885.0,901.0,901.0,0.0,0.0,893.0,956.0,956.0,869.0,992.0
4.0,22.0,2.0,887.0,885.0,901.0,901.0,0.0,0.0,893.0,956.0,956.0,869.0,992.0
4.0,22.0,2.0,856.0,850.0,880.0,856.0,0.0,0.0,851.0,938.0,938.0,833.0,984.0
2.0,24.0,4.0,637.0,637.0,636.0,636.0,0.0,0.0,636.0,659.0,652.0,632.0,725.0
2.0,24.0,4.0,614.0,614.0,614.0,614.0,0.0,0.0,614.0,663.0,629.0,615.0,719.0
2.0,24.0,4.0,587.0,587.0,589.0,589.0,0.0,0.0,589.0,674.0,600.0,588.0,712.0
3.0,24.0,4.0,761.0,761.0,772.0,772.0,0.0,0.0,760.0,775.0,813.0,770.0,866.0
3.0,24.0,4.0,747.0,764.0,740.0,740.0,0.0,0.0,740.0,765.0,780.0,740.0,864.0
3.0,24.0,4.0,724.0,723.0,711.0,711.0,0.0,0.0,735.0,745.0,750.0,716.0,858.0
4.0,24.0,4.0,879.0,858.0,890.0,890.0,0.0,0.0,870.0,870.0,930.0,854.0,961.0
4.0,24.0,4.0,825.0,824.0,876.0,876.0,0.0,0.0,841.0,863.0,920.0,825.0,958.0
4.0,24.0,4.0,825.0,824.0,876.0,876.0,0.0,0.0,841.0,863.0,920.0,832.0,956.0
