wareh,capacity,buffer,CHI,CHILOC,GS,BS,RND
2.0,10000.0,0.0,0.4178664921465969,0.5716623036649215,0.1092750145433391,0.1092750145433391,0.0
2.0,10000.0,0.0,0.3767845034544688,0.5744864112009089,0.17503252881778364,0.17503252881778364,0.0
2.0,10000.0,0.0,0.31816470942487207,0.5841237579042458,0.2438083408611864,0.2438083408611864,0.0
3.0,10000.0,0.0,0.5535118606375093,0.6232973498888066,0.09750277983691624,0.09750277983691624,0.0
3.0,10000.0,0.0,0.5559509687623567,0.6204963598725374,0.11843788523713161,0.11843788523713161,0.0
3.0,10000.0,0.0,0.5522172349775574,0.6326815970671869,0.1815148168166757,0.1815148168166757,0.0
4.0,10000.0,0.0,0.608020856863188,0.6399367517506211,0.08705105037271288,0.08705105037271288,0.0
4.0,10000.0,0.0,0.6108222371115536,0.6289505223324243,0.11942397161380425,0.11942397161380425,0.0
4.0,10000.0,0.0,0.6013185056935473,0.6337198793748038,0.15286484840989734,0.15286484840989734,0.0
2.0,12000.0,2000.0,0.5046512151721962,0.6097484064238574,0.35229857873279724,0.26603148861409553,0.0
2.0,12000.0,2000.0,0.5249108272926015,0.6392129789437349,0.4269474168680244,0.35768035899206074,0.0
2.0,12000.0,2000.0,0.5733274690905537,0.624346381273518,0.5123637785270977,0.46381273518056976,0.0
3.0,12000.0,2000.0,0.6434899038396515,0.6751376134381044,0.2851134042927278,0.13734294485995213,0.0
3.0,12000.0,2000.0,0.621871186440678,0.6542779661016949,0.3074847457627119,0.1939796610169492,0.0
3.0,12000.0,2000.0,0.6105577415183117,0.6361059901494097,0.3653110640288364,0.25590897834521087,0.0
4.0,12000.0,2000.0,0.6710188930253516,0.6809642845647952,0.22771406194680777,0.0982201289575041,0.0
4.0,12000.0,2000.0,0.6698686194270945,0.6779668317897911,0.25740900279991386,0.13952186086581952,0.0
4.0,12000.0,2000.0,0.6529521831770444,0.6748650724120402,0.28270439231210187,0.18206301307634898,0.0
2.0,15000.0,0.0,0.326337709370756,0.5758261656858307,0.11375282933454056,0.11375282933454056,0.0
2.0,15000.0,0.0,0.29160812364286626,0.6072842727587906,0.18508110869842886,0.18508110869842886,0.0
2.0,15000.0,0.0,0.3323030813899035,0.57857075957666,0.25250538540788614,0.25250538540788614,0.0
3.0,15000.0,0.0,0.5761169237158117,0.6239084543598381,0.09942437910230828,0.09942437910230828,0.0
3.0,15000.0,0.0,0.576444727251692,0.6240527564065483,0.14754439752415105,0.14754439752415105,0.0
3.0,15000.0,0.0,0.5555347421413102,0.6247497512146578,0.18799976584908973,0.18799976584908973,0.0
4.0,15000.0,0.0,0.6114341901952521,0.6291052114060964,0.09329962073324904,0.09329962073324904,0.0
4.0,15000.0,0.0,0.6046906993782053,0.6295061334134842,0.12817237427911254,0.12817237427911254,0.0
4.0,15000.0,0.0,0.5910887803953169,0.639455846802863,0.16068635350997773,0.16068635350997773,0.0
2.0,18000.0,3000.0,0.5735020719005488,0.6160600291186022,0.356725277186695,0.27552917459961923,0.0
2.0,18000.0,3000.0,0.5590874837295334,0.6198762302756274,0.4394510287501998,0.37085245826768054,0.0
2.0,18000.0,3000.0,0.5791444760584616,0.6316966999829771,0.5262031565380219,0.47681233433039083,0.0
3.0,18000.0,3000.0,0.5755824915824916,0.6437979797979798,0.28161616161616165,0.14515824915824915,0.0
3.0,18000.0,3000.0,0.6331043250114955,0.6645478888858836,0.33841389196938143,0.2011982364556003,0.0
3.0,18000.0,3000.0,0.5989713345220135,0.6907557262378274,0.36373611301604714,0.26594431490879167,0.0
4.0,18000.0,3000.0,0.63604191168609,0.6499091200684273,0.228055169464343,0.10486474927830647,0.0
4.0,18000.0,3000.0,0.6330330201801879,0.6564018061589163,0.24902095058742968,0.14879411072353355,0.0
4.0,18000.0,3000.0,0.6360355896419492,0.653733465465983,0.2906200180964281,0.18999095178594516,0.0
2.0,20000.0,0.0,0.24776319849004558,0.5859058819259179,0.10513420809059726,0.10513420809059726,0.0
2.0,20000.0,0.0,0.2693259065173974,0.6061710977151548,0.17529362185536035,0.17529362185536035,0.0
2.0,20000.0,0.0,0.31613096800810114,0.5890559951993399,0.24612759254397476,0.24612759254397476,0.0
3.0,20000.0,0.0,0.5646359755394024,0.6160378446982808,0.0969655013268721,0.0969655013268721,0.0
3.0,20000.0,0.0,0.5398000440227528,0.5939596149167623,0.14228617106314945,0.14228617106314945,0.0
3.0,20000.0,0.0,0.5255583010317004,0.6218893820336562,0.18480437506587188,0.18480437506587188,0.0
4.0,20000.0,0.0,0.6091803032577692,0.6412888455186909,0.08655794925686833,0.08655794925686833,0.0
4.0,20000.0,0.0,0.5537166741979214,0.6394694231058895,0.11284643771652358,0.11284643771652358,0.0
4.0,20000.0,0.0,0.5957824071001204,0.6274143538492173,0.1260631690735139,0.1260631690735139,0.0
2.0,24000.0,4000.0,0.4656000359034198,0.6301947760524189,0.33966879095233826,0.26640337492146127,0.0
2.0,24000.0,4000.0,0.5000114455762847,0.6421426118805083,0.41650452100263247,0.35662126588073706,0.0
2.0,24000.0,4000.0,0.5595830892403828,0.6279535247022066,0.510007810974419,0.4607010349541105,0.0
3.0,24000.0,4000.0,0.5690851649835287,0.6375627801479722,0.2813495706647945,0.13777879786142466,0.0
3.0,24000.0,4000.0,0.4800260176703345,0.6321751856469185,0.32681988183641386,0.19533579055775385,0.0
3.0,24000.0,4000.0,0.45839163717178366,0.6679699289379099,0.3616347024446457,0.25752462479765137,0.0
4.0,24000.0,4000.0,0.6111902034874386,0.6482589567656094,0.23343787799317073,0.09653075860887805,0.0
4.0,24000.0,4000.0,0.6311362708660064,0.6473564354308549,0.23809268051646726,0.1392570949792683,0.0
4.0,24000.0,4000.0,0.5832145017716706,0.653886872353297,0.2820737187797079,0.1814882032667876,0.0
2.0,25000.0,0.0,0.25882096308011127,0.58953663812692,0.10521532057224914,0.10521532057224914,0.0
2.0,25000.0,0.0,0.27137300946650034,0.608461143318412,0.17382769501724515,0.17382769501724515,0.0
2.0,25000.0,0.0,0.3152716758664714,0.5919041718298224,0.2445833802711126,0.2445833802711126,0.0
3.0,25000.0,0.0,0.532525739168703,0.6143120201049255,0.09538258422411894,0.09538258422411894,0.0
3.0,25000.0,0.0,0.5501301780649961,0.5786531219489516,0.14210330559300755,0.14210330559300755,0.0
3.0,25000.0,0.0,0.5230202361472447,0.631075847293018,0.18200760474178013,0.18200760474178013,0.0
4.0,25000.0,0.0,0.5931186482184401,0.6403631876877867,0.08504205479839122,0.08504205479839122,0.0
4.0,25000.0,0.0,0.5473174507286869,0.5664407611568376,0.12026164766291625,0.12026164766291625,0.0
4.0,25000.0,0.0,0.5747017160241479,0.6351190759138661,0.15260731092836433,0.15260731092836433,0.0
2.0,30000.0,5000.0,0.4229452825940103,0.6442693087142535,0.3276964647601891,0.26370186894843506,0.0
2.0,30000.0,5000.0,0.41899236361134684,0.6875960281606164,0.413259339096934,0.3558144334625175,0.0
2.0,30000.0,5000.0,0.510241583770275,0.7168618611260842,0.50186210614005,0.45866614397020633,0.0
3.0,30000.0,5000.0,0.5559477442388835,0.6342231959320567,0.29154495293735805,0.13880774640268312,0.0
3.0,30000.0,5000.0,0.4719171293970702,0.6201854541998724,0.3369401414665273,0.1934914536296618,0.0
3.0,30000.0,5000.0,0.425857868439526,0.6486490206604176,0.37016696260202886,0.2559634416594403,0.0
4.0,30000.0,5000.0,0.6255744534639007,0.6375037581067732,0.2308873426963879,0.09471502813211352,0.0
4.0,30000.0,5000.0,0.5619431891542931,0.6303636754895632,0.26648375295889826,0.13788465676780715,0.0
4.0,30000.0,5000.0,0.5714161862239369,0.5977610646321904,0.29548311586978193,0.1799059343708006,0.0
2.0,30000.0,0.0,0.2508571117601176,0.573112993632884,0.11448110726141458,0.11448110726141458,0.0
2.0,30000.0,0.0,0.28212014909011185,0.582346707593364,0.1883358912519184,0.1883358912519184,0.0
2.0,30000.0,0.0,0.3305823876957704,0.5574791334521242,0.25765731970364814,0.25765731970364814,0.0
3.0,30000.0,0.0,0.5210204152209248,0.5947849542934213,0.10480812458933242,0.10480812458933242,0.0
3.0,30000.0,0.0,0.5384419463514594,0.5938617919121989,0.15101242228834066,0.15101242228834066,0.0
3.0,30000.0,0.0,0.5079658655928454,0.6005361302632657,0.19634307654488625,0.19634307654488625,0.0
4.0,30000.0,0.0,0.5850598709894863,0.6316459606976679,0.09233894750638971,0.09233894750638971,0.0
4.0,30000.0,0.0,0.5589025650662407,0.6109649534905572,0.12914591750446303,0.12914591750446303,0.0
4.0,30000.0,0.0,0.5756944575940619,0.6095605082274527,0.1634413285111056,0.1634413285111056,0.0
2.0,36000.0,6000.0,0.36547666979823734,0.6325996510535499,0.34051357759584844,0.27877689795553173,0.0
2.0,36000.0,6000.0,0.4410481346949032,0.6879811756105362,0.43305233819934663,0.37006830694720494,0.0
2.0,36000.0,6000.0,0.5447093164680126,0.6974702018973487,0.5180734614449038,0.48268061298954024,0.0
3.0,36000.0,6000.0,0.5366402241107624,0.6231060350981158,0.2925291923123544,0.14969898584492725,0.0
3.0,36000.0,6000.0,0.5193242586290714,0.5737589801760925,0.3444066331766866,0.20971749581375254,0.0
3.0,36000.0,6000.0,0.407212190079816,0.6384595375326862,0.3770381829881029,0.26989581479402547,0.0
4.0,36000.0,6000.0,0.5850536922781324,0.6306974658952627,0.22765312439956453,0.10618902243760808,0.0
4.0,36000.0,6000.0,0.5637943767191463,0.60084766624212,0.26485288923613715,0.15041794654993412,0.0
4.0,36000.0,6000.0,0.5630787473723926,0.6154584164286099,0.2860238236403816,0.19011480623079824,0.0
2.0,35000.0,0.0,0.33687099060461223,0.516691805840769,0.09996910607519949,0.09996910607519949,0.0
2.0,35000.0,0.0,0.26332851046684125,0.5973516968553689,0.17041812421017932,0.17041812421017932,0.0
2.0,35000.0,0.0,0.3077212027872208,0.612681479255489,0.24050109873598402,0.24050109873598402,0.0
3.0,35000.0,0.0,0.5591143246552241,0.5987317794358844,0.09235602578022128,0.09235602578022128,0.0
3.0,35000.0,0.0,0.5544218871516291,0.5968241807988299,0.13569198268157068,0.13569198268157068,0.0
3.0,35000.0,0.0,0.5716802104373151,0.6060641645920428,0.17781483395180608,0.17781483395180608,0.0
4.0,35000.0,0.0,0.5451170222765298,0.6392048124823762,0.08226337061753919,0.08226337061753919,0.0
4.0,35000.0,0.0,0.5328602661238644,0.6334671491575257,0.11725847186098237,0.11725847186098237,0.0
4.0,35000.0,0.0,0.549277990335229,0.6384350286240519,0.14891152652115713,0.14891152652115713,0.0
2.0,42000.0,7000.0,0.47102912795655494,0.6089493290247296,0.33820295318881555,0.2640590637763116,0.0
2.0,42000.0,7000.0,0.2866765952571887,0.45171268186504754,0.40543017527780956,0.35110551036773974,0.0
2.0,42000.0,7000.0,0.41454802259887,0.44133547632963177,0.4996347165400351,0.45638515488018705,0.0
3.0,42000.0,7000.0,0.5497799260119354,0.6342046283044852,0.28158669294953154,0.134987713660789,0.0
3.0,42000.0,7000.0,0.5446558106110938,0.6274863395387307,0.32513931636679183,0.1912735753121907,0.0
3.0,42000.0,7000.0,0.5707766950259081,0.6502742004205782,0.35969047651772335,0.2513022801929711,0.0
4.0,42000.0,7000.0,0.5871137832363438,0.6270884909279919,0.21708516863325078,0.09147027617914671,0.0
4.0,42000.0,7000.0,0.5788987574237754,0.6463114710083446,0.24842932780599913,0.13359036869180463,0.0
4.0,42000.0,7000.0,0.5877571315843522,0.6429613775659111,0.27765346823620973,0.17664926333084718,0.0
2.0,40000.0,0.0,0.23897125787767293,0.5916906487923937,0.09469600378856868,0.09469600378856868,0.0
2.0,40000.0,0.0,0.2555875925143707,0.6065820646085471,0.16501074360434154,0.16501074360434154,0.0
2.0,40000.0,0.0,0.3013304228373572,0.6036017387704409,0.23132797651530834,0.23132797651530834,0.0
3.0,40000.0,0.0,0.5277378690272049,0.6038258330629838,0.08489363674282802,0.08489363674282802,0.0
3.0,40000.0,0.0,0.5365794009409792,0.6150603251502306,0.1293380537569292,0.1293380537569292,0.0
3.0,40000.0,0.0,0.4961340661151189,0.6149129723559248,0.1714073882292022,0.1714073882292022,0.0
4.0,40000.0,0.0,0.583717140892694,0.6412364725495183,0.07581023424034361,0.07581023424034361,0.0
4.0,40000.0,0.0,0.5887980206247876,0.6414837759226382,0.1097061156650172,0.1097061156650172,0.0
4.0,40000.0,0.0,0.5841978034528047,0.6413194510535432,0.1398347831052401,0.1398347831052401,0.0
2.0,48000.0,8000.0,0.16318067075369636,0.5252208799134511,0.32131265777136675,0.25380905156869815,0.0
2.0,48000.0,8000.0,0.2760805196593752,0.4814423761103588,0.39754860330066333,0.34133633254527507,0.0
2.0,48000.0,8000.0,0.3998776009791921,0.4466585067319462,0.4855324357405141,0.4373806609547124,0.0
3.0,48000.0,8000.0,0.4584954516492008,0.6025243008012147,0.26263845017149523,0.12424928487181919,0.0
3.0,48000.0,8000.0,0.4368489760395986,0.6305855476080393,0.3124235089341565,0.17947183768935793,0.0
3.0,48000.0,8000.0,0.40033865172560945,0.6501149488580829,0.3563552263873019,0.24092454674357455,0.0
4.0,48000.0,8000.0,0.5766244644180278,0.6309719403369737,0.2210839427423945,0.08150510614993078,0.0
4.0,48000.0,8000.0,0.5592606133597144,0.6126607596025635,0.2491827605488408,0.12401608671340703,0.0
4.0,48000.0,8000.0,0.5635760800078013,0.6346447649283246,0.2819776576264208,0.16648427257262355,0.0
2.0,45000.0,0.0,0.25935044715594335,0.6066657011477605,0.08602773453057677,0.08602773453057677,0.0
2.0,45000.0,0.0,0.2555543394987414,0.6195323045492686,0.1541899237532377,0.1541899237532377,0.0
2.0,45000.0,0.0,0.2880727068303195,0.6190761735219713,0.2174084137543334,0.2174084137543334,0.0
3.0,45000.0,0.0,0.517747420600611,0.639299095048706,0.08158395296558885,0.08158395296558885,0.0
3.0,45000.0,0.0,0.517227007502084,0.6284731869963879,0.12335602482170971,0.12335602482170971,0.0
3.0,45000.0,0.0,0.5118498395822112,0.632046087913632,0.16360272593147707,0.16360272593147707,0.0
4.0,45000.0,0.0,0.5691437469513339,0.6311583055044838,0.06878728753142471,0.06878728753142471,0.0
4.0,45000.0,0.0,0.615287678447157,0.6545037335189121,0.10180186958075499,0.10180186958075499,0.0
4.0,45000.0,0.0,0.5477729919060917,0.6567330903583093,0.1316230416055285,0.1316230416055285,0.0
2.0,54000.0,9000.0,0.1476454355775918,0.5439391559912952,0.3129921701478473,0.23595001458281917,0.0
2.0,54000.0,9000.0,0.25674072722295727,0.5680916100187052,0.39100780145079617,0.3241023769332543,0.0
2.0,54000.0,9000.0,0.37559417887526514,0.5209272846939521,0.4653243302537601,0.41825317504814374,0.0
3.0,54000.0,9000.0,0.4845042714312663,0.6144393241167434,0.27011076077289997,0.11659525156978467,0.0
3.0,54000.0,9000.0,0.46180461696491326,0.6274531005027842,0.32052494999189063,0.17033843325944753,0.0
3.0,54000.0,9000.0,0.41777235594056694,0.6608914962443116,0.35055375842973846,0.22567026701025272,0.0
4.0,54000.0,9000.0,0.5583008282126636,0.6291423991450709,0.20955383382313653,0.07537269569863747,0.0
4.0,54000.0,9000.0,0.5586671241101295,0.6507097521228236,0.25393472853589505,0.1137640449438202,0.0
4.0,54000.0,9000.0,0.5473717139682642,0.648813954240963,0.27098367906108756,0.15690970087267941,0.0
2.0,50000.0,0.0,0.22857401539157995,0.586545948392938,0.09356269805341788,0.09356269805341788,0.0
2.0,50000.0,0.0,0.2522035877876526,0.6010730514444221,0.16234465390441077,0.16234465390441077,0.0
2.0,50000.0,0.0,0.29824758481240166,0.6030480041938141,0.22719613569984276,0.22719613569984276,0.0
3.0,50000.0,0.0,0.5217216041277959,0.5942344459033009,0.080022113191901,0.080022113191901,0.0
3.0,50000.0,0.0,0.4916641616759544,0.6093601868337688,0.12854070802599027,0.12854070802599027,0.0
3.0,50000.0,0.0,0.4920659050247319,0.6259106376509933,0.1701766900148508,0.1701766900148508,0.0
4.0,50000.0,0.0,0.5621144467222705,0.6376852293895738,0.07396070281857581,0.07396070281857581,0.0
4.0,50000.0,0.0,0.5544083799145099,0.6351636995631547,0.10778336229977925,0.10778336229977925,0.0
4.0,50000.0,0.0,0.5769125230638217,0.6343568150636325,0.13853432369778118,0.13853432369778118,0.0
2.0,60000.0,10000.0,0.16215128755364805,0.5260640200286123,0.3227378397711016,0.24742936337625177,0.0
2.0,60000.0,10000.0,0.2710478843650812,0.4497750782088462,0.40097732514328777,0.3323362181170507,0.0
2.0,60000.0,10000.0,0.4004080343914701,0.4347509290068734,0.4872853569086537,0.4362810579748865,0.0
3.0,60000.0,10000.0,0.4500833736754344,0.5800252810499704,0.2734925501586789,0.12554461836372444,0.0
3.0,60000.0,10000.0,0.41992459357558887,0.6149947972269896,0.3122069217151583,0.1770294193164772,0.0
3.0,60000.0,10000.0,0.38336277853102707,0.647397181478286,0.3455496665160168,0.23497267759562845,0.0
4.0,60000.0,10000.0,0.558610168768269,0.6353453242014978,0.21643303676203884,0.08365870831466427,0.0
4.0,60000.0,10000.0,0.5350480043669524,0.6293442079011871,0.2499116976527631,0.12238170161298956,0.0
4.0,60000.0,10000.0,0.5254728049686233,0.6320678557204826,0.2721225364089427,0.16707748942445344,0.0
