wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,0.27322404371584696,0.27322404371584696,0.27322404371584696,0.27322404371584696,0.27322404371584696,0.27322404371584696,0.24225865209471764,0.09107468123861562,0.09107468123861562,0.27322404371584696,0.0
2.0,20.0,0.0,0.35250463821892397,0.35250463821892397,0.35250463821892397,0.33766233766233766,0.35250463821892397,0.35250463821892397,0.33766233766233766,0.15027829313543595,0.15027829313543595,0.35250463821892397,0.0
2.0,20.0,0.0,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.1734892787524367,0.1734892787524367,0.42105263157894735,0.0
3.0,20.0,0.0,0.2427071178529755,0.2427071178529755,0.23103850641773627,0.23103850641773627,0.23103850641773627,0.23103850641773627,0.2508751458576429,0.040840140023337246,0.040840140023337246,0.2508751458576429,0.0
3.0,20.0,0.0,0.22275449101796407,0.22275449101796407,0.21077844311377247,0.21077844311377247,0.21077844311377247,0.21077844311377247,0.2311377245508982,0.015568862275449069,0.015568862275449069,0.2311377245508982,0.0
3.0,20.0,0.0,0.30270906949352183,0.2661955241460542,0.28621908127208484,0.24734982332155475,0.2956419316843345,0.2956419316843345,0.2897526501766784,0.10954063604240283,0.10954063604240283,0.30977620730270905,0.0
2.0,24.0,4.0,0.4575892857142857,0.4575892857142857,0.4642857142857143,0.4642857142857143,0.0,0.0,0.4419642857142857,0.4441964285714286,0.375,0.4799107142857143,0.0
2.0,24.0,4.0,0.5393258426966292,0.5393258426966292,0.5415730337078652,0.5415730337078652,0.0,0.0,0.5393258426966292,0.5393258426966292,0.4539325842696629,0.5662921348314607,0.0
2.0,24.0,4.0,0.6136919315403423,0.6136919315403423,0.6136919315403423,0.6136919315403423,0.0,0.0,0.6136919315403423,0.6136919315403423,0.511002444987775,0.6356968215158925,0.0
3.0,24.0,4.0,0.2713498622589532,0.2713498622589532,0.2286501377410468,0.21763085399449034,0.0,0.0,0.24517906336088158,0.19283746556473824,0.15289256198347112,0.3236914600550964,0.0
3.0,24.0,4.0,0.3301759133964818,0.3193504736129905,0.3531799729364006,0.29499323410013534,0.0,0.0,0.3531799729364006,0.32341001353179977,0.22598105548037895,0.3978349120433018,0.0
3.0,24.0,4.0,0.3865671641791045,0.3597014925373134,0.3850746268656716,0.22985074626865676,0.0,0.0,0.3567164179104477,0.26119402985074625,0.28059701492537314,0.426865671641791,0.0
