wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,400.0,0.0,12682.0,12665.0,12682.0,14854.0,12682.0,12671.0,14825.0,14825.0,15263.0
3.0,400.0,0.0,16577.0,16554.0,16616.0,18452.0,16596.0,16609.0,16686.0,16686.0,18616.0
3.0,400.0,0.0,16862.0,16074.0,16107.0,18250.0,16870.0,16113.0,17162.0,17162.0,18600.0
3.0,400.0,0.0,15854.0,15583.0,15617.0,18075.0,15865.0,15617.0,17079.0,17079.0,18486.0
4.0,400.0,0.0,18638.0,18567.0,18578.0,20327.0,18590.0,18573.0,18671.0,18671.0,20612.0
4.0,400.0,0.0,18159.0,18165.0,18192.0,20288.0,18173.0,18195.0,18315.0,18315.0,20580.0
4.0,400.0,0.0,17705.0,17685.0,17746.0,19969.0,17667.0,17695.0,17844.0,17844.0,20508.0
2.0,480.0,80.0,12214.0,12210.0,12223.0,0.0,0.0,12214.0,12210.0,12235.0,14438.0
2.0,480.0,80.0,12680.0,11724.0,11742.0,0.0,0.0,11754.0,12683.0,11738.0,14364.0
2.0,480.0,80.0,13075.0,11271.0,11277.0,0.0,0.0,11316.0,13061.0,11313.0,14113.0
3.0,480.0,80.0,15019.0,15084.0,15134.0,0.0,0.0,15075.0,15079.0,15170.0,17342.0
3.0,480.0,80.0,14707.0,14641.0,14762.0,0.0,0.0,14639.0,15459.0,14658.0,17392.0
3.0,480.0,80.0,14292.0,14106.0,14319.0,0.0,0.0,14151.0,15708.0,14118.0,17253.0
4.0,480.0,80.0,16973.0,17198.0,16984.0,0.0,0.0,17206.0,17197.0,17314.0,19328.0
4.0,480.0,80.0,16832.0,16743.0,16878.0,0.0,0.0,16777.0,16859.0,16824.0,19260.0
4.0,480.0,80.0,16593.0,16259.0,16465.0,0.0,0.0,16296.0,16485.0,16309.0,19259.0
2.0,500.0,0.0,13799.0,13808.0,13795.0,15429.0,13794.0,13849.0,13851.0,13851.0,15509.0
2.0,500.0,0.0,14386.0,13231.0,13231.0,15208.0,14386.0,13263.0,13300.0,13300.0,15445.0
2.0,500.0,0.0,14909.0,12678.0,12694.0,14898.0,14893.0,12698.0,12730.0,12730.0,15333.0
3.0,500.0,0.0,16656.0,16648.0,16678.0,18522.0,16654.0,16670.0,16758.0,16758.0,18615.0
3.0,500.0,0.0,16209.0,16187.0,16230.0,18400.0,16180.0,16219.0,17173.0,17173.0,18618.0
3.0,500.0,0.0,15650.0,15652.0,15660.0,17993.0,15669.0,15715.0,17066.0,17066.0,18518.0
