dependency,skus,wareh,diff,buffer,mode,benchiter,orders,train_test,parcel_train,parcel_test,duration,cap_used,local_search,gap
ED,1000,2,0.0,0.0,CHIM_0.01,1,60000,0.5,39851,39849,0.2504255,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.001,1,60000,0.5,39851,39849,0.2473778,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.0001,1,60000,0.5,39850,39860,0.2480307,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-5,1,60000,0.5,39850,39860,0.2539379,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-6,1,60000,0.5,39850,39860,0.2476777,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-7,1,60000,0.5,39832,39807,0.2465892,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-8,1,60000,0.5,39810,39806,0.2444569,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-9,1,60000,0.5,39810,39806,0.2561362,1000,0,0.0
ED,1000,2,0.0,0.0,CHI_1.0,1,60000,0.5,39787,39829,0.2567526,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_0.1,1,60000,0.5,39787,39829,0.2557359,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_0.01,1,60000,0.5,39787,39829,0.2516964,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_0.001,1,60000,0.5,39787,39829,0.2588238,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_0.0001,1,60000,0.5,39787,39829,0.2608668,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-5,1,60000,0.5,39787,39829,0.2516137,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-6,1,60000,0.5,39787,39829,0.2573602,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-7,1,60000,0.5,39772,39819,0.2548065,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-8,1,60000,0.5,39772,39819,0.2555571,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-9,1,60000,0.5,39772,39819,0.2609397,1000,4,0.0
ED,1000,2,0.0,0.0,GP,1,60000,0.5,44791,44907,0.116954,1000,0,0.0
ED,1000,2,0.0,0.0,GS,1,60000,0.5,39897,39950,0.014335,1000,0,0.0
ED,1000,2,0.0,0.0,BS,1,60000,0.5,39897,39950,0.0145543,1000,0,0.0
ED,1000,2,0.0,0.0,RND,1,60000,0.5,46534,46560,0.0157133,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0,1,80000,0.5,53167,53292,0.2480954,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.1,1,80000,0.5,53167,53292,0.249976,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.01,1,80000,0.5,53172,53304,0.249433,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.001,1,80000,0.5,53191,53294,0.2485392,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_0.0001,1,80000,0.5,53191,53294,0.2468667,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-5,1,80000,0.5,53191,53294,0.2467288,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-6,1,80000,0.5,53191,53294,0.2485571,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-7,1,80000,0.5,53191,53294,0.2477316,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-8,1,80000,0.5,53191,53294,0.252673,1000,0,0.0
ED,1000,2,0.0,0.0,CHIM_1.0e-9,1,80000,0.5,53191,53294,0.2492658,1000,0,0.0
ED,1000,2,0.0,0.0,CHI_1.0,1,80000,0.5,53089,53237,0.2608473,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_0.1,1,80000,0.5,53089,53237,0.260829,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_0.01,1,80000,0.5,53089,53237,0.2535122,1000,4,0.0
ED,1000,2,0.0,0.0,CHI_0.001,1,80000,0.5,53089,53237,0.2556604,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_0.0001,1,80000,0.5,53089,53237,0.2598346,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-5,1,80000,0.5,53089,53237,0.2589901,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-6,1,80000,0.5,53089,53237,0.2532667,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-7,1,80000,0.5,53089,53237,0.2608254,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-8,1,80000,0.5,53089,53237,0.2567095,1000,5,0.0
ED,1000,2,0.0,0.0,CHI_1.0e-9,1,80000,0.5,53089,53237,0.263215,1000,5,0.0
ED,1000,2,0.0,0.0,GP,1,80000,0.5,59975,60122,0.1553116,1000,0,0.0
ED,1000,2,0.0,0.0,GS,1,80000,0.5,53296,53331,0.0152802,1000,0,0.0
