wareh,capacity,QMK,CHISOL,CHI,KLINK,GP,GS,BS,RND
2.0,100.0,0.330635271032622,0.29261712043168997,0.32450331125827814,0.3151827324012754,0.2420897718910964,0.03679175864606328,0.0,0.0
2.0,100.0,0.38901960784313727,0.3631372549019608,0.39477124183006534,0.3589542483660131,0.2875816993464052,-0.0677124183006536,0.0,0.0
2.0,100.0,0.4749679075738126,0.4672657252888318,0.4852374839537869,0.4595635430038511,0.4040436456996149,-0.21148908857509627,0.0,0.0
2.0,120.0,0.4363757495003331,0.4057295136575616,0.46002664890073286,0.0,0.31545636242505,0.22884743504330446,0.22451698867421718,0.0
2.0,120.0,0.49166989538938394,0.4746222394420767,0.5230530802014723,0.0,0.4370399070127857,0.11352189074002325,0.42270437814800466,0.0
2.0,120.0,0.6488492947290274,0.6525612472160356,0.651818856718634,0.0,0.6095025983667409,-0.012620638455827766,0.6458797327394209,0.0
3.0,100.0,0.3566139347021205,0.3476943789969707,0.3641871423763043,0.290138000673174,0.23897677549646584,0.05301245371928644,0.0,0.0
3.0,100.0,0.3737755628114796,0.35934009279945006,0.3794466403162055,0.30675373775562814,0.2904279085753566,0.07664547173053789,0.0,0.0
3.0,100.0,0.3974477529128907,0.3706306639541335,0.401516552616978,0.3162567042722397,0.32605881265026815,0.13001664508969854,0.0,0.0
3.0,120.0,0.39204201171480507,0.36093718440719047,0.4045647343970915,0.0,0.2987275297919612,0.19248636639062816,0.1276509796000808,0.0
3.0,120.0,0.4324775620955959,0.3775829680651221,0.42391984971822166,0.0,0.3358380296389063,0.25046963055729493,0.24003339595074097,0.0
3.0,120.0,0.4474418604651163,0.38,0.39209302325581397,0.0,0.3469767441860465,0.3276744186046512,0.32790697674418606,0.0
4.0,100.0,0.3886201991465149,0.3617354196301565,0.37069701280227596,0.26799431009957325,0.2546230440967283,0.05860597439544808,0.0,0.0
4.0,100.0,0.38796861377506536,0.3798314443475734,0.3921825050857309,0.27768090671316475,0.25864574251671024,0.08137169427492008,0.0,0.0
4.0,100.0,0.37835786917589925,0.3782061010775535,0.401881924419487,0.31674002124753375,0.28456518439823947,0.0640461375018971,0.0,0.0
4.0,120.0,0.377694317439582,0.3809601567602874,0.39026779882429785,0.0,0.25048987589810584,0.16002612671456565,0.09128020901371653,0.0
4.0,120.0,0.40226628895184136,0.38060323279453423,0.40643226128978505,0.0,0.282619563406099,0.1506415597400433,0.15630728211964673,0.0
4.0,120.0,0.4102338667135572,0.3996834886583436,0.43080710392122384,0.0,0.343063126428697,0.1860383330402673,0.2365043080710392,0.0
