wareh,capacity,buffer,QMK,CHI,CHILOC,KLINKQMK,GP,GS,BS,RND
4.0,3000.0,0.0,142927.0,142902.0,142603.0,142927.0,187195.0,195528.0,195528.0,206420.0
4.0,3000.0,0.0,142191.0,142473.0,141785.0,142191.0,184918.0,194536.0,194536.0,206210.0
4.0,3000.0,0.0,141090.0,141688.0,141293.0,141090.0,182285.0,192789.0,192789.0,205396.0
2.0,3300.0,300.0,121154.0,119675.0,119115.0,0.0,131783.0,136779.0,139519.0,150071.0
2.0,3300.0,300.0,118970.0,118877.0,118442.0,0.0,129175.0,132293.0,134870.0,149441.0
2.0,3300.0,300.0,116929.0,117351.0,116868.0,0.0,127049.0,127667.0,129464.0,147503.0
3.0,3300.0,300.0,133030.0,130813.0,130548.0,0.0,157575.0,163101.0,168896.0,180288.0
3.0,3300.0,300.0,131891.0,131472.0,129746.0,0.0,157968.0,158873.0,165021.0,180060.0
3.0,3300.0,300.0,130333.0,129467.0,129122.0,0.0,154039.0,155016.0,160363.0,179096.0
4.0,3300.0,300.0,139667.0,137286.0,136972.0,0.0,176148.0,181147.0,188888.0,199773.0
4.0,3300.0,300.0,139426.0,137585.0,137144.0,0.0,175062.0,179754.0,184998.0,199607.0
4.0,3300.0,300.0,139103.0,136416.0,135830.0,0.0,169548.0,177947.0,180591.0,199032.0
2.0,3600.0,600.0,117269.0,115343.0,115119.0,0.0,122940.0,127251.0,131169.0,144582.0
2.0,3600.0,600.0,115729.0,114640.0,114651.0,0.0,121634.0,123726.0,126659.0,143704.0
2.0,3600.0,600.0,114116.0,113391.0,113013.0,0.0,119490.0,118855.0,120934.0,140980.0
3.0,3600.0,600.0,131083.0,126898.0,126683.0,0.0,150978.0,151975.0,161919.0,174101.0
3.0,3600.0,600.0,129712.0,126630.0,126055.0,0.0,147056.0,148524.0,157756.0,173785.0
3.0,3600.0,600.0,126493.0,125374.0,125033.0,0.0,144867.0,146037.0,152771.0,172851.0
4.0,3600.0,600.0,137368.0,133535.0,133456.0,0.0,165233.0,171290.0,182683.0,193318.0
4.0,3600.0,600.0,138099.0,133432.0,133085.0,0.0,164608.0,169869.0,178613.0,193204.0
4.0,3600.0,600.0,136500.0,133567.0,133133.0,0.0,160298.0,167032.0,174245.0,192632.0
2.0,4000.0,0.0,126229.0,126123.0,125013.0,126229.0,145169.0,147369.0,147369.0,154937.0
2.0,4000.0,0.0,123789.0,124682.0,123551.0,123789.0,142215.0,142567.0,142567.0,154496.0
2.0,4000.0,0.0,122406.0,123035.0,121731.0,122406.0,138206.0,137531.0,137531.0,153147.0
3.0,4000.0,0.0,135905.0,137893.0,136450.0,135905.0,166192.0,174571.0,174571.0,186342.0
3.0,4000.0,0.0,135160.0,136190.0,134935.0,135160.0,161735.0,170980.0,170980.0,185982.0
3.0,4000.0,0.0,134787.0,134701.0,133978.0,134787.0,160340.0,166842.0,166842.0,185053.0
4.0,4000.0,0.0,142359.0,143226.0,142874.0,142359.0,184249.0,194613.0,194613.0,206241.0
4.0,4000.0,0.0,142095.0,142690.0,141808.0,142095.0,182505.0,195260.0,195260.0,206008.0
4.0,4000.0,0.0,141520.0,141574.0,140957.0,141520.0,179922.0,195443.0,195443.0,205114.0
2.0,4400.0,400.0,120789.0,119325.0,119372.0,0.0,130629.0,136505.0,139030.0,149912.0
2.0,4400.0,400.0,119768.0,118239.0,117932.0,0.0,128987.0,131157.0,134361.0,149240.0
2.0,4400.0,400.0,117785.0,117523.0,117273.0,0.0,126388.0,126179.0,128733.0,147339.0
3.0,4400.0,400.0,132841.0,131935.0,131332.0,0.0,156077.0,161151.0,167770.0,180140.0
3.0,4400.0,400.0,131589.0,131685.0,130814.0,0.0,155321.0,157944.0,164020.0,179867.0
3.0,4400.0,400.0,130316.0,129467.0,129131.0,0.0,151995.0,156682.0,159389.0,178977.0
4.0,4400.0,400.0,140052.0,138221.0,138051.0,0.0,173577.0,181286.0,187342.0,199620.0
4.0,4400.0,400.0,139424.0,137768.0,137054.0,0.0,172624.0,181006.0,183193.0,199434.0
4.0,4400.0,400.0,137841.0,136891.0,136058.0,0.0,169817.0,180642.0,179520.0,198837.0
2.0,4800.0,800.0,117715.0,114519.0,114371.0,0.0,121632.0,127200.0,130815.0,144483.0
2.0,4800.0,800.0,115463.0,114290.0,114168.0,0.0,121797.0,121822.0,125974.0,143572.0
