wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,14.0989037,0.2846791,0.2163235,0.2805839,0.3403353,0.1058571,0.0115536,0.0569833,0.3975796,0.0007224,156.0978852,0.2291387
2.0,40.0,0.0,8.6894195,0.5848961,0.4585379,0.4889467,0.7827034,0.3786777,0.0383013,0.001248,0.0011735,0.0008337,154.5782952,0.0204266
2.0,40.0,0.0,10.2798428,0.7517549,0.9495018,1.1206017,1.2038768,3.6070169,0.0156189,0.0012347,0.0008604,0.0009447,113.4352941,0.0203724
3.0,40.0,0.0,3603.8018166,2.8123538,1.2829662,1.1248603,1.2026081,2.8320881,0.016433,0.0011528,0.0010528,0.0013192,3618.793181,0.0836629
3.0,40.0,0.0,3602.6848392,6.4551267,0.470225,1.6599409,0.6993294,1.4293177,0.0162975,0.0011102,0.0013785,0.0223302,3617.6492322,0.0809951
3.0,40.0,0.0,3603.3979782,1.7317414,1.1181024,0.6203347,0.9788793,1.8707221,0.0830248,0.0011135,0.0009176,0.0010234,3609.5853286,0.0653634
4.0,40.0,0.0,3600.9763122,9.6351772,0.3421813,0.3967287,0.7814177,9.1251395,0.0170979,0.0011899,0.0011212,0.0010007,3611.5247312,0.6121369
4.0,40.0,0.0,3602.5115702,7.2790396,0.4186959,0.3561897,1.8205573,6.6922428,0.0532098,0.0010053,0.0010413,0.0010693,3630.4500583,0.650781
4.0,40.0,0.0,3601.3894174,6.3395294,0.8666352,1.0202779,1.4411202,5.9854535,0.0170403,0.0011438,0.0011195,0.000933,3613.6657136,0.4694001
2.0,48.0,8.0,3605.2689751,0.7422455,0.7597472,0.5672209,1.2204276,1.9106451,0.0505518,0.0010111,0.0009088,0.0010036,3726.975145,0.3239525
2.0,48.0,8.0,3609.7412436,1.1908095,1.7327365,1.3086865,1.1156722,1.0760273,0.0213031,0.0016261,0.0012892,0.0010085,3888.6976562,0.4325491
2.0,48.0,8.0,2871.8340986,0.6611261,0.5390888,0.4081688,0.7677061,0.4554498,0.0167067,0.000956,0.0011267,0.0009693,3719.5379082,0.1970715
3.0,48.0,8.0,3657.7283776,1.1151523,0.3387349,0.3861801,0.8286045,1.1394619,0.0185292,0.0010541,0.010593,0.0009027,3794.883168,0.5538815
3.0,48.0,8.0,3605.2693467,1.6875214,1.1014889,1.1565043,1.6091483,1.4717015,0.0758704,0.0012916,0.0010497,0.000865,3783.176504,0.5106508
3.0,48.0,8.0,3604.3830521,1.2185597,1.0949582,1.0457207,1.6354303,1.013838,0.0151636,0.0514326,0.0010601,0.0400633,3781.6105778,0.4749227
4.0,48.0,8.0,3668.1916238,42.3128446,0.5773519,0.6073903,1.0370748,41.6500096,0.0254752,0.0203781,0.0012865,0.0011239,3869.5417948,0.7840499
4.0,48.0,8.0,3689.2201482,22.3867184,0.8426767,0.8722185,0.7624823,26.3938514,0.0221937,0.0132388,0.002184,0.00116,3886.5852168,0.6923815
4.0,48.0,8.0,3664.391165,3.9749652,0.7265429,0.7318394,0.8991975,4.5288267,0.0161693,0.001893,0.0146825,0.0011356,3821.5984451,0.4938368
