wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,0.10869565217391308,0.10869565217391308,0.10869565217391308,0.10869565217391308,0.10869565217391308,0.10869565217391308,0.10869565217391308,0.05754475703324813,0.05754475703324813,0.10869565217391308,0.0
2.0,20.0,0.0,0.15803108808290156,0.15803108808290156,0.15803108808290156,0.15803108808290156,0.15803108808290156,0.15803108808290156,0.16450777202072542,0.09715025906735753,0.09715025906735753,0.17098445595854928,0.0
3.0,20.0,0.0,0.09795479009687835,0.09795479009687835,0.09687836383207749,0.09795479009687835,0.09795479009687835,0.09795479009687835,0.09687836383207749,0.012917115177610294,0.012917115177610294,0.08934337997847153,0.0
3.0,20.0,0.0,0.13930885529157666,0.10907127429805619,0.14146868250539957,0.13930885529157666,0.13930885529157666,0.10907127429805619,0.13930885529157666,0.04535637149028082,0.04535637149028082,0.13930885529157666,0.0
4.0,20.0,0.0,0.0736434108527132,0.07558139534883723,0.07267441860465118,0.07267441860465118,0.0736434108527132,0.07558139534883723,0.07073643410852715,0.005813953488372103,0.005813953488372103,0.07558139534883723,0.0
4.0,20.0,0.0,0.1171875,0.1142578125,0.1171875,0.1171875,0.1171875,0.1142578125,0.087890625,0.0205078125,0.0205078125,0.109375,0.0
2.0,24.0,4.0,0.13655172413793104,0.13655172413793104,0.13655172413793104,0.13655172413793104,0.0,0.0,0.13655172413793104,0.1448275862068965,0.13655172413793104,0.13655172413793104,0.0
2.0,24.0,4.0,0.1734837799717912,0.1734837799717912,0.1734837799717912,0.1734837799717912,0.0,0.0,0.1734837799717912,0.1734837799717912,0.16220028208744708,0.16925246826516216,0.0
3.0,24.0,4.0,0.11981566820276501,0.11981566820276501,0.11866359447004604,0.11866359447004604,0.0,0.0,0.11635944700460832,0.12442396313364057,0.07949308755760365,0.12211981566820274,0.0
3.0,24.0,4.0,0.17386231038506417,0.1750291715285881,0.1820303383897316,0.17386231038506417,0.0,0.0,0.18436406067677946,0.131855309218203,0.14819136522753795,0.19136522753792296,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
