wareh,capacity,buffer,CHI,CHILOC,GS,BS,RND
2.0,22000.0,2000.0,1.061541e6,1.060799e6,1.329524e6,1.355769e6,1.474511e6
3.0,22000.0,2000.0,1.116346e6,1.114835e6,1.667588e6,1.750004e6,1.80239e6
3.0,22000.0,2000.0,1.121357e6,1.117444e6,1.635907e6,1.715627e6,1.799706e6
3.0,22000.0,2000.0,1.112081e6,1.109779e6,1.598743e6,1.674516e6,1.790574e6
4.0,22000.0,2000.0,1.150629e6,1.148642e6,1.85247e6,1.949798e6,1.997489e6
4.0,22000.0,2000.0,1.14863e6,1.145293e6,1.821505e6,1.919155e6,1.995769e6
4.0,22000.0,2000.0,1.152737e6,1.145479e6,1.786893e6,1.883928e6,1.989196e6
2.0,24000.0,4000.0,1.050041e6,1.050079e6,1.301733e6,1.356444e6,1.445098e6
2.0,24000.0,4000.0,1.048052e6,1.047789e6,1.27396e6,1.320459e6,1.436559e6
2.0,24000.0,4000.0,1.045058e6,1.045065e6,1.231889e6,1.269388e6,1.409816e6
3.0,24000.0,4000.0,1.090668e6,1.090708e6,1.541872e6,1.682556e6,1.74046e6
3.0,24000.0,4000.0,1.093052e6,1.091279e6,1.503409e6,1.646437e6,1.73731e6
3.0,24000.0,4000.0,1.089302e6,1.088181e6,1.474321e6,1.600106e6,1.727879e6
4.0,24000.0,4000.0,1.124071e6,1.120423e6,1.726164e6,1.891577e6,1.932995e6
4.0,24000.0,4000.0,1.117144e6,1.116342e6,1.716439e6,1.859371e6,1.931066e6
4.0,24000.0,4000.0,1.127857e6,1.122368e6,1.694078e6,1.820171e6,1.925151e6
2.0,25000.0,0.0,1.15518e6,1.124773e6,1.513426e6,1.513426e6,1.551011e6
2.0,25000.0,0.0,1.137674e6,1.116533e6,1.478117e6,1.478117e6,1.54653e6
2.0,25000.0,0.0,1.12874e6,1.106167e6,1.437088e6,1.437088e6,1.532963e6
3.0,25000.0,0.0,1.202682e6,1.169709e6,1.817145e6,1.817145e6,1.865673e6
3.0,25000.0,0.0,1.187489e6,1.164164e6,1.784949e6,1.784949e6,1.862361e6
3.0,25000.0,0.0,1.181178e6,1.157565e6,1.746538e6,1.746538e6,1.852334e6
4.0,25000.0,0.0,1.211142e6,1.204454e6,2.011132e6,2.011132e6,2.064851e6
4.0,25000.0,0.0,1.228101e6,1.191297e6,1.980267e6,1.980267e6,2.0621e6
4.0,25000.0,0.0,1.196014e6,1.185933e6,1.946384e6,1.946384e6,2.054042e6
2.0,27500.0,2500.0,1.092778e6,1.09322e6,1.404432e6,1.435001e6,1.500498e6
2.0,27500.0,2500.0,1.083348e6,1.075099e6,1.369605e6,1.399113e6,1.494185e6
2.0,27500.0,2500.0,1.083007e6,1.083127e6,1.32842e6,1.353017e6,1.47513e6
3.0,27500.0,2500.0,1.13662e6,1.12504e6,1.666046e6,1.749404e6,1.803117e6
3.0,27500.0,2500.0,1.136428e6,1.130904e6,1.632816e6,1.714549e6,1.800738e6
3.0,27500.0,2500.0,1.124644e6,1.120167e6,1.586997e6,1.671407e6,1.791373e6
4.0,27500.0,2500.0,1.163736e6,1.149574e6,1.838504e6,1.948928e6,1.99833e6
4.0,27500.0,2500.0,1.161821e6,1.146507e6,1.813445e6,1.917131e6,1.996698e6
4.0,27500.0,2500.0,1.15358e6,1.143582e6,1.780156e6,1.879827e6,1.99016e6
2.0,30000.0,5000.0,1.052943e6,1.052998e6,1.303469e6,1.355427e6,1.445495e6
2.0,30000.0,5000.0,1.061111e6,1.061111e6,1.270158e6,1.318032e6,1.436889e6
2.0,30000.0,5000.0,1.044865e6,1.043906e6,1.225832e6,1.265636e6,1.410264e6
3.0,30000.0,5000.0,1.116337e6,1.103353e6,1.541225e6,1.681805e6,1.740998e6
3.0,30000.0,5000.0,1.113678e6,1.113577e6,1.499712e6,1.643899e6,1.738089e6
3.0,30000.0,5000.0,1.110537e6,1.110567e6,1.471024e6,1.596575e6,1.728731e6
4.0,30000.0,5000.0,1.126742e6,1.125309e6,1.735326e6,1.890365e6,1.934005e6
4.0,30000.0,5000.0,1.130867e6,1.126006e6,1.712324e6,1.85703e6,1.932032e6
4.0,30000.0,5000.0,1.139442e6,1.132484e6,1.694599e6,1.816728e6,1.925803e6
2.0,30000.0,0.0,1.17283e6,1.140587e6,1.504119e6,1.504119e6,1.550547e6
2.0,30000.0,0.0,1.15999e6,1.125214e6,1.466449e6,1.466449e6,1.546053e6
2.0,30000.0,0.0,1.134612e6,1.1158e6,1.4239e6,1.4239e6,1.532399e6
3.0,30000.0,0.0,1.218862e6,1.187849e6,1.805539e6,1.805539e6,1.86492e6
3.0,30000.0,0.0,1.234492e6,1.183255e6,1.769418e6,1.769418e6,1.861545e6
3.0,30000.0,0.0,1.203252e6,1.175906e6,1.727028e6,1.727028e6,1.851735e6
4.0,30000.0,0.0,1.232423e6,1.216859e6,1.994576e6,1.994576e6,2.063814e6
4.0,30000.0,0.0,1.235588e6,1.210859e6,1.968687e6,1.968687e6,2.061179e6
4.0,30000.0,0.0,1.226316e6,1.206288e6,1.94042e6,1.94042e6,2.053042e6
2.0,33000.0,3000.0,1.113708e6,1.108661e6,1.38997e6,1.424051e6,1.500148e6
2.0,33000.0,3000.0,1.078963e6,1.077613e6,1.354614e6,1.386591e6,1.493849e6
2.0,33000.0,3000.0,1.078634e6,1.078678e6,1.309582e6,1.337228e6,1.474686e6
3.0,33000.0,3000.0,1.153188e6,1.149512e6,1.65354e6,1.735987e6,1.802318e6
3.0,33000.0,3000.0,1.147036e6,1.140858e6,1.613396e6,1.696886e6,1.799954e6
3.0,33000.0,3000.0,1.138951e6,1.127632e6,1.570134e6,1.649572e6,1.790658e6
4.0,33000.0,3000.0,1.173343e6,1.172146e6,1.825292e6,1.931252e6,1.997234e6
4.0,33000.0,3000.0,1.177581e6,1.173383e6,1.805412e6,1.897299e6,1.995683e6
4.0,33000.0,3000.0,1.179116e6,1.170039e6,1.786075e6,1.858439e6,1.989273e6
2.0,36000.0,6000.0,1.070085e6,1.070163e6,1.289694e6,1.344235e6,1.445184e6
2.0,36000.0,6000.0,1.05424e6,1.053579e6,1.255302e6,1.303419e6,1.436323e6
2.0,36000.0,6000.0,1.054471e6,1.054451e6,1.208257e6,1.246732e6,1.40985e6
3.0,36000.0,6000.0,1.131184e6,1.131004e6,1.517415e6,1.665658e6,1.740411e6
3.0,36000.0,6000.0,1.12116e6,1.121262e6,1.500868e6,1.623738e6,1.737359e6
3.0,36000.0,6000.0,1.120177e6,1.120177e6,1.458665e6,1.571733e6,1.727887e6
4.0,36000.0,6000.0,1.148148e6,1.146612e6,1.728633e6,1.871713e6,1.933058e6
4.0,36000.0,6000.0,1.147661e6,1.142572e6,1.696215e6,1.835586e6,1.93126e6
4.0,36000.0,6000.0,1.141979e6,1.142262e6,1.678412e6,1.793882e6,1.924872e6
2.0,35000.0,0.0,1.154788e6,1.119939e6,1.513875e6,1.513875e6,1.550913e6
2.0,35000.0,0.0,1.130008e6,1.113367e6,1.478558e6,1.478558e6,1.54646e6
2.0,35000.0,0.0,1.136052e6,1.108474e6,1.437673e6,1.437673e6,1.532789e6
3.0,35000.0,0.0,1.193565e6,1.165317e6,1.818813e6,1.818813e6,1.86594e6
3.0,35000.0,0.0,1.198921e6,1.161307e6,1.801104e6,1.801104e6,1.862523e6
3.0,35000.0,0.0,1.204803e6,1.158612e6,1.749231e6,1.749231e6,1.852684e6
4.0,35000.0,0.0,1.213469e6,1.18887e6,2.012679e6,2.012679e6,2.065191e6
4.0,35000.0,0.0,1.211468e6,1.186771e6,1.982392e6,1.982392e6,2.062556e6
4.0,35000.0,0.0,1.229163e6,1.183531e6,1.956792e6,1.956792e6,2.054451e6
2.0,38500.0,3500.0,1.100504e6,1.088123e6,1.396821e6,1.435567e6,1.500548e6
2.0,38500.0,3500.0,1.079789e6,1.070864e6,1.367414e6,1.399594e6,1.494288e6
2.0,38500.0,3500.0,1.072366e6,1.067188e6,1.326039e6,1.353912e6,1.475055e6
3.0,38500.0,3500.0,1.128184e6,1.120015e6,1.668003e6,1.750673e6,1.803381e6
3.0,38500.0,3500.0,1.129159e6,1.119131e6,1.630799e6,1.716764e6,1.800943e6
3.0,38500.0,3500.0,1.129807e6,1.117096e6,1.590138e6,1.674264e6,1.79172e6
4.0,38500.0,3500.0,1.153574e6,1.149406e6,1.840945e6,1.950339e6,1.998843e6
4.0,38500.0,3500.0,1.164464e6,1.14598e6,1.828441e6,1.919383e6,1.997175e6
4.0,38500.0,3500.0,1.168903e6,1.148189e6,1.777415e6,1.882959e6,1.990637e6
2.0,42000.0,7000.0,1.086997e6,1.070134e6,1.304027e6,1.356286e6,1.445782e6
2.0,42000.0,7000.0,1.064688e6,1.058641e6,1.272623e6,1.319103e6,1.437069e6
2.0,42000.0,7000.0,1.052787e6,1.051011e6,1.229533e6,1.268049e6,1.410497e6
3.0,42000.0,7000.0,1.11196e6,1.106824e6,1.536937e6,1.683488e6,1.741365e6
3.0,42000.0,7000.0,1.100628e6,1.099913e6,1.495131e6,1.646196e6,1.738448e6
3.0,42000.0,7000.0,1.100807e6,1.095194e6,1.475875e6,1.599537e6,1.728814e6
4.0,42000.0,7000.0,1.126124e6,1.126459e6,1.737106e6,1.891734e6,1.934379e6
4.0,42000.0,7000.0,1.136246e6,1.135045e6,1.711304e6,1.859182e6,1.932415e6
4.0,42000.0,7000.0,1.128848e6,1.123451e6,1.685003e6,1.819711e6,1.926329e6
2.0,40000.0,0.0,1.156789e6,1.136547e6,1.504139e6,1.504139e6,1.550793e6
2.0,40000.0,0.0,1.166228e6,1.131249e6,1.467514e6,1.467514e6,1.546355e6
2.0,40000.0,0.0,1.137617e6,1.11954e6,1.425484e6,1.425484e6,1.53275e6
3.0,40000.0,0.0,1.211991e6,1.190505e6,1.807319e6,1.807319e6,1.865486e6
3.0,40000.0,0.0,1.214439e6,1.186224e6,1.769424e6,1.769424e6,1.862053e6
3.0,40000.0,0.0,1.201435e6,1.17868e6,1.727194e6,1.727194e6,1.852108e6
4.0,40000.0,0.0,1.252395e6,1.219513e6,1.994671e6,1.994671e6,2.064562e6
4.0,40000.0,0.0,1.24967e6,1.214424e6,1.961987e6,1.961987e6,2.061694e6
4.0,40000.0,0.0,1.240409e6,1.211658e6,1.927302e6,1.927302e6,2.053663e6
2.0,44000.0,4000.0,1.110298e6,1.103539e6,1.391013e6,1.424972e6,1.500375e6
2.0,44000.0,4000.0,1.090764e6,1.082452e6,1.355828e6,1.387779e6,1.494019e6
2.0,44000.0,4000.0,1.084407e6,1.077937e6,1.312487e6,1.338768e6,1.474928e6
3.0,44000.0,4000.0,1.155372e6,1.144425e6,1.654062e6,1.735427e6,1.802873e6
3.0,44000.0,4000.0,1.167616e6,1.145987e6,1.618682e6,1.696718e6,1.800362e6
3.0,44000.0,4000.0,1.144642e6,1.13401e6,1.579303e6,1.650765e6,1.791021e6
4.0,44000.0,4000.0,1.197437e6,1.186574e6,1.835895e6,1.931633e6,1.998079e6
4.0,44000.0,4000.0,1.189642e6,1.183576e6,1.808195e6,1.899049e6,1.996522e6
4.0,44000.0,4000.0,1.189628e6,1.171246e6,1.793933e6,1.860896e6,1.989895e6
2.0,48000.0,8000.0,1.072636e6,1.071246e6,1.291505e6,1.345753e6,1.445595e6
2.0,48000.0,8000.0,1.083936e6,1.069171e6,1.256926e6,1.305105e6,1.43678e6
2.0,48000.0,8000.0,1.059162e6,1.057676e6,1.207234e6,1.247948e6,1.410218e6
3.0,48000.0,8000.0,1.125608e6,1.123178e6,1.519348e6,1.665802e6,1.740926e6
3.0,48000.0,8000.0,1.130157e6,1.119407e6,1.489556e6,1.624122e6,1.737845e6
3.0,48000.0,8000.0,1.119026e6,1.118632e6,1.462735e6,1.573797e6,1.728447e6
4.0,48000.0,8000.0,1.168037e6,1.1666e6,1.731565e6,1.873462e6,1.933707e6
4.0,48000.0,8000.0,1.153803e6,1.149747e6,1.69556e6,1.838352e6,1.931753e6
4.0,48000.0,8000.0,1.169302e6,1.150506e6,1.673251e6,1.796502e6,1.925619e6
2.0,45000.0,0.0,1.211082e6,1.142135e6,1.501829e6,1.501829e6,1.549772e6
2.0,45000.0,0.0,1.194084e6,1.135751e6,1.465931e6,1.465931e6,1.545266e6
2.0,45000.0,0.0,1.171725e6,1.121807e6,1.424208e6,1.424208e6,1.531759e6
3.0,45000.0,0.0,1.245381e6,1.189596e6,1.805193e6,1.805193e6,1.863938e6
3.0,45000.0,0.0,1.232396e6,1.184329e6,1.768575e6,1.768575e6,1.860515e6
3.0,45000.0,0.0,1.226169e6,1.180995e6,1.726726e6,1.726726e6,1.850502e6
4.0,45000.0,0.0,1.266065e6,1.219767e6,1.993218e6,1.993218e6,2.062616e6
4.0,45000.0,0.0,1.242715e6,1.21395e6,1.960613e6,1.960613e6,2.059866e6
4.0,45000.0,0.0,1.251905e6,1.209376e6,1.925428e6,1.925428e6,2.051857e6
2.0,49500.0,4500.0,1.093505e6,1.081533e6,1.394957e6,1.423452e6,1.499412e6
2.0,49500.0,4500.0,1.101518e6,1.098413e6,1.35961e6,1.386692e6,1.493027e6
2.0,49500.0,4500.0,1.074104e6,1.073261e6,1.315319e6,1.338074e6,1.474107e6
3.0,49500.0,4500.0,1.184341e6,1.147148e6,1.65082e6,1.734163e6,1.801419e6
3.0,49500.0,4500.0,1.161104e6,1.151153e6,1.612459e6,1.695843e6,1.798871e6
3.0,49500.0,4500.0,1.152142e6,1.135118e6,1.571544e6,1.649333e6,1.789764e6
4.0,49500.0,4500.0,1.206938e6,1.180763e6,1.823736e6,1.930004e6,1.996265e6
4.0,49500.0,4500.0,1.187126e6,1.170181e6,1.808357e6,1.897603e6,1.994609e6
4.0,49500.0,4500.0,1.189542e6,1.171041e6,1.777928e6,1.858645e6,1.988043e6
2.0,54000.0,9000.0,1.068857e6,1.067195e6,1.298032e6,1.34413e6,1.444661e6
2.0,54000.0,9000.0,1.060696e6,1.060212e6,1.261972e6,1.304052e6,1.43593e6
2.0,54000.0,9000.0,1.058622e6,1.058697e6,1.213887e6,1.247936e6,1.409351e6
3.0,54000.0,9000.0,1.135378e6,1.1261e6,1.526569e6,1.664807e6,1.739548e6
3.0,54000.0,9000.0,1.127748e6,1.116792e6,1.499001e6,1.623212e6,1.736525e6
3.0,54000.0,9000.0,1.119699e6,1.10793e6,1.459626e6,1.572985e6,1.726951e6
4.0,54000.0,9000.0,1.170586e6,1.160573e6,1.716593e6,1.871218e6,1.932134e6
4.0,54000.0,9000.0,1.150467e6,1.147533e6,1.715539e6,1.836505e6,1.930127e6
4.0,54000.0,9000.0,1.158189e6,1.15276e6,1.673764e6,1.793893e6,1.923982e6
2.0,50000.0,0.0,1.144749e6,1.120104e6,1.514899e6,1.514899e6,1.550899e6
2.0,50000.0,0.0,1.124428e6,1.114229e6,1.479887e6,1.479887e6,1.546292e6
2.0,50000.0,0.0,1.115662e6,1.106055e6,1.439366e6,1.439366e6,1.532743e6
3.0,50000.0,0.0,1.192575e6,1.16548e6,1.820018e6,1.820018e6,1.865687e6
3.0,50000.0,0.0,1.17869e6,1.162348e6,1.787827e6,1.787827e6,1.862414e6
3.0,50000.0,0.0,1.188112e6,1.162335e6,1.750074e6,1.750074e6,1.852436e6
