wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,12815.0,12815.0,12815.0,12815.0,12815.0,12815.0,14337.0,12999.0,13656.0,13656.0,12815.0,15481.0
2.0,40.0,0.0,12190.0,12190.0,12190.0,12190.0,12190.0,12190.0,13960.0,12329.0,14213.0,14213.0,12190.0,15411.0
2.0,40.0,0.0,11660.0,11660.0,11660.0,11660.0,11710.0,11660.0,13825.0,11749.0,14774.0,14774.0,11660.0,15279.0
3.0,40.0,0.0,15765.0,15445.0,15445.0,15445.0,15829.0,15445.0,17164.0,15533.0,16752.0,16752.0,15445.0,18525.0
3.0,40.0,0.0,15072.0,14960.0,14947.0,14947.0,15283.0,14960.0,16686.0,15034.0,16400.0,16400.0,14962.0,18421.0
3.0,40.0,0.0,14697.0,15564.0,14695.0,14695.0,15008.0,15564.0,16282.0,14795.0,16151.0,16151.0,14652.0,18414.0
4.0,40.0,0.0,17892.0,17544.0,17544.0,17544.0,17826.0,17544.0,19113.0,17641.0,19300.0,19300.0,17668.0,20510.0
4.0,40.0,0.0,17462.0,17130.0,17140.0,17130.0,17498.0,17130.0,18754.0,17342.0,19170.0,19170.0,17140.0,20443.0
4.0,40.0,0.0,16717.0,16680.0,16528.0,16525.0,17064.0,16680.0,18034.0,16617.0,18765.0,18765.0,16546.0,20243.0
2.0,48.0,8.0,11363.0,11358.0,11358.0,11358.0,11710.0,11358.0,12812.0,11446.0,11358.0,11538.0,11404.0,14301.0
2.0,48.0,8.0,11051.0,11051.0,11083.0,11051.0,11290.0,11051.0,12278.0,11083.0,11773.0,11188.0,11053.0,14328.0
2.0,48.0,8.0,10649.0,10649.0,10649.0,10649.0,10802.0,10649.0,11594.0,10632.0,12463.0,10742.0,10630.0,14035.0
3.0,48.0,8.0,14057.0,13917.0,14413.0,13977.0,14667.0,13917.0,15085.0,14529.0,14844.0,14609.0,14574.0,17218.0
3.0,48.0,8.0,13584.0,13421.0,13660.0,13660.0,14031.0,13421.0,14693.0,13854.0,14121.0,13918.0,13985.0,17201.0
3.0,48.0,8.0,13259.0,13202.0,13230.0,13210.0,13623.0,13202.0,14655.0,13477.0,13538.0,13492.0,13132.0,17141.0
4.0,48.0,8.0,16079.0,15952.0,16210.0,16210.0,16457.0,15952.0,17179.0,16366.0,16642.0,16737.0,16289.0,19143.0
4.0,48.0,8.0,15817.0,15657.0,15802.0,15873.0,16332.0,15657.0,16917.0,15981.0,16564.0,16415.0,16877.0,19078.0
4.0,48.0,8.0,16003.0,15469.0,15499.0,15502.0,16060.0,15469.0,16725.0,15626.0,16465.0,16027.0,16204.0,19079.0
