wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.34456715421901213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12602407790814057
3.0,40.0,0.0,0.25770083971573216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13413646418139916
3.0,40.0,0.0,0.16897663072174732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11614454659329464
4.0,40.0,0.0,1.3433218821082211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3285334541555449
4.0,40.0,0.0,1.10660292614362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3083813834375382
4.0,40.0,0.0,0.797211354051154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3294719392747939
2.0,48.0,8.0,0.019252676946999257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12118815361631065
2.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09428493795851685
2.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05820305142204191
3.0,48.0,8.0,0.29193836849706517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34819449876150604
3.0,48.0,8.0,0.24948142217543098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3216199715080386
3.0,48.0,8.0,0.20125807763864031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557308722834175
4.0,48.0,8.0,0.7826525540869893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167735915081315
4.0,48.0,8.0,0.6572987750036838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4347727786568821
4.0,48.0,8.0,0.6324371764643264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41100247378926497
