wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,500.0,0.17521293986062117,0.17402994063494795,0.17521293986062117,0.15946829562075196,0.16740514497117784,0.0,0.0
3.0,500.0,0.12812218966667635,0.1264106060166517,0.1308346146035798,0.11309506541730731,0.11569145078471758,0.0,0.0
2.0,1000.0,0.17937947907419838,0.17608850975382684,0.1792495723904995,0.1343451620585879,0.1673631108320523,0.0,0.0
3.0,1000.0,0.13911310848349986,0.10156056837849237,0.11860610556016114,0.1073199819654726,0.1096470177581919,0.0,0.0
2.0,1500.0,0.1819774989182172,0.176070964950238,0.18102553007356123,0.09937256598874945,0.1451968844655993,0.0,0.0
3.0,1500.0,0.144672560195417,0.06093695475165756,0.12633767593346515,0.1018233104571362,0.11613062696289403,0.0,0.0
2.0,2000.0,0.17916549501416798,0.16471631589193397,0.17925201704484003,0.125759771581839,0.14922887240163527,0.0,0.0
3.0,2000.0,0.1516360734237829,0.1022273815569905,0.12817238627294494,0.07446854821156497,0.10952622796198215,0.0,0.0
2.0,2500.0,0.1806654383873415,0.1615476319497128,0.18025360355478487,0.05754849897041292,0.13904844478161915,0.0,0.0
3.0,2500.0,0.15858312214162953,0.10396457805354074,0.13388097526872322,0.06526551894899356,0.11078097235573423,0.0,0.0
2.0,3000.0,0.18877815169557338,0.1694279057727155,0.18808784191906117,0.05733885581154543,0.1477262921736129,0.0,0.0
3.0,3000.0,0.1621111884865367,0.10598015320334261,0.136780408542247,0.08076543639740019,0.11043407613741875,0.0,0.0
