wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
2.0,1000.0,0.055923406724476966,0.05558814996292834,0.055846039779504204,0.05282872892556655,0.05477902066342155,0.05477902066342155,0.0
2.0,1000.0,0.014665289766121753,0.09497691093661711,0.09516526053945924,0.09240171722879281,0.013736531379693315,0.013736531379693315,0.0
2.0,1000.0,0.12961143042443857,0.12950885308608887,0.12961143042443857,0.1254223042840929,-0.022676209668079587,-0.022676209668079587,0.0
3.0,1000.0,0.06102701384590237,0.0596469790636665,0.06078048336053208,0.05678776136920888,0.05736121271561369,0.05736121271561369,0.0
3.0,1000.0,0.08933759520485551,0.08879318244295795,0.08945887527557528,0.08448100215069992,0.06913233542294403,0.06913233542294403,0.0
3.0,1000.0,0.09394984796214735,0.11367522532964261,0.11435155514951525,0.11020085359368395,0.021789819599929094,0.021789819599929094,0.0
2.0,2000.0,0.056839316277885396,0.055823983135800004,0.05669426868615891,0.04794951054495992,0.054869892310221345,0.054869892310221345,0.0
2.0,2000.0,0.01639370844819199,0.09554078157937408,0.09610507540132966,0.09341008594130047,0.09437652018809795,0.09437652018809795,0.0
2.0,2000.0,0.13044111899415065,0.13032519194207623,0.1304444311956385,0.12795365567678213,0.12964950283855667,0.12964950283855667,0.0
3.0,2000.0,0.06297509126046812,0.06021848829718703,0.06253220957698089,0.05665664590938373,0.059534034786343136,0.059534034786343136,0.0
3.0,2000.0,0.08934095784242921,0.08770790440978322,0.08910650957734637,0.08214312662362161,0.08599400674779835,0.08599400674779835,0.0
3.0,2000.0,0.11376888201059354,0.11254550210345053,0.1139596093903263,0.10633596355472241,0.10995978376964492,0.10995978376964492,0.0
2.0,1200.0,0.056943256804504606,0.05673351510946903,0.05694971039512108,0.05478775753860054,0.0559816718026492,0.0559816718026492,0.0
2.0,1200.0,0.015429838150363952,0.09546341368559558,0.0957810200999488,0.09110766857446574,0.09469532470394545,0.09469532470394545,0.0
2.0,1200.0,0.12895182147221182,0.12873326467559218,0.12887896920667194,0.12706428550140572,0.1275477596272613,0.1275477596272613,0.0
3.0,1200.0,0.06087268713260708,0.057930864488610484,0.06046008177088078,0.055463270085039575,0.05632599038683092,0.05632599038683092,0.0
3.0,1200.0,0.08855489773950484,0.08780947255113025,0.0883799784714747,0.0848869752421959,0.08595801937567277,0.08595801937567277,0.0
3.0,1200.0,0.07920473274610607,0.11093738061713437,0.11205071111256644,0.10866978835805582,0.020834015521136905,0.020834015521136905,0.0
2.0,2400.0,0.057173069917241866,0.05638320851373875,0.05714405460037849,0.05392657835263927,0.05599633762222702,0.05599633762222702,0.0
2.0,2400.0,0.016564242003413436,0.09596877291576085,0.09620563670934541,0.08745465518472131,0.09486232697586586,0.09486232697586586,0.0
2.0,2400.0,0.12850495167641093,0.12848506542576463,0.12859112542921158,0.11987100452080765,-0.024291055164459292,-0.024291055164459292,0.0
3.0,2400.0,0.0633358093087738,0.059434136818648654,0.06287726223261476,0.05317268990150623,0.05783860751856311,0.05783860751856311,0.0
3.0,2400.0,0.08900331895031803,0.08686336314915358,0.08889833998648733,0.08316487350034858,0.04180854528765582,0.04180854528765582,0.0
3.0,2400.0,0.11402112219138646,0.11258171627346532,0.11363946153133161,0.10894503541265696,0.11062706846447012,0.11062706846447012,0.0
