wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,100.0,0.0,0.08808023659508812,0.08312974154558317,0.08808023659508812,0.07528610003857528,0.08853028159958853,0.049376366208049416,0.06641378423556643,0.06641378423556643,0.0
2.0,100.0,0.0,0.11496256132197258,0.11496256132197258,0.1170926930028402,0.08830364058869089,0.11496256132197258,0.05357603924606247,0.030854634650142043,0.030854634650142043,0.0
2.0,100.0,0.0,0.14259681093394072,0.1377806703547022,0.1413602342987309,0.11487146111291902,0.14259681093394072,0.06527822974292219,0.005597136348844733,0.005597136348844733,0.0
3.0,100.0,0.0,0.11432713994200405,0.09080657287079796,0.09751906347331118,0.07850929008699392,0.11282354204704115,0.061056814520459635,0.05901621737729568,0.05901621737729568,0.0
3.0,100.0,0.0,0.11246445243333159,0.114074153565488,0.1173472125342061,0.08467027955142992,0.11246445243333159,0.07780222138756243,0.07281214787787738,0.07281214787787738,0.0
3.0,100.0,0.0,0.12034492050660195,0.13053085421719213,0.13645917542441388,0.08849366747507414,0.12460253300997037,0.09302074912422531,0.07216383724063591,0.07216383724063591,0.0
4.0,100.0,0.0,0.12802701398938732,0.10627110467920886,0.12397491558128315,0.07998070429329474,0.12648335745296668,0.0643511818620357,0.049782923299565796,0.049782923299565796,0.0
4.0,100.0,0.0,0.13930107786746582,0.11315191647735512,0.12919909130455798,0.08908115423655083,0.1384310503165933,0.08245927787713281,0.07400067668809507,0.07400067668809507,0.0
4.0,100.0,0.0,0.14485708730313052,0.12711452459653894,0.13523235465681505,0.08832393544623762,0.1460723313241299,0.09308769200855527,0.0872059109469181,0.0872059109469181,0.0
2.0,120.0,20.0,0.12784090909090906,0.12077328159645229,0.1299889135254989,0.0,0.0,0.08744456762749442,0.12077328159645229,0.11363636363636365,0.0
2.0,120.0,20.0,0.1028499756114557,0.1503727963208139,0.15587763918890674,0.0,0.0,0.0987387638492091,0.09330360253640857,0.13950247369521285,0.0
2.0,120.0,20.0,0.1650822928490352,0.1685584562996595,0.16976447219069235,0.0,0.0,0.1225170261066969,0.0563989784335982,0.15905221339387066,0.0
3.0,120.0,20.0,0.12822275696115504,0.11722241320041249,0.12650395324853903,0.0,0.0,0.11298269737595967,0.11401397960352933,0.09017990145525379,0.0
3.0,120.0,20.0,0.14782908339076495,0.1374339535952217,0.11888352860096485,0.0,0.0,0.11474844934527917,0.10527222605099928,0.10814380886744779,0.0
3.0,120.0,20.0,0.16084239759314978,0.15447813006248556,0.1454524415644527,0.0,0.0,0.1298310576255497,0.09806757694978019,0.13353390418884514,0.0
4.0,120.0,20.0,0.1220231932077035,0.12290329260716504,0.11539656243528684,0.0,0.0,0.09505073514185136,0.08619797059432599,0.0678194243114516,0.0
4.0,120.0,20.0,0.12962098823041424,0.13060610774096537,0.12593975216467046,0.0,0.0,0.0923419920153471,0.1053559392336807,0.09358635350235911,0.0
4.0,120.0,20.0,0.12672978878368535,0.1382790552491936,0.14603058994901674,0.0,0.0,0.10227863905941104,0.11705337633961088,0.10820934346061806,0.0
2.0,200.0,0.0,0.09425729868463262,0.07417388514597367,0.08508180943214627,0.050176451716393955,0.09412897016361887,0.05678537054860444,0.05665704202759059,0.05665704202759059,0.0
2.0,200.0,0.0,0.10946137035608694,0.10772592878261988,0.11171101684021079,0.05084201054120063,0.10971847281141534,0.06491836997043321,0.08381540043707414,0.08381540043707414,0.0
2.0,200.0,0.0,0.13475315878598415,0.13012895662368118,0.13475315878598415,0.053276019278363895,0.13345056662758892,0.0726195128305328,0.10479353914289435,0.10479353914289435,0.0
3.0,200.0,0.0,0.1245190252244549,0.1020200940572894,0.12649636596836256,0.05504489097905085,0.1287943565626336,0.05365540829414284,0.06990166737922188,0.06990166737922188,0.0
3.0,200.0,0.0,0.12709870602074647,0.10603144048764834,0.12699176558656833,0.06175810073788901,0.12624318254732114,0.06710512244679712,0.07469789327344667,0.07469789327344667,0.0
3.0,200.0,0.0,0.13258656901287091,0.123700791641984,0.14911950024233933,0.0537454897948193,0.13156335828531418,0.08099520706553931,0.0828800689320911,0.0828800689320911,0.0
4.0,200.0,0.0,0.14102254622700716,0.10539274851542513,0.14338821030270843,0.058900207599092314,0.13909139187949593,0.06189349683773471,0.047651233524839465,0.047651233524839465,0.0
4.0,200.0,0.0,0.16014080432057098,0.1281705082457325,0.1594174944546244,0.05178898640177454,0.16173208602565337,0.07218632462146779,0.06509788793519145,0.06509788793519145,0.0
4.0,200.0,0.0,0.15852949723917464,0.1367819432335562,0.15567180083309118,0.05536181342632951,0.1586748038360941,0.08418095514869706,0.0694565533275211,0.0694565533275211,0.0
2.0,240.0,40.0,0.13389351883738554,0.12266685033404501,0.13499552310765206,0.0,0.0,0.0938769887733315,0.10916729802327985,0.11295543770232108,0.0
2.0,240.0,40.0,0.10314369175128668,0.1511336764501321,0.1569759354569481,0.0,0.0,0.09994435943803037,0.13673668104047854,0.1450827653359299,0.0
2.0,240.0,40.0,0.17594686263425663,0.1741803278688525,0.17488694177501418,0.0,0.0,0.11814584511023174,0.1534058790276993,0.16916336913510455,0.0
3.0,240.0,40.0,0.14068854900612937,0.12539382482671713,0.11296328120524712,0.0,0.0,0.0962364667468637,0.10591739703270897,0.08821676118462507,0.0
3.0,240.0,40.0,0.14248734468476765,0.1399562816382881,0.13661988034974692,0.0,0.0,0.1180971007823286,0.1114818223653935,0.11194201564657158,0.0
3.0,240.0,40.0,0.172360248447205,0.15976535541752934,0.16580400276052454,0.0,0.0,0.1376811594202898,0.1196227283183805,0.14015412928456406,0.0
4.0,240.0,40.0,0.14151282974237667,0.13487941584820284,0.1517971923690029,0.0,0.0,0.09153082737697327,0.094153339846763,0.06186044119915668,0.0
4.0,240.0,40.0,0.14664045931826408,0.13479542750737084,0.15512336419593442,0.0,0.0,0.0989499818962396,0.10432938498939637,0.07913929550509491,0.0
4.0,240.0,40.0,0.1439630091438071,0.14541770573566082,0.1736803823773898,0.0,0.0,0.10375103906899419,0.07777431421446379,0.10338736492103073,0.0
2.0,300.0,0.0,0.11816305469556243,0.07333591331269351,0.10835913312693501,0.04127966976264186,0.11816305469556243,0.052631578947368474,0.0635964912280702,0.0635964912280702,0.0
2.0,300.0,0.0,0.13155004199780318,0.10318537184208831,0.13058086192414553,0.050074303805647036,0.1323253860567294,0.07288234153905793,0.09401046714479555,0.09401046714479555,0.0
2.0,300.0,0.0,0.11315960912052114,0.12938110749185672,0.13328990228013027,0.049381107491856646,0.11309446254071664,0.08449511400651466,0.12267100977198697,0.12267100977198697,0.0
3.0,300.0,0.0,0.164731689048205,0.11262104756299829,0.16601572949547916,0.04943555722005244,0.16371515702744632,0.06891017067037608,0.0630249852870366,0.0630249852870366,0.0
3.0,300.0,0.0,0.17447105574052202,0.13629040919342716,0.17114166040167544,0.049726130383417444,0.1727526581462786,0.07818709053807327,0.05037052948125875,0.05037052948125875,0.0
3.0,300.0,0.0,0.18553527060602792,0.12882143242951283,0.18337474343739868,0.0526088365561197,0.18542724424759638,0.08555687587771421,0.026034352381981152,0.026034352381981152,0.0
4.0,300.0,0.0,0.1875453621715779,0.15091692069482754,0.19083563168335993,0.051241109014370734,0.18759374848792765,0.06062805438621954,0.05801519330333382,0.05801519330333382,0.0
4.0,300.0,0.0,0.19363755394985693,0.1519809902526551,0.19063091023713685,0.04742737985548717,0.19058241598370596,0.07303234566703842,0.04878521895155419,0.04878521895155419,0.0
4.0,300.0,0.0,0.1874483094137679,0.1482364388226709,0.19567015324738501,0.05468255898808072,0.1850158112381416,0.08956458282656288,0.03235222573583074,0.03235222573583074,0.0
2.0,360.0,60.0,0.14120738538137056,0.12198326533434756,0.1425212640896204,0.0,0.0,0.0967429638337598,0.12357375008643934,0.11569047783694075,0.0
2.0,360.0,60.0,0.1632398753894081,0.15437867774316372,0.16497057805469018,0.0,0.0,0.10771893388715814,0.14766355140186915,0.1424714434060228,0.0
2.0,360.0,60.0,0.17359637957856033,0.16687880073539807,0.16892943006646866,0.0,0.0,0.10974402489039736,0.16284825342950082,0.1600905105359921,0.0
3.0,360.0,60.0,0.15975581663211247,0.13205482607694075,0.16879751209398752,0.0,0.0,0.09421792213775626,0.10757889887122785,0.07797742455655376,0.0
3.0,360.0,60.0,0.15722363258712213,0.1414724209554581,0.16778213708746825,0.0,0.0,0.11135471959381493,0.08735287329794594,0.09802677129009929,0.0
3.0,360.0,60.0,0.16517805359007076,0.15862428952557706,0.17306576963229325,0.0,0.0,0.12956733557591926,0.06455167613965895,0.12469551096160536,0.0
4.0,360.0,60.0,0.17476480926289673,0.16173886074640753,0.1849477928253903,0.0,0.0,0.10586167683242009,0.09588545435748996,0.0632172025224853,0.0
4.0,360.0,60.0,0.18028299938029335,0.17418921710390411,0.20470977070853125,0.0,0.0,0.11779590993596367,0.09135509192315638,0.0851580252014047,0.0
4.0,360.0,60.0,0.20657738249133872,0.18423910233207508,0.20900770463829565,0.0,0.0,0.12797973007911478,0.1072444283572056,0.10652050261130364,0.0
2.0,400.0,0.0,0.1224621334192717,0.0582661940058008,0.12349339349017086,0.038543345149855024,0.12349339349017086,0.03828553013213021,0.04576216564614888,0.04576216564614888,0.0
2.0,400.0,0.0,0.12305406627478843,0.08584716749563981,0.1306763128996835,0.04205154705768366,0.12227892255022288,0.05658549189328854,0.017828305665008704,0.017828305665008704,0.0
2.0,400.0,0.0,0.13332463635770664,0.10736416411193006,0.13743395734133457,0.04213684691148656,0.12445372121844633,0.07253277672689318,-0.009262279042463017,-0.009262279042463017,0.0
3.0,400.0,0.0,0.1771664079644597,0.12551517422255531,0.17176042391478885,0.0361826259166087,0.17609591607343578,0.054702135631322646,0.0456029545576192,0.0456029545576192,0.0
3.0,400.0,0.0,0.18049748043315106,0.13091026053393373,0.18022944140666886,0.039562560308780914,0.17079446767449336,0.07215610592902322,0.02792966655945106,0.02792966655945106,0.0
3.0,400.0,0.0,0.18142571906535,0.1399276887377907,0.1813717554368356,0.03939344881549833,0.1813177918083212,0.08143111542820136,0.030381522853596632,0.030381522853596632,0.0
4.0,400.0,0.0,0.20861952210505952,0.19986456418690146,0.20890974170455645,0.031972525877914326,0.20847441230531105,0.05499661410467249,0.03913127599883914,0.03913127599883914,0.0
4.0,400.0,0.0,0.2126659560034887,0.15238879736408562,0.20820815970539785,0.036340730690958445,0.20520399263494526,0.05901734664211644,0.041719158833220304,0.041719158833220304,0.0
