wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,734.0,734.0,688.0,771.0
2.0,20.0,0.0,635.0,635.0,635.0,635.0,635.0,635.0,635.0,704.0,704.0,635.0,762.0
3.0,20.0,0.0,819.0,819.0,819.0,819.0,820.0,819.0,819.0,885.0,885.0,829.0,920.0
3.0,20.0,0.0,774.0,810.0,792.0,792.0,787.0,810.0,792.0,863.0,863.0,774.0,916.0
4.0,20.0,0.0,933.0,933.0,940.0,937.0,963.0,933.0,934.0,997.0,997.0,938.0,1018.0
4.0,20.0,0.0,904.0,899.0,900.0,903.0,905.0,899.0,896.0,992.0,992.0,900.0,1014.0
2.0,24.0,4.0,615.0,615.0,615.0,615.0,0.0,0.0,615.0,615.0,638.0,617.0,718.0
2.0,24.0,4.0,578.0,578.0,581.0,581.0,0.0,0.0,581.0,578.0,589.0,586.0,707.0
3.0,24.0,4.0,764.0,764.0,763.0,763.0,0.0,0.0,762.0,797.0,791.0,752.0,858.0
3.0,24.0,4.0,715.0,713.0,695.0,699.0,0.0,0.0,692.0,745.0,727.0,695.0,844.0
4.0,24.0,4.0,867.0,852.0,854.0,845.0,0.0,0.0,863.0,889.0,900.0,842.0,950.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
