dependency,skus,wareh,diff,buffer,weight_mode,mode,benchiter,orders,train_test,parcel_train,parcel_test,flexibility,duration,cap_used,local_search,gap
HD-VF,100,2,0.0,0.0,uniform,QMKJ,1,200,0.5,15,44,0.56,14.668868586,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,KL,1,200,0.5,11,42,0.58,3.273673881,100,100,0.0
HD-VF,100,2,0.0,0.0,uniform,KL_LS,1,200,0.5,11,42,0.58,3.4914679570000002,100,1,0.0
HD-VF,100,2,0.0,0.0,uniform,GO,1,200,0.5,28,41,0.59,0.268342386,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GO_LS,1,200,0.5,19,47,0.53,0.48614121099999996,100,2,0.0
HD-VF,100,2,0.0,0.0,uniform,GP,1,200,0.5,24,48,0.52,0.20229437,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GP_LS,1,200,0.5,18,48,0.52,0.42010714099999996,100,3,0.0
HD-VF,100,2,0.0,0.0,uniform,GS,1,200,0.5,21,48,0.52,0.965063955,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GS_LS,1,200,0.5,16,43,0.57,1.1828792909999999,100,4,0.0
HD-VF,100,2,0.0,0.0,uniform,BS,1,200,0.5,21,48,0.52,0.343030925,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,BS_LS,1,200,0.5,16,43,0.57,0.560849267,100,4,0.0
HD-VF,100,2,0.0,0.0,uniform,EMCI,1,200,0.5,24,46,0.54,0.69994802,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,EMCI_LS,1,200,0.5,14,40,0.6,0.9177589070000001,100,3,0.0
HD-VF,100,2,0.0,0.0,uniform,OPT,1,200,0.5,9,42,0.58,2.58267301,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,RND,1,200,0.5,66,72,0.276,0.421849489,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,QMKJ,1,1000,0.5,161,196,0.608,11.311223058,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,KL,1,1000,0.5,156,204,0.592,3.379340041,100,100,0.0
HD-VF,100,2,0.0,0.0,uniform,KL_LS,1,1000,0.5,156,204,0.592,3.380371084,100,1,0.0
HD-VF,100,2,0.0,0.0,uniform,GO,1,1000,0.5,250,264,0.472,0.000929894,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GO_LS,1,1000,0.5,180,211,0.578,0.0011593740000000001,100,6,0.0
HD-VF,100,2,0.0,0.0,uniform,GP,1,1000,0.5,219,242,0.516,0.000297729,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GP_LS,1,1000,0.5,186,224,0.552,0.00058593,100,4,0.0
HD-VF,100,2,0.0,0.0,uniform,GS,1,1000,0.5,214,244,0.512,0.000195236,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GS_LS,1,1000,0.5,214,244,0.512,0.000389861,100,1,0.0
HD-VF,100,2,0.0,0.0,uniform,BS,1,1000,0.5,214,244,0.512,0.000216336,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,BS_LS,1,1000,0.5,214,244,0.512,0.00040188499999999994,100,1,0.0
HD-VF,100,2,0.0,0.0,uniform,EMCI,1,1000,0.5,200,222,0.556,8.4299e-5,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,EMCI_LS,1,1000,0.5,200,222,0.556,0.00025041,100,1,0.0
HD-VF,100,2,0.0,0.0,uniform,OPT,1,1000,0.5,153,196,0.608,1.314292382,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,RND,1,1000,0.5,339,344,0.313,0.000931948,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,QMKJ,1,2000,0.5,240,273,0.727,0.919064736,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,KL,1,2000,0.5,236,269,0.731,3.42962098,100,100,0.0
HD-VF,100,2,0.0,0.0,uniform,KL_LS,1,2000,0.5,236,269,0.731,3.4307995300000003,100,1,0.0
HD-VF,100,2,0.0,0.0,uniform,GO,1,2000,0.5,420,447,0.553,0.00203204,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GO_LS,1,2000,0.5,351,415,0.585,0.0024157400000000004,100,2,0.0
HD-VF,100,2,0.0,0.0,uniform,GP,1,2000,0.5,296,316,0.684,0.000423474,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GP_LS,1,2000,0.5,271,287,0.713,0.000837771,100,2,0.0
HD-VF,100,2,0.0,0.0,uniform,GS,1,2000,0.5,271,300,0.7,0.000294252,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,GS_LS,1,2000,0.5,258,285,0.715,0.000690815,100,4,0.0
HD-VF,100,2,0.0,0.0,uniform,BS,1,2000,0.5,271,300,0.7,0.000274925,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,BS_LS,1,2000,0.5,258,285,0.715,0.000637665,100,4,0.0
HD-VF,100,2,0.0,0.0,uniform,EMCI,1,2000,0.5,279,312,0.688,8.3186e-5,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,EMCI_LS,1,2000,0.5,279,312,0.688,0.000401082,100,1,0.0
HD-VF,100,2,0.0,0.0,uniform,OPT,1,2000,0.5,235,265,0.735,2.492056472,100,0,0.0
HD-VF,100,2,0.0,0.0,uniform,RND,1,2000,0.5,678,678,0.3218,0.001435071,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,QMKJ,1,200,0.5,11,33,0.67,0.335931151,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,KL,1,200,0.5,10,34,0.66,2.986356212,100,100,0.0
HD-VF,100,2,0.2,0.0,uniform,KL_LS,1,200,0.5,10,34,0.66,2.986436582,100,1,0.0
HD-VF,100,2,0.2,0.0,uniform,GO,1,200,0.5,27,39,0.61,0.000178855,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,GO_LS,1,200,0.5,16,36,0.64,0.00028980200000000003,100,4,0.0
HD-VF,100,2,0.2,0.0,uniform,GP,1,200,0.5,25,38,0.62,0.000110637,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,GP_LS,1,200,0.5,19,31,0.69,0.000206706,100,2,0.0
HD-VF,100,2,0.2,0.0,uniform,GS,1,200,0.5,19,40,0.6,9.3926e-5,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,GS_LS,1,200,0.5,19,40,0.6,0.000177953,100,1,0.0
HD-VF,100,2,0.2,0.0,uniform,BS,1,200,0.5,19,40,0.6,9.2153e-5,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,BS_LS,1,200,0.5,19,40,0.6,0.000175849,100,1,0.0
HD-VF,100,2,0.2,0.0,uniform,EMCI,1,200,0.5,21,26,0.74,3.9814e-5,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,EMCI_LS,1,200,0.5,16,33,0.67,0.000131946,100,2,0.0
HD-VF,100,2,0.2,0.0,uniform,OPT,1,200,0.5,10,30,0.7,0.090656362,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,RND,1,200,0.5,70,69,0.31,0.000358482,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,QMKJ,1,1000,0.5,126,164,0.672,0.112421807,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,KL,1,1000,0.5,122,161,0.678,3.443755084,100,100,0.0
HD-VF,100,2,0.2,0.0,uniform,KL_LS,1,1000,0.5,122,161,0.678,3.444588217,100,1,0.0
HD-VF,100,2,0.2,0.0,uniform,GO,1,1000,0.5,212,223,0.554,0.000971772,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,GO_LS,1,1000,0.5,181,202,0.596,0.001156429,100,2,0.0
HD-VF,100,2,0.2,0.0,uniform,GP,1,1000,0.5,164,198,0.604,0.000289072,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,GP_LS,1,1000,0.5,130,167,0.666,0.0005517950000000001,100,4,0.0
HD-VF,100,2,0.2,0.0,uniform,GS,1,1000,0.5,172,210,0.58,0.000171802,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,GS_LS,1,1000,0.5,172,210,0.58,0.000385874,100,1,0.0
HD-VF,100,2,0.2,0.0,uniform,BS,1,1000,0.5,172,210,0.58,0.000192381,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,BS_LS,1,1000,0.5,172,210,0.58,0.000405281,100,1,0.0
HD-VF,100,2,0.2,0.0,uniform,EMCI,1,1000,0.5,154,194,0.612,3.7971e-5,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,EMCI_LS,1,1000,0.5,130,166,0.668,0.000247093,100,4,0.0
HD-VF,100,2,0.2,0.0,uniform,OPT,1,1000,0.5,118,159,0.682,1.157573567,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,RND,1,1000,0.5,330,338,0.3232,0.000717906,100,0,0.0
HD-VF,100,2,0.2,0.0,uniform,QMKJ,1,2000,0.5,228,257,0.743,0.294002625,100,0,0.0
