wareh,capacity,buffer,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,RND
2.0,400.0,0.0,13287.0,13685.0,13224.0,14685.0,13423.0,14219.0,15473.0,15473.0,15331.0
3.0,400.0,0.0,15373.0,16338.0,15474.0,18007.0,15393.0,17661.0,17831.0,17831.0,18683.0
3.0,400.0,0.0,15287.0,16212.0,15292.0,17916.0,15468.0,17308.0,18133.0,18133.0,18654.0
3.0,400.0,0.0,15169.0,15938.0,15170.0,17801.0,15171.0,17022.0,17968.0,17968.0,18531.0
4.0,400.0,0.0,16361.0,16542.0,16355.0,20013.0,16364.0,19537.0,19865.0,19865.0,20674.0
4.0,400.0,0.0,16249.0,17493.0,16341.0,19888.0,16403.0,19420.0,19777.0,19777.0,20638.0
4.0,400.0,0.0,16065.0,17265.0,16210.0,19764.0,16212.0,19083.0,19641.0,19641.0,20558.0
2.0,480.0,80.0,12353.0,12748.0,12444.0,0.0,0.0,13154.0,13022.0,13128.0,14456.0
2.0,480.0,80.0,12136.0,12363.0,12168.0,0.0,0.0,12865.0,13310.0,12639.0,14336.0
2.0,480.0,80.0,11780.0,11933.0,11727.0,0.0,0.0,12634.0,13605.0,12128.0,14127.0
3.0,480.0,80.0,14286.0,14736.0,14127.0,0.0,0.0,15886.0,15732.0,16324.0,17378.0
3.0,480.0,80.0,14365.0,14631.0,14042.0,0.0,0.0,15445.0,15928.0,15889.0,17432.0
3.0,480.0,80.0,14092.0,14514.0,13973.0,0.0,0.0,15224.0,16245.0,15400.0,17300.0
4.0,480.0,80.0,15737.0,15634.0,15381.0,0.0,0.0,17365.0,17508.0,18409.0,19372.0
4.0,480.0,80.0,15576.0,15715.0,15256.0,0.0,0.0,17248.0,17323.0,18054.0,19375.0
4.0,480.0,80.0,15442.0,15492.0,15075.0,0.0,0.0,16966.0,17263.0,17661.0,19316.0
2.0,500.0,0.0,13408.0,14209.0,13448.0,14966.0,13399.0,14732.0,14643.0,14643.0,15500.0
2.0,500.0,0.0,13480.0,13815.0,13233.0,14869.0,13474.0,14313.0,15007.0,15007.0,15445.0
2.0,500.0,0.0,13009.0,13441.0,13073.0,14712.0,13006.0,13894.0,15254.0,15254.0,15279.0
3.0,500.0,0.0,15052.0,15511.0,15013.0,18014.0,15087.0,17236.0,17519.0,17519.0,18682.0
3.0,500.0,0.0,15034.0,15536.0,14925.0,17918.0,14909.0,17088.0,17705.0,17705.0,18632.0
3.0,500.0,0.0,14654.0,15325.0,14748.0,17945.0,14672.0,16872.0,17099.0,17099.0,18475.0
4.0,500.0,0.0,16071.0,16114.0,15927.0,19997.0,16056.0,19340.0,19386.0,19386.0,20697.0
4.0,500.0,0.0,16150.0,16512.0,15939.0,19949.0,16045.0,18975.0,19140.0,19140.0,20646.0
4.0,500.0,0.0,15819.0,16369.0,15771.0,19845.0,15925.0,18552.0,18872.0,18872.0,20561.0
2.0,600.0,100.0,12396.0,12548.0,12320.0,0.0,0.0,12978.0,12839.0,12989.0,14440.0
2.0,600.0,100.0,12160.0,12150.0,12076.0,0.0,0.0,12595.0,13212.0,12439.0,14419.0
2.0,600.0,100.0,11835.0,11702.0,11637.0,0.0,0.0,12361.0,13374.0,11876.0,14113.0
3.0,600.0,100.0,14306.0,14419.0,13857.0,0.0,0.0,15584.0,15339.0,16061.0,17429.0
3.0,600.0,100.0,14018.0,14250.0,13743.0,0.0,0.0,15250.0,15485.0,15600.0,17348.0
3.0,600.0,100.0,13865.0,13921.0,13876.0,0.0,0.0,14910.0,15615.0,15158.0,17287.0
4.0,600.0,100.0,15417.0,15347.0,15131.0,0.0,0.0,17156.0,17197.0,18197.0,19339.0
4.0,600.0,100.0,15177.0,15315.0,14985.0,0.0,0.0,16920.0,17235.0,17788.0,19308.0
4.0,600.0,100.0,15360.0,14984.0,14800.0,0.0,0.0,16703.0,17292.0,17393.0,19295.0
2.0,600.0,0.0,13086.0,13690.0,13167.0,15059.0,13246.0,14557.0,14566.0,14566.0,15505.0
2.0,600.0,0.0,12999.0,13714.0,12931.0,15020.0,13023.0,14170.0,14990.0,14990.0,15482.0
2.0,600.0,0.0,13152.0,13313.0,12890.0,14905.0,13207.0,13803.0,15225.0,15225.0,15350.0
3.0,600.0,0.0,14614.0,15149.0,14644.0,18077.0,14596.0,17206.0,17375.0,17375.0,18679.0
3.0,600.0,0.0,14522.0,15057.0,14627.0,18178.0,14597.0,16928.0,17550.0,17550.0,18599.0
3.0,600.0,0.0,14361.0,14974.0,14462.0,18048.0,14377.0,16545.0,17619.0,17619.0,18553.0
4.0,600.0,0.0,15596.0,15529.0,15554.0,20030.0,15536.0,19103.0,19333.0,19333.0,20687.0
4.0,600.0,0.0,15454.0,15958.0,15478.0,19943.0,15527.0,18812.0,19075.0,19075.0,20628.0
4.0,600.0,0.0,15506.0,15596.0,15362.0,19968.0,15536.0,18622.0,18807.0,18807.0,20568.0
2.0,720.0,120.0,12184.0,12257.0,12210.0,0.0,0.0,12772.0,12620.0,12929.0,14438.0
2.0,720.0,120.0,11819.0,12063.0,11974.0,0.0,0.0,12554.0,12949.0,12479.0,14393.0
2.0,720.0,120.0,11580.0,11748.0,11626.0,0.0,0.0,12209.0,13287.0,11917.0,14091.0
3.0,720.0,120.0,13898.0,13866.0,13709.0,0.0,0.0,15364.0,15273.0,16053.0,17411.0
3.0,720.0,120.0,13818.0,13922.0,13667.0,0.0,0.0,15031.0,15113.0,15638.0,17384.0
3.0,720.0,120.0,13646.0,13746.0,13476.0,0.0,0.0,14576.0,14924.0,15216.0,17276.0
4.0,720.0,120.0,14817.0,14874.0,14712.0,0.0,0.0,16948.0,17075.0,18029.0,19339.0
4.0,720.0,120.0,14740.0,14565.0,14508.0,0.0,0.0,16662.0,16871.0,17691.0,19310.0
4.0,720.0,120.0,14590.0,14716.0,14519.0,0.0,0.0,16400.0,17040.0,17311.0,19241.0
2.0,700.0,0.0,12979.0,13045.0,12902.0,15091.0,12941.0,14700.0,14653.0,14653.0,15472.0
2.0,700.0,0.0,12821.0,13673.0,12754.0,15079.0,12828.0,14377.0,14183.0,14183.0,15428.0
2.0,700.0,0.0,12628.0,13319.0,12579.0,14885.0,12628.0,13958.0,13625.0,13625.0,15313.0
3.0,700.0,0.0,14208.0,14411.0,14345.0,18240.0,14294.0,17357.0,17386.0,17386.0,18648.0
3.0,700.0,0.0,14302.0,14414.0,14182.0,18114.0,14294.0,16915.0,17165.0,17165.0,18592.0
3.0,700.0,0.0,14053.0,14538.0,14094.0,17900.0,14070.0,16633.0,16958.0,16958.0,18512.0
4.0,700.0,0.0,14982.0,15255.0,15060.0,19914.0,14970.0,19239.0,19382.0,19382.0,20600.0
4.0,700.0,0.0,14949.0,15080.0,14969.0,20127.0,14972.0,19011.0,19554.0,19554.0,20565.0
4.0,700.0,0.0,14804.0,14954.0,14814.0,19949.0,14846.0,18650.0,19617.0,19617.0,20460.0
2.0,840.0,140.0,12040.0,12142.0,12065.0,0.0,0.0,12695.0,12535.0,12954.0,14454.0
2.0,840.0,140.0,11710.0,11866.0,11853.0,0.0,0.0,12575.0,12063.0,12481.0,14336.0
2.0,840.0,140.0,11433.0,11506.0,11442.0,0.0,0.0,12221.0,11660.0,11962.0,14108.0
3.0,840.0,140.0,13615.0,13380.0,13435.0,0.0,0.0,15445.0,15099.0,16028.0,17372.0
3.0,840.0,140.0,13563.0,13444.0,13267.0,0.0,0.0,15130.0,15093.0,15637.0,17352.0
3.0,840.0,140.0,13348.0,13351.0,13191.0,0.0,0.0,14723.0,14969.0,15129.0,17242.0
4.0,840.0,140.0,14441.0,14375.0,14329.0,0.0,0.0,17334.0,17139.0,18075.0,19272.0
4.0,840.0,140.0,14314.0,14258.0,14183.0,0.0,0.0,16963.0,17051.0,17696.0,19287.0
4.0,840.0,140.0,14368.0,14149.0,13956.0,0.0,0.0,16584.0,17191.0,17283.0,19233.0
2.0,800.0,0.0,12711.0,12614.0,12651.0,15187.0,12663.0,14812.0,14915.0,14915.0,15502.0
