wareh,capacity,buffer,QMK,CHI,CHILOC,KLINKQMK,GP,GS,BS,RND
4.0,3000.0,0.0,18793.0,18817.0,18743.0,18793.0,18744.0,18713.0,18713.0,20723.0
4.0,3000.0,0.0,18339.0,18296.0,18301.0,18339.0,18301.0,18317.0,18317.0,20707.0
4.0,3000.0,0.0,17846.0,17818.0,17811.0,17846.0,17766.0,17999.0,17999.0,20631.0
2.0,3300.0,300.0,13011.0,12983.0,12987.0,0.0,13055.0,12976.0,12967.0,15034.0
2.0,3300.0,300.0,12436.0,12419.0,12439.0,0.0,12416.0,13572.0,12421.0,14983.0
2.0,3300.0,300.0,11936.0,11919.0,11928.0,0.0,11895.0,14053.0,11886.0,14781.0
3.0,3300.0,300.0,16029.0,15897.0,16025.0,0.0,15825.0,15798.0,15867.0,18100.0
3.0,3300.0,300.0,15660.0,15508.0,15463.0,0.0,15416.0,15669.0,15352.0,18071.0
3.0,3300.0,300.0,15201.0,15057.0,14973.0,0.0,14997.0,15542.0,14848.0,17972.0
4.0,3300.0,300.0,18110.0,17846.0,18098.0,0.0,17943.0,17919.0,18013.0,20053.0
4.0,3300.0,300.0,17750.0,17418.0,17418.0,0.0,17413.0,17534.0,17484.0,20049.0
4.0,3300.0,300.0,17234.0,16906.0,16906.0,0.0,16948.0,17258.0,16937.0,19968.0
2.0,3600.0,600.0,12241.0,12220.0,12235.0,0.0,12198.0,12206.0,12181.0,14499.0
2.0,3600.0,600.0,11771.0,11746.0,11768.0,0.0,11717.0,12687.0,11704.0,14412.0
2.0,3600.0,600.0,13223.0,11259.0,11265.0,0.0,11256.0,13155.0,11228.0,14138.0
3.0,3600.0,600.0,15209.0,15160.0,15243.0,0.0,15176.0,15144.0,15174.0,17472.0
3.0,3600.0,600.0,14826.0,14648.0,14653.0,0.0,14824.0,15066.0,14665.0,17427.0
3.0,3600.0,600.0,14377.0,14280.0,14143.0,0.0,14380.0,15010.0,14166.0,17344.0
4.0,3600.0,600.0,17276.0,17183.0,17208.0,0.0,17217.0,17206.0,17379.0,19409.0
4.0,3600.0,600.0,17044.0,16650.0,16833.0,0.0,16775.0,17018.0,16798.0,19384.0
4.0,3600.0,600.0,16425.0,16390.0,16442.0,0.0,16280.0,16522.0,16256.0,19325.0
2.0,4000.0,0.0,13873.0,13871.0,13881.0,13873.0,13860.0,13846.0,13846.0,15508.0
2.0,4000.0,0.0,14469.0,13268.0,13268.0,14469.0,13296.0,13296.0,13296.0,15464.0
2.0,4000.0,0.0,14928.0,12735.0,12745.0,14928.0,12687.0,12721.0,12721.0,15329.0
3.0,4000.0,0.0,16892.0,16783.0,16825.0,16892.0,16771.0,16768.0,16768.0,18652.0
3.0,4000.0,0.0,16326.0,16671.0,16290.0,16326.0,16322.0,16252.0,16252.0,18631.0
3.0,4000.0,0.0,15792.0,16241.0,15787.0,15792.0,15871.0,15709.0,15709.0,18520.0
4.0,4000.0,0.0,18903.0,18707.0,18847.0,18903.0,18727.0,18649.0,18649.0,20653.0
4.0,4000.0,0.0,19188.0,18366.0,18439.0,19188.0,18375.0,18300.0,18300.0,20625.0
4.0,4000.0,0.0,18270.0,17968.0,18022.0,18270.0,17910.0,17980.0,17980.0,20540.0
2.0,4400.0,400.0,13059.0,13034.0,13046.0,0.0,13071.0,13068.0,13032.0,15006.0
2.0,4400.0,400.0,13665.0,12504.0,12518.0,0.0,12462.0,12502.0,12468.0,14940.0
2.0,4400.0,400.0,14152.0,11962.0,11956.0,0.0,11921.0,11957.0,11939.0,14751.0
3.0,4400.0,400.0,16125.0,16231.0,16107.0,0.0,16005.0,15926.0,15981.0,18025.0
3.0,4400.0,400.0,15548.0,15860.0,15554.0,0.0,15583.0,15503.0,15464.0,18004.0
3.0,4400.0,400.0,15031.0,15287.0,15004.0,0.0,15003.0,14961.0,14965.0,17910.0
4.0,4400.0,400.0,18131.0,17923.0,18126.0,0.0,17932.0,17983.0,17954.0,19993.0
4.0,4400.0,400.0,17992.0,17646.0,17798.0,0.0,17553.0,17444.0,17556.0,19962.0
4.0,4400.0,400.0,17668.0,17279.0,17390.0,0.0,17082.0,17047.0,17074.0,19902.0
2.0,4800.0,800.0,12290.0,12272.0,12280.0,0.0,12225.0,12256.0,12241.0,14447.0
2.0,4800.0,800.0,11788.0,11767.0,11792.0,0.0,11726.0,11755.0,11750.0,14364.0
2.0,4800.0,800.0,13281.0,11315.0,11320.0,0.0,11335.0,11298.0,11287.0,14100.0
3.0,4800.0,800.0,15304.0,15350.0,15234.0,0.0,15317.0,15265.0,15236.0,17418.0
3.0,4800.0,800.0,14936.0,14923.0,14716.0,0.0,14807.0,14749.0,14741.0,17381.0
3.0,4800.0,800.0,14418.0,14362.0,14136.0,0.0,14239.0,14231.0,14182.0,17282.0
4.0,4800.0,800.0,17384.0,17307.0,17289.0,0.0,17202.0,17172.0,17406.0,19336.0
4.0,4800.0,800.0,17198.0,16925.0,16925.0,0.0,16856.0,16853.0,16947.0,19316.0
4.0,4800.0,800.0,16874.0,16635.0,16577.0,0.0,16456.0,16596.0,16434.0,19257.0
2.0,5000.0,0.0,13733.0,13767.0,13748.0,13733.0,13719.0,13850.0,13850.0,15455.0
2.0,5000.0,0.0,13220.0,13202.0,13213.0,13220.0,13157.0,13139.0,13139.0,15413.0
2.0,5000.0,0.0,14824.0,12631.0,12634.0,14824.0,12621.0,12613.0,12613.0,15280.0
3.0,5000.0,0.0,16656.0,16962.0,16595.0,16656.0,16654.0,16550.0,16550.0,18560.0
3.0,5000.0,0.0,16169.0,16585.0,16145.0,16169.0,16191.0,15989.0,15989.0,18527.0
3.0,5000.0,0.0,15657.0,16025.0,15642.0,15657.0,15591.0,15509.0,15509.0,18434.0
4.0,5000.0,0.0,18728.0,18677.0,18683.0,18728.0,18621.0,18710.0,18710.0,20534.0
4.0,5000.0,0.0,18307.0,18719.0,18317.0,18307.0,18119.0,18237.0,18237.0,20497.0
4.0,5000.0,0.0,17915.0,18162.0,18155.0,17915.0,17678.0,18191.0,18191.0,20420.0
2.0,5500.0,500.0,12975.0,12984.0,12994.0,0.0,12921.0,13001.0,12884.0,14958.0
2.0,5500.0,500.0,12405.0,12390.0,12395.0,0.0,12404.0,12390.0,12378.0,14898.0
2.0,5500.0,500.0,11875.0,11880.0,11862.0,0.0,12006.0,11843.0,11838.0,14702.0
3.0,5500.0,500.0,15921.0,16183.0,15898.0,0.0,15782.0,15726.0,15701.0,17944.0
3.0,5500.0,500.0,15431.0,15650.0,15367.0,0.0,15253.0,15244.0,15241.0,17919.0
3.0,5500.0,500.0,16217.0,14776.0,14776.0,0.0,14726.0,14753.0,14758.0,17832.0
4.0,5500.0,500.0,17984.0,18019.0,17997.0,0.0,17796.0,17863.0,17844.0,19879.0
4.0,5500.0,500.0,17584.0,17736.0,17541.0,0.0,17334.0,17516.0,17366.0,19834.0
4.0,5500.0,500.0,17157.0,17486.0,17273.0,0.0,16867.0,16995.0,16905.0,19788.0
2.0,6000.0,1000.0,12218.0,12181.0,12181.0,0.0,12187.0,12261.0,12161.0,14407.0
2.0,6000.0,1000.0,11703.0,11694.0,11693.0,0.0,11814.0,11660.0,11670.0,14318.0
2.0,6000.0,1000.0,11243.0,11251.0,11255.0,0.0,11345.0,11245.0,11249.0,14058.0
3.0,6000.0,1000.0,15091.0,15206.0,15042.0,0.0,15051.0,15044.0,15027.0,17322.0
3.0,6000.0,1000.0,14825.0,14614.0,14695.0,0.0,14530.0,14557.0,14535.0,17290.0
3.0,6000.0,1000.0,14148.0,14277.0,14090.0,0.0,14045.0,14090.0,14046.0,17205.0
4.0,6000.0,1000.0,17124.0,17352.0,17279.0,0.0,17127.0,17063.0,17195.0,19228.0
4.0,6000.0,1000.0,16954.0,16996.0,16810.0,0.0,16723.0,16749.0,16738.0,19212.0
4.0,6000.0,1000.0,16395.0,16560.0,16517.0,0.0,16315.0,16557.0,16151.0,19144.0
2.0,6000.0,0.0,14016.0,13997.0,14002.0,14016.0,14005.0,14001.0,14001.0,15606.0
2.0,6000.0,0.0,13466.0,13427.0,13468.0,13466.0,13537.0,13410.0,13410.0,15562.0
2.0,6000.0,0.0,12884.0,12867.0,12882.0,12884.0,13121.0,12851.0,12851.0,15427.0
3.0,6000.0,0.0,17005.0,17266.0,17064.0,17005.0,16885.0,16891.0,16891.0,18812.0
3.0,6000.0,0.0,17167.0,16837.0,16485.0,17167.0,16332.0,16315.0,16315.0,18770.0
3.0,6000.0,0.0,17366.0,15875.0,15976.0,17366.0,15813.0,15847.0,15847.0,18680.0
4.0,6000.0,0.0,19077.0,19468.0,19169.0,19077.0,18871.0,19002.0,19002.0,20832.0
4.0,6000.0,0.0,18674.0,19429.0,18842.0,18674.0,18486.0,18586.0,18586.0,20808.0
4.0,6000.0,0.0,18171.0,18976.0,18196.0,18171.0,18016.0,18045.0,18045.0,20731.0
2.0,6600.0,600.0,13209.0,13179.0,13207.0,0.0,13276.0,13168.0,13157.0,15089.0
2.0,6600.0,600.0,12617.0,12630.0,12637.0,0.0,12871.0,12604.0,12604.0,15022.0
2.0,6600.0,600.0,12052.0,12055.0,12064.0,0.0,12216.0,12026.0,12025.0,14831.0
3.0,6600.0,600.0,16347.0,16368.0,16280.0,0.0,15961.0,16040.0,16070.0,18173.0
3.0,6600.0,600.0,16050.0,15753.0,15756.0,0.0,15465.0,15532.0,15564.0,18150.0
3.0,6600.0,600.0,15531.0,15066.0,15066.0,0.0,15010.0,15074.0,15074.0,18054.0
4.0,6600.0,600.0,18394.0,18663.0,18341.0,0.0,18156.0,18228.0,18246.0,20168.0
4.0,6600.0,600.0,18027.0,18465.0,18247.0,0.0,17762.0,17733.0,17764.0,20145.0
4.0,6600.0,600.0,17555.0,17959.0,17599.0,0.0,17342.0,17213.0,17285.0,20080.0
2.0,7200.0,1200.0,12427.0,12389.0,12401.0,0.0,12589.0,12401.0,12366.0,14531.0
2.0,7200.0,1200.0,11896.0,11871.0,11867.0,0.0,11988.0,11843.0,11823.0,14440.0
2.0,7200.0,1200.0,13456.0,11426.0,11418.0,0.0,11397.0,11349.0,11337.0,14180.0
3.0,7200.0,1200.0,15518.0,15494.0,15473.0,0.0,15290.0,15331.0,15375.0,17545.0
3.0,7200.0,1200.0,15152.0,14870.0,15030.0,0.0,14836.0,14871.0,14863.0,17506.0
3.0,7200.0,1200.0,14720.0,14355.0,14473.0,0.0,14361.0,14385.0,14352.0,17409.0
4.0,7200.0,1200.0,17566.0,17700.0,17567.0,0.0,17540.0,17474.0,17587.0,19506.0
4.0,7200.0,1200.0,17440.0,17547.0,17379.0,0.0,17091.0,16882.0,17087.0,19483.0
4.0,7200.0,1200.0,16771.0,17014.0,16992.0,0.0,16480.0,16442.0,16577.0,19421.0
2.0,7000.0,0.0,13808.0,13784.0,13806.0,13808.0,13935.0,13866.0,13866.0,15492.0
2.0,7000.0,0.0,13258.0,13216.0,13260.0,13258.0,13627.0,13168.0,13168.0,15442.0
2.0,7000.0,0.0,14900.0,12636.0,12660.0,14900.0,12910.0,12595.0,12595.0,15309.0
3.0,7000.0,0.0,16726.0,16830.0,16861.0,16726.0,16581.0,16632.0,16632.0,18608.0
3.0,7000.0,0.0,16291.0,16496.0,16458.0,16291.0,16058.0,16067.0,16067.0,18584.0
3.0,7000.0,0.0,16074.0,15644.0,15731.0,16074.0,15597.0,15584.0,15584.0,18474.0
4.0,7000.0,0.0,18819.0,19288.0,18862.0,18819.0,18651.0,18703.0,18703.0,20581.0
4.0,7000.0,0.0,18360.0,18787.0,18464.0,18360.0,18263.0,18194.0,18194.0,20553.0
4.0,7000.0,0.0,18834.0,18474.0,17960.0,18834.0,17876.0,17716.0,17716.0,20486.0
2.0,7700.0,700.0,13020.0,12970.0,13032.0,0.0,13329.0,13048.0,12913.0,14987.0
2.0,7700.0,700.0,13562.0,12406.0,12426.0,0.0,12635.0,12364.0,12362.0,14919.0
2.0,7700.0,700.0,14118.0,11915.0,11917.0,0.0,11972.0,11883.0,11883.0,14721.0
3.0,7700.0,700.0,16039.0,16068.0,16080.0,0.0,15746.0,15865.0,15813.0,17987.0
3.0,7700.0,700.0,15486.0,15364.0,15364.0,0.0,15306.0,15310.0,15349.0,17953.0
3.0,7700.0,700.0,14979.0,14856.0,14856.0,0.0,14837.0,14797.0,14823.0,17873.0
4.0,7700.0,700.0,18107.0,18323.0,18182.0,0.0,17978.0,17821.0,17860.0,19914.0
4.0,7700.0,700.0,18153.0,17907.0,17675.0,0.0,17479.0,17359.0,17396.0,19901.0
4.0,7700.0,700.0,17634.0,17364.0,17350.0,0.0,16927.0,16891.0,16885.0,19837.0
2.0,8400.0,1400.0,12227.0,12182.0,12234.0,0.0,12387.0,12249.0,12134.0,14429.0
2.0,8400.0,1400.0,12730.0,11718.0,11733.0,0.0,11763.0,11685.0,11682.0,14348.0
2.0,8400.0,1400.0,13332.0,11305.0,11296.0,0.0,11275.0,11270.0,11259.0,14080.0
3.0,8400.0,1400.0,15227.0,15167.0,15167.0,0.0,15084.0,15224.0,15073.0,17373.0
3.0,8400.0,1400.0,14916.0,14676.0,14782.0,0.0,14658.0,14618.0,14587.0,17342.0
