wareh,capacity,QMKOPT,QMK,CHISOL,CHI,KLINK,GP,GS,BS,OPT,RND
2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0
3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0
4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0
2.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0
3.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0
4.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,0.0
