wareh,capacity,buffer,CHIM,CHI,GS,BS
2.0,10000.0,0.0,0.0,0.0,0.0,0.0
2.0,10000.0,0.0,0.0,0.0,0.0,0.0
2.0,10000.0,0.0,0.0,0.0,0.0,0.0
3.0,10000.0,0.0,0.0,0.0,0.0,0.0
3.0,10000.0,0.0,0.0,0.0,0.0,0.0
3.0,10000.0,0.0,0.0,0.0,0.0,0.0
4.0,10000.0,0.0,0.0,0.0,0.0,0.0
4.0,10000.0,0.0,0.0,0.0,0.0,0.0
4.0,10000.0,0.0,0.0,0.0,0.0,0.0
2.0,12000.0,2000.0,0.0,0.0,0.0,0.0
2.0,12000.0,2000.0,0.0,0.0,0.0,0.0
2.0,12000.0,2000.0,0.0,0.0,0.0,0.0
3.0,12000.0,2000.0,0.0,0.0,0.0,0.0
3.0,12000.0,2000.0,0.0,0.0,0.0,0.0
3.0,12000.0,2000.0,0.0,0.0,0.0,0.0
4.0,12000.0,2000.0,0.0,0.0,0.0,0.0
4.0,12000.0,2000.0,0.0,0.0,0.0,0.0
4.0,12000.0,2000.0,0.0,0.0,0.0,0.0
2.0,20000.0,0.0,0.0,0.0,0.0,0.0
2.0,20000.0,0.0,0.0,0.0,0.0,0.0
2.0,20000.0,0.0,0.0,0.0,0.0,0.0
3.0,20000.0,0.0,0.0,0.0,0.0,0.0
3.0,20000.0,0.0,0.0,0.0,0.0,0.0
3.0,20000.0,0.0,0.0,0.0,0.0,0.0
4.0,20000.0,0.0,0.0,0.0,0.0,0.0
4.0,20000.0,0.0,0.0,0.0,0.0,0.0
4.0,20000.0,0.0,0.0,0.0,0.0,0.0
2.0,24000.0,4000.0,0.0,0.0,0.0,0.0
2.0,24000.0,4000.0,0.0,0.0,0.0,0.0
2.0,24000.0,4000.0,0.0,0.0,0.0,0.0
3.0,24000.0,4000.0,0.0,0.0,0.0,0.0
3.0,24000.0,4000.0,0.0,0.0,0.0,0.0
3.0,24000.0,4000.0,0.0,0.0,0.0,0.0
4.0,24000.0,4000.0,0.0,0.0,0.0,0.0
4.0,24000.0,4000.0,0.0,0.0,0.0,0.0
4.0,24000.0,4000.0,0.0,0.0,0.0,0.0
2.0,30000.0,0.0,0.0,0.0,0.0,0.0
2.0,30000.0,0.0,0.0,0.0,0.0,0.0
2.0,30000.0,0.0,0.0,0.0,0.0,0.0
3.0,30000.0,0.0,0.0,0.0,0.0,0.0
3.0,30000.0,0.0,0.0,0.0,0.0,0.0
3.0,30000.0,0.0,0.0,0.0,0.0,0.0
4.0,30000.0,0.0,0.0,0.0,0.0,0.0
4.0,30000.0,0.0,0.0,0.0,0.0,0.0
4.0,30000.0,0.0,0.0,0.0,0.0,0.0
2.0,36000.0,6000.0,0.0,0.0,0.0,0.0
2.0,36000.0,6000.0,0.0,0.0,0.0,0.0
2.0,36000.0,6000.0,0.0,0.0,0.0,0.0
3.0,36000.0,6000.0,0.0,0.0,0.0,0.0
3.0,36000.0,6000.0,0.0,0.0,0.0,0.0
3.0,36000.0,6000.0,0.0,0.0,0.0,0.0
4.0,36000.0,6000.0,0.0,0.0,0.0,0.0
4.0,36000.0,6000.0,0.0,0.0,0.0,0.0
4.0,36000.0,6000.0,0.0,0.0,0.0,0.0
2.0,40000.0,0.0,0.0,0.0,0.0,0.0
2.0,40000.0,0.0,0.0,0.0,0.0,0.0
2.0,40000.0,0.0,0.0,0.0,0.0,0.0
3.0,40000.0,0.0,0.0,0.0,0.0,0.0
3.0,40000.0,0.0,0.0,0.0,0.0,0.0
3.0,40000.0,0.0,0.0,0.0,0.0,0.0
4.0,40000.0,0.0,0.0,0.0,0.0,0.0
