wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,15511.0,15552.0,15512.0,15512.0,15515.0,15552.0,15449.0,15535.0,15566.0,15566.0,15512.0,15498.0
2.0,40.0,0.0,15466.0,15492.0,15462.0,15462.0,15447.0,15492.0,15428.0,15477.0,15477.0,15477.0,15423.0,15454.0
2.0,40.0,0.0,15351.0,15357.0,15323.0,15323.0,15334.0,15357.0,15317.0,15349.0,15304.0,15304.0,15287.0,15313.0
3.0,40.0,0.0,18636.0,18594.0,18661.0,18661.0,18632.0,18594.0,18579.0,18667.0,18684.0,18684.0,18647.0,18621.0
3.0,40.0,0.0,18527.0,18542.0,18566.0,18566.0,18535.0,18542.0,18551.0,18573.0,18647.0,18647.0,18614.0,18549.0
3.0,40.0,0.0,18588.0,18543.0,18547.0,18547.0,18515.0,18543.0,18493.0,18532.0,18586.0,18586.0,18530.0,18510.0
4.0,40.0,0.0,20552.0,20695.0,20590.0,20590.0,20663.0,20695.0,20581.0,20581.0,20709.0,20709.0,20615.0,20603.0
4.0,40.0,0.0,20558.0,20566.0,20616.0,20616.0,20500.0,20566.0,20556.0,20534.0,20696.0,20696.0,20546.0,20582.0
4.0,40.0,0.0,20449.0,20486.0,20476.0,20476.0,20505.0,20486.0,20415.0,20466.0,20454.0,20454.0,20451.0,20428.0
2.0,48.0,8.0,14412.0,14412.0,14420.0,14420.0,15355.0,14412.0,14460.0,14471.0,14449.0,14485.0,14460.0,14440.0
2.0,48.0,8.0,14398.0,14398.0,14403.0,14403.0,15127.0,14398.0,14358.0,14437.0,14344.0,14400.0,14430.0,14379.0
2.0,48.0,8.0,14122.0,14025.0,14107.0,14107.0,14610.0,14025.0,14057.0,14074.0,14050.0,14058.0,14089.0,14057.0
3.0,48.0,8.0,17569.0,17469.0,17222.0,17222.0,18161.0,17469.0,17262.0,17327.0,17426.0,17764.0,17342.0,17349.0
3.0,48.0,8.0,17455.0,17250.0,17089.0,17089.0,17760.0,17250.0,16986.0,17157.0,17143.0,17697.0,17251.0,17293.0
3.0,48.0,8.0,17275.0,17261.0,16999.0,16999.0,17535.0,17261.0,16852.0,16977.0,17305.0,17625.0,17153.0,17234.0
4.0,48.0,8.0,19783.0,19377.0,19248.0,19248.0,20070.0,19377.0,19204.0,19190.0,19511.0,19734.0,19600.0,19259.0
4.0,48.0,8.0,19509.0,19449.0,19099.0,19099.0,19972.0,19449.0,19024.0,19121.0,19288.0,19763.0,19359.0,19244.0
4.0,48.0,8.0,19339.0,19438.0,19037.0,19037.0,19338.0,19438.0,18832.0,18974.0,19180.0,19620.0,19256.0,19205.0
