wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,25.0,0.0,12493.0,12493.0,12493.0,12493.0,12493.0,12493.0,13255.0,12493.0,13815.0,13815.0,12493.0,15358.0
2.0,25.0,0.0,12036.0,12036.0,12036.0,12036.0,12036.0,12036.0,13183.0,12036.0,13478.0,13478.0,12036.0,15317.0
2.0,25.0,0.0,11621.0,11621.0,11621.0,11621.0,11621.0,11621.0,12398.0,11621.0,13192.0,13192.0,11621.0,15249.0
3.0,25.0,0.0,15155.0,15155.0,15155.0,15155.0,15155.0,15155.0,16483.0,15155.0,17150.0,17150.0,15155.0,18362.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
