wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,13563.0,13802.0,13916.0,13916.0,13563.0,13802.0,14833.0,14771.0,14993.0,14993.0,13563.0,15503.0
2.0,40.0,0.0,13481.0,13481.0,13481.0,13481.0,13481.0,13481.0,14520.0,14075.0,15111.0,15111.0,13199.0,15419.0
2.0,40.0,0.0,12988.0,12988.0,13072.0,12988.0,12988.0,12988.0,13926.0,13714.0,15385.0,15385.0,12899.0,15307.0
3.0,40.0,0.0,15697.0,15502.0,15767.0,15558.0,15348.0,15502.0,17563.0,17263.0,17583.0,17583.0,15818.0,18594.0
3.0,40.0,0.0,15400.0,15179.0,15512.0,15483.0,15739.0,15179.0,17322.0,16695.0,17145.0,17145.0,15409.0,18560.0
3.0,40.0,0.0,15079.0,15333.0,15388.0,15388.0,15270.0,15333.0,17291.0,16728.0,16976.0,16976.0,15132.0,18510.0
4.0,40.0,0.0,17330.0,16454.0,16433.0,16391.0,17079.0,16454.0,19420.0,19146.0,20176.0,20176.0,18322.0,20581.0
4.0,40.0,0.0,16446.0,16126.0,16493.0,16493.0,17422.0,16126.0,19274.0,18928.0,20070.0,20070.0,18214.0,20599.0
4.0,40.0,0.0,16548.0,16442.0,16259.0,16259.0,17418.0,16442.0,18911.0,18281.0,19588.0,19588.0,17872.0,20418.0
2.0,48.0,8.0,11941.0,11821.0,12482.0,12434.0,12988.0,11821.0,13194.0,12710.0,12921.0,12715.0,12254.0,14391.0
2.0,48.0,8.0,11660.0,11735.0,12100.0,12021.0,12557.0,11735.0,12915.0,12465.0,13154.0,12316.0,12153.0,14395.0
2.0,48.0,8.0,11482.0,11482.0,11553.0,11553.0,12141.0,11482.0,12195.0,11813.0,13352.0,11759.0,11490.0,14093.0
3.0,48.0,8.0,14624.0,13917.0,14242.0,14242.0,14821.0,13917.0,15773.0,15262.0,15383.0,15870.0,15799.0,17306.0
3.0,48.0,8.0,14505.0,13817.0,14294.0,14028.0,14639.0,13817.0,15704.0,14990.0,14958.0,15237.0,15048.0,17317.0
3.0,48.0,8.0,14430.0,14093.0,13982.0,13982.0,14551.0,14093.0,15213.0,14813.0,14803.0,14868.0,14673.0,17135.0
4.0,48.0,8.0,16142.0,15303.0,15305.0,15305.0,16530.0,15303.0,17709.0,17071.0,17403.0,18038.0,17954.0,19238.0
4.0,48.0,8.0,16019.0,15564.0,15053.0,15054.0,16205.0,15564.0,17591.0,16968.0,17018.0,17906.0,17764.0,19260.0
4.0,48.0,8.0,15904.0,15023.0,14969.0,14969.0,16592.0,15023.0,17363.0,17047.0,16403.0,17590.0,17341.0,19210.0
