wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS,RND
4.0,2000.0,0.0,19.8683659,0.3916071,0.4564371,19.6299877,4.2287192,1.2284284,0.1101743,0.1181451,1.0585567
2.0,2400.0,400.0,10.8495178,0.3860418,0.442827,11.1189061,4.2326244,1.1076178,0.0803504,0.0597195,2.4808751
2.0,2400.0,400.0,9.7099175,0.3850254,0.4310569,9.865764,4.2981888,1.1097682,0.0841447,0.060133,2.4989195
2.0,2400.0,400.0,8.981055,0.4118741,0.4375869,9.0637848,4.272068,1.0872297,0.0804165,0.0617514,2.4537037
3.0,2400.0,400.0,15.3787009,0.4161305,0.4915513,15.5838049,4.2386215,1.1466045,0.0964175,0.0744768,4.0179713
3.0,2400.0,400.0,13.9008825,0.4120181,0.447192,14.258107,4.2461058,1.1762824,0.0989839,0.0757018,3.9722427
3.0,2400.0,400.0,15.2000459,0.3880373,0.5599746,15.22331,4.2239853,1.2176809,0.0944038,0.079219,3.9256238
4.0,2400.0,400.0,22.6558353,0.4119498,0.9514576,22.3719718,4.2411862,1.2419484,0.1307767,0.0904551,7.1723161
4.0,2400.0,400.0,23.9216601,0.4450162,0.537962,23.5098774,4.2597033,1.2777419,0.124546,0.0898717,7.1904101
4.0,2400.0,400.0,21.4639315,0.4208324,0.5196062,21.4522045,4.3220183,1.3734331,0.1396232,0.1150618,7.2957466
2.0,3000.0,0.0,17.1733783,0.4864171,0.5142556,17.8728106,6.6314562,3.3348615,0.4526425,0.1969248,1.5170321
2.0,3000.0,0.0,17.5036883,0.4798473,0.5372958,17.04018,6.5936532,3.3975176,0.442559,0.1966086,1.582447
2.0,3000.0,0.0,17.3064534,0.4957965,0.5402466,17.4183945,6.5762792,3.3142596,0.455919,0.2019532,1.6675599
3.0,3000.0,0.0,26.4885919,0.4856443,0.559897,27.0818263,6.6068753,3.5478664,0.5205634,0.2573809,1.6189418
3.0,3000.0,0.0,33.1862221,0.5104742,0.6316615,33.2253733,6.6066856,3.5712119,0.5121597,0.2638634,1.6894504
3.0,3000.0,0.0,26.9791419,0.5215194,0.6053842,27.6656608,6.5767634,3.5114815,0.5178867,0.2632808,1.7959321
4.0,3000.0,0.0,43.6950666,0.5175827,0.689273,42.8214187,6.5754727,3.763787,0.3644862,0.3612064,1.7953624
4.0,3000.0,0.0,38.7821544,0.5217135,0.770464,38.3287503,6.6367373,3.8834732,0.3958295,0.3889835,1.9541244
4.0,3000.0,0.0,40.2894443,0.4956673,0.6461694,40.6288667,6.6407787,3.9031399,0.4107426,0.3909182,2.0671901
2.0,3600.0,600.0,17.4391042,0.5589329,0.6336052,17.4236997,6.6374354,3.3734037,0.2197735,0.166735,3.7047849
2.0,3600.0,600.0,17.6123771,0.5450598,0.69541,17.6082076,6.6111429,3.3833284,0.2330594,0.1897656,3.7007774
2.0,3600.0,600.0,17.6497626,0.5718595,0.643867,17.6300569,6.6008013,3.4124185,0.2394474,0.1999551,3.8525433
3.0,3600.0,600.0,28.2915862,0.6038311,0.6946147,28.0590865,6.6035318,3.566809,0.3283592,0.2237228,5.3023217
3.0,3600.0,600.0,27.5675821,0.5826049,0.9126577,27.3503971,6.5853622,3.720969,0.3464015,0.2416962,5.3223945
3.0,3600.0,600.0,27.9758397,0.568793,1.1816729,27.8203966,6.6045339,3.7097992,0.3508606,0.2431607,5.3040576
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
