dependency,skus,service_level,wareh,diff,buffer,heuristic,parcel_train,parcel_test,duration
HD,1000,0.003,2,0.0,0.0,CHI,130953,131531,0.3376633
HD,1000,0.003,2,0.0,0.0,RND,154949,155192,0.2542282
HD,1000,0.002,2,0.0,0.0,CHIM,131867,132375,0.3201604
HD,1000,0.002,2,0.0,0.0,CHI,130953,131531,0.3292314
HD,1000,0.002,2,0.0,0.0,RND,155005,155228,0.263316
HD,1000,0.001,2,0.0,0.0,CHIM,131867,132375,0.3223582
HD,1000,0.001,2,0.0,0.0,CHI,130953,131531,0.3441961
HD,1000,0.001,2,0.0,0.0,RND,154955,155325,0.2509235
HD,1000,0.0009,2,0.0,0.0,CHIM,131867,132375,0.3086312
HD,1000,0.0009,2,0.0,0.0,CHI,130953,131531,0.3142795
HD,1000,0.0009,2,0.0,0.0,RND,154920,155288,0.2373701
HD,1000,0.0008,2,0.0,0.0,CHIM,131867,132375,0.3149043
HD,1000,0.0008,2,0.0,0.0,CHI,130953,131531,0.3264717
HD,1000,0.0008,2,0.0,0.0,RND,154915,155333,0.2137672
HD,1000,0.0007,2,0.0,0.0,CHIM,131867,132375,0.2978346
HD,1000,0.0007,2,0.0,0.0,CHI,130953,131531,0.3258962
HD,1000,0.0007,2,0.0,0.0,RND,155053,155323,0.2488023
HD,1000,0.0006,2,0.0,0.0,CHIM,131867,132375,0.2826902
HD,1000,0.0006,2,0.0,0.0,CHI,130953,131531,0.3446427
HD,1000,0.0006,2,0.0,0.0,RND,154955,155343,0.2357406
HD,1000,0.0005,2,0.0,0.0,CHIM,131867,132375,0.3216108
HD,1000,0.0005,2,0.0,0.0,CHI,130953,131531,0.3781161
HD,1000,0.0005,2,0.0,0.0,RND,154943,155311,0.2700345
HD,1000,0.0004,2,0.0,0.0,CHIM,131867,132375,0.2867222
HD,1000,0.0004,2,0.0,0.0,CHI,130953,131531,0.3521934
HD,1000,0.0004,2,0.0,0.0,RND,154962,155261,0.2021439
HD,1000,0.0003,2,0.0,0.0,CHIM,131867,132375,0.286971
HD,1000,0.0003,2,0.0,0.0,CHI,130953,131531,0.3341754
HD,1000,0.0003,2,0.0,0.0,RND,155001,155351,0.2148891
HD,1000,0.0002,2,0.0,0.0,CHIM,131867,132375,0.2937529
HD,1000,0.0002,2,0.0,0.0,CHI,130953,131531,0.3442274
HD,1000,0.0002,2,0.0,0.0,RND,154999,155322,0.2373418
HD,1000,0.0001,2,0.0,0.0,CHIM,131775,132150,0.2884253
HD,1000,0.0001,2,0.0,0.0,CHI,131087,131553,0.3275314
HD,1000,0.0001,2,0.0,0.0,RND,154936,155214,0.2393019
HD,1000,9.0e-5,2,0.0,0.0,CHIM,131775,132150,0.3054223
HD,1000,9.0e-5,2,0.0,0.0,CHI,131087,131553,0.341047
HD,1000,9.0e-5,2,0.0,0.0,RND,155034,155275,0.2308113
HD,1000,8.0e-5,2,0.0,0.0,CHIM,131775,132150,0.2974027
HD,1000,8.0e-5,2,0.0,0.0,CHI,131087,131553,0.3197783
HD,1000,8.0e-5,2,0.0,0.0,RND,154978,155262,0.2077515
HD,1000,7.0e-5,2,0.0,0.0,CHIM,131775,132150,0.3119774
HD,1000,7.0e-5,2,0.0,0.0,CHI,131087,131553,0.3340983
HD,1000,7.0e-5,2,0.0,0.0,RND,154981,155354,0.2128253
HD,1000,6.0e-5,2,0.0,0.0,CHIM,131775,132150,0.3014837
HD,1000,6.0e-5,2,0.0,0.0,CHI,131087,131553,0.3253076
HD,1000,6.0e-5,2,0.0,0.0,RND,154916,155298,0.2122022
HD,1000,5.0e-5,2,0.0,0.0,CHIM,131775,132150,0.2981586
HD,1000,5.0e-5,2,0.0,0.0,CHI,131087,131553,0.3377207
HD,1000,5.0e-5,2,0.0,0.0,RND,154996,155306,0.2372368
HD,1000,4.0e-5,2,0.0,0.0,CHIM,131775,132150,0.3094935
HD,1000,4.0e-5,2,0.0,0.0,CHI,131087,131553,0.3346564
HD,1000,4.0e-5,2,0.0,0.0,RND,154903,155252,0.2380662
HD,1000,3.0e-5,2,0.0,0.0,CHIM,131775,132150,0.3042472
HD,1000,3.0e-5,2,0.0,0.0,CHI,131087,131553,0.3379711
HD,1000,3.0e-5,2,0.0,0.0,RND,154975,155279,0.2328626
HD,1000,2.0e-5,2,0.0,0.0,CHIM,131775,132150,0.3240884
HD,1000,2.0e-5,2,0.0,0.0,CHI,131087,131553,0.3254193
HD,1000,2.0e-5,2,0.0,0.0,RND,154906,155370,0.2268818
HD,1000,1.0e-5,2,0.0,0.0,CHIM,131775,132150,0.3096617
HD,1000,1.0e-5,2,0.0,0.0,CHI,131087,131553,0.3591115
HD,1000,1.0e-5,2,0.0,0.0,RND,154983,155299,0.2346766
HD,1000,9.0e-6,2,0.0,0.0,CHIM,131775,132150,0.3048257
HD,1000,9.0e-6,2,0.0,0.0,CHI,131087,131553,0.3468942
HD,1000,9.0e-6,2,0.0,0.0,RND,154929,155270,0.2401485
HD,1000,8.0e-6,2,0.0,0.0,CHIM,131775,132150,0.3095332
HD,1000,8.0e-6,2,0.0,0.0,CHI,131087,131553,0.3421965
HD,1000,8.0e-6,2,0.0,0.0,RND,154901,155236,0.2521942
HD,1000,7.0e-6,2,0.0,0.0,CHIM,131775,132150,0.2698016
HD,1000,7.0e-6,2,0.0,0.0,CHI,131087,131553,0.2879657
HD,1000,7.0e-6,2,0.0,0.0,RND,154911,155274,0.2124934
HD,1000,6.0e-6,2,0.0,0.0,CHIM,131775,132150,0.266416
HD,1000,6.0e-6,2,0.0,0.0,CHI,131087,131553,0.2714962
HD,1000,6.0e-6,2,0.0,0.0,RND,154905,155196,0.2273979
HD,1000,5.0e-6,2,0.0,0.0,CHIM,131775,132150,0.267334
HD,1000,5.0e-6,2,0.0,0.0,CHI,131087,131553,0.2592491
HD,1000,5.0e-6,2,0.0,0.0,RND,154930,155249,0.2497764
HD,1000,4.0e-6,2,0.0,0.0,CHIM,131775,132150,0.2538273
HD,1000,4.0e-6,2,0.0,0.0,CHI,131087,131553,0.2479592
HD,1000,4.0e-6,2,0.0,0.0,RND,154931,155333,0.2534261
HD,1000,3.0e-6,2,0.0,0.0,CHIM,131775,132150,0.2303988
HD,1000,3.0e-6,2,0.0,0.0,CHI,131087,131553,0.2906054
HD,1000,3.0e-6,2,0.0,0.0,RND,154926,155260,0.25008
HD,1000,2.0e-6,2,0.0,0.0,CHIM,131775,132150,0.2682453
HD,1000,2.0e-6,2,0.0,0.0,CHI,131087,131553,0.2926964
HD,1000,2.0e-6,2,0.0,0.0,RND,154995,155260,0.2482965
HD,1000,1.0,2,0.1,0.0,CHIM,130394,130708,0.2699307
HD,1000,1.0,2,0.1,0.0,CHI,129513,129868,0.3026624
HD,1000,1.0,2,0.1,0.0,RND,154454,154783,0.2268025
HD,1000,0.9,2,0.1,0.0,CHIM,130394,130708,0.294104
HD,1000,0.9,2,0.1,0.0,CHI,129513,129868,0.3061403
HD,1000,0.9,2,0.1,0.0,RND,154521,154805,0.2293715
HD,1000,0.8,2,0.1,0.0,CHIM,130394,130708,0.2926352
HD,1000,0.8,2,0.1,0.0,CHI,129513,129868,0.3017246
