wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,13101.0,13101.0,13101.0,13101.0,13101.0,13101.0,14573.0,13320.0,13836.0,13836.0,13101.0,15428.0
2.0,40.0,0.0,12563.0,12563.0,12563.0,12563.0,12563.0,12563.0,13995.0,12913.0,13417.0,13417.0,12563.0,15368.0
2.0,40.0,0.0,12029.0,12029.0,12029.0,12029.0,12029.0,12029.0,12701.0,12295.0,12979.0,12979.0,12029.0,15211.0
3.0,40.0,0.0,15711.0,15678.0,15678.0,15678.0,15924.0,15678.0,17009.0,15750.0,16939.0,16939.0,15711.0,18482.0
3.0,40.0,0.0,15331.0,15163.0,15163.0,15163.0,15502.0,15163.0,16253.0,15228.0,16657.0,16657.0,15221.0,18393.0
3.0,40.0,0.0,15038.0,15752.0,14835.0,14833.0,15013.0,15752.0,16143.0,14883.0,16214.0,16214.0,14885.0,18367.0
4.0,40.0,0.0,18151.0,17894.0,17891.0,17850.0,17945.0,17894.0,19237.0,18020.0,19327.0,19327.0,17878.0,20412.0
4.0,40.0,0.0,17906.0,17474.0,17449.0,17449.0,17849.0,17474.0,18978.0,17569.0,19310.0,19310.0,17466.0,20398.0
4.0,40.0,0.0,17007.0,16984.0,16906.0,16863.0,17322.0,16984.0,18238.0,17044.0,19058.0,19058.0,16906.0,20303.0
2.0,48.0,8.0,11670.0,11641.0,11641.0,11641.0,12029.0,11641.0,12085.0,11832.0,11641.0,11806.0,11714.0,14379.0
2.0,48.0,8.0,11375.0,11319.0,11319.0,11319.0,11600.0,11319.0,11932.0,11437.0,11319.0,11472.0,11394.0,14308.0
2.0,48.0,8.0,10837.0,10837.0,10837.0,10837.0,10980.0,10837.0,10959.0,10984.0,10837.0,10983.0,10859.0,13959.0
3.0,48.0,8.0,14106.0,14106.0,14437.0,14403.0,15134.0,14106.0,15247.0,14466.0,15010.0,14783.0,14662.0,17209.0
3.0,48.0,8.0,13552.0,13617.0,13767.0,13756.0,14364.0,13617.0,15022.0,14129.0,14107.0,14070.0,14083.0,17153.0
3.0,48.0,8.0,13187.0,13345.0,13378.0,13378.0,13827.0,13345.0,14879.0,13766.0,14156.0,13678.0,13621.0,17113.0
4.0,48.0,8.0,16425.0,16168.0,16489.0,16295.0,16832.0,16168.0,16994.0,16700.0,16855.0,16869.0,17277.0,19077.0
4.0,48.0,8.0,16165.0,15849.0,16049.0,15904.0,16636.0,15849.0,16940.0,16281.0,16802.0,16557.0,16956.0,19159.0
4.0,48.0,8.0,15979.0,15598.0,15631.0,15631.0,16101.0,15598.0,16737.0,15826.0,16693.0,16176.0,16292.0,19027.0
