wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,40.0,0.0,0.4682661275046003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14343068637027037
3.0,40.0,0.0,0.4268858329329982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1847154343190363
3.0,40.0,0.0,0.33867031957064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12744250263198612
4.0,40.0,0.0,1.0976812582553945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3383360740019379
4.0,40.0,0.0,0.8565655854017493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571235212127492
4.0,40.0,0.0,0.8539910285326435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3482154625584258
2.0,48.0,8.0,0.10767887660936139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1887726129633952
2.0,48.0,8.0,0.0938435837140983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17369029912410078
2.0,48.0,8.0,0.06020393651829758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344988748484909
3.0,48.0,8.0,0.446413946924892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3787276341947708
3.0,48.0,8.0,0.42070266425498953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35979513444296113
3.0,48.0,8.0,0.37607470046537306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33967247754886404
4.0,48.0,8.0,0.8513098400969379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456462658984672
4.0,48.0,8.0,0.8199514528326841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45118270127868565
4.0,48.0,8.0,0.7601341828668459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43798122857294125
