wareh,capacity,buffer,QMKOPT,QMK,CHI,CHILOC,KLINK,KLINKQMK,GP,GS,BS,OPT,RND
2.0,20.0,0.0,0.2592592592592593,0.2592592592592593,0.2592592592592593,0.37037037037037035,0.2592592592592593,0.2592592592592593,0.2592592592592593,-0.11111111111111116,-0.11111111111111116,0.37037037037037035,0.0
2.0,20.0,0.0,0.46153846153846156,0.46153846153846156,0.3846153846153846,0.3846153846153846,0.46153846153846156,0.46153846153846156,0.3846153846153846,-0.23076923076923084,-0.23076923076923084,0.46153846153846156,0.0
3.0,20.0,0.0,0.13953488372093026,0.13953488372093026,0.2093023255813954,0.2093023255813954,0.13953488372093026,0.13953488372093026,0.2325581395348837,-0.06976744186046502,-0.06976744186046502,0.2790697674418605,0.0
3.0,20.0,0.0,0.3902439024390244,0.3902439024390244,0.24390243902439024,0.2195121951219512,0.2682926829268293,0.3902439024390244,0.24390243902439024,-0.09756097560975618,-0.09756097560975618,0.29268292682926833,0.0
4.0,20.0,0.0,0.18000000000000005,0.18000000000000005,0.09999999999999998,0.16000000000000003,0.06000000000000005,0.06000000000000005,0.16000000000000003,0.020000000000000018,0.020000000000000018,0.21999999999999997,0.0
4.0,20.0,0.0,0.13725490196078427,0.196078431372549,0.196078431372549,0.11764705882352944,0.196078431372549,0.13725490196078427,0.23529411764705888,-0.05882352941176472,-0.05882352941176472,0.2549019607843137,0.0
2.0,24.0,4.0,0.38095238095238093,0.38095238095238093,0.33333333333333337,0.38095238095238093,0.0,0.0,0.33333333333333337,0.38095238095238093,0.2857142857142857,0.38095238095238093,0.0
2.0,24.0,4.0,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.0,0.0,0.6086956521739131,0.17391304347826086,0.4347826086956522,0.6086956521739131,0.0
3.0,24.0,4.0,0.3157894736842105,0.3157894736842105,0.21052631578947367,0.3157894736842105,0.0,0.0,0.21052631578947367,0.10526315789473684,0.052631578947368474,0.3421052631578947,0.0
3.0,24.0,4.0,0.3529411764705882,0.4117647058823529,0.4117647058823529,0.20588235294117652,0.0,0.0,0.4117647058823529,-0.11764705882352944,0.08823529411764708,0.47058823529411764,0.0
4.0,24.0,4.0,0.18604651162790697,0.18604651162790697,0.09302325581395354,0.06976744186046513,0.0,0.0,0.11627906976744184,0.023255813953488413,-0.13953488372093026,0.0,0.0
4.0,24.0,4.0,0.37777777777777777,0.33333333333333337,0.24444444444444446,0.0888888888888889,0.0,0.0,0.1777777777777778,0.0444444444444444,0.022222222222222254,0.2666666666666667,0.0
