wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
4.0,300.0,0.0,17282.0,16676.0,16727.0,20100.0,17282.0,18620.0,16680.0,16983.0,16983.0,20700.0
2.0,360.0,60.0,11433.0,11382.0,11397.0,15259.0,11433.0,12179.0,11370.0,11392.0,11396.0,14550.0
2.0,360.0,60.0,10949.0,10943.0,10943.0,15268.0,10949.0,11444.0,10959.0,10948.0,10959.0,14433.0
2.0,360.0,60.0,10609.0,10605.0,10604.0,15126.0,10609.0,10947.0,10616.0,10605.0,10606.0,14177.0
3.0,360.0,60.0,14010.0,14297.0,14074.0,18011.0,14010.0,15142.0,14317.0,14403.0,14241.0,17514.0
3.0,360.0,60.0,14206.0,13747.0,13695.0,18209.0,14206.0,14846.0,13747.0,14355.0,13665.0,17481.0
3.0,360.0,60.0,12988.0,13145.0,13193.0,18121.0,12988.0,14445.0,13158.0,14345.0,13087.0,17392.0
4.0,360.0,60.0,16052.0,16273.0,16185.0,20152.0,16052.0,16996.0,16320.0,16293.0,16400.0,19476.0
4.0,360.0,60.0,15815.0,15798.0,15906.0,20303.0,15815.0,16595.0,15805.0,16001.0,15832.0,19456.0
4.0,360.0,60.0,15270.0,15205.0,15205.0,20173.0,15270.0,16114.0,15331.0,15632.0,15254.0,19382.0
2.0,400.0,0.0,12911.0,12889.0,12888.0,15240.0,12911.0,14554.0,12863.0,12972.0,12972.0,15488.0
2.0,400.0,0.0,12275.0,12280.0,12280.0,15202.0,12275.0,13907.0,12255.0,13573.0,13573.0,15439.0
2.0,400.0,0.0,11731.0,11731.0,11731.0,14885.0,11731.0,13265.0,11736.0,14183.0,14183.0,15299.0
3.0,400.0,0.0,15609.0,15588.0,15601.0,18506.0,15609.0,17291.0,15616.0,15671.0,15671.0,18615.0
3.0,400.0,0.0,16091.0,15006.0,15043.0,18355.0,16091.0,16787.0,15075.0,16090.0,16090.0,18571.0
3.0,400.0,0.0,16317.0,14495.0,14479.0,18143.0,16317.0,16290.0,14468.0,16310.0,16310.0,18481.0
4.0,400.0,0.0,17751.0,17624.0,17689.0,20430.0,17751.0,19370.0,17584.0,17805.0,17805.0,20566.0
4.0,400.0,0.0,17241.0,17101.0,17188.0,20223.0,17241.0,18953.0,17120.0,17236.0,17236.0,20548.0
4.0,400.0,0.0,16669.0,16562.0,16611.0,20041.0,16669.0,18598.0,16645.0,16835.0,16835.0,20464.0
2.0,480.0,80.0,11421.0,11401.0,11408.0,15241.0,11421.0,12290.0,11395.0,11381.0,11395.0,14423.0
2.0,480.0,80.0,11935.0,11019.0,11033.0,15332.0,11935.0,11754.0,10959.0,11877.0,11004.0,14344.0
2.0,480.0,80.0,12402.0,10683.0,10693.0,15261.0,12402.0,11052.0,10674.0,12392.0,10659.0,14085.0
3.0,480.0,80.0,13948.0,14229.0,13962.0,18024.0,13948.0,14994.0,14209.0,14257.0,14122.0,17353.0
3.0,480.0,80.0,13594.0,13704.0,13599.0,18219.0,13594.0,14714.0,13663.0,14738.0,13600.0,17325.0
3.0,480.0,80.0,13135.0,13159.0,13160.0,18240.0,13135.0,14376.0,13159.0,15186.0,13041.0,17218.0
4.0,480.0,80.0,15942.0,16050.0,16050.0,20121.0,15942.0,16969.0,16312.0,16355.0,16241.0,19270.0
4.0,480.0,80.0,15814.0,15625.0,15625.0,20201.0,15814.0,16674.0,15762.0,15714.0,15694.0,19244.0
4.0,480.0,80.0,16057.0,15101.0,15101.0,20230.0,16057.0,16243.0,15237.0,15187.0,15144.0,19183.0
2.0,500.0,0.0,12834.0,12801.0,12801.0,15449.0,12834.0,14649.0,12839.0,12887.0,12887.0,15488.0
2.0,500.0,0.0,13482.0,12215.0,12240.0,15213.0,13482.0,14144.0,12161.0,12261.0,12261.0,15452.0
2.0,500.0,0.0,14114.0,11671.0,11671.0,14822.0,14114.0,13514.0,11704.0,11731.0,11731.0,15314.0
3.0,500.0,0.0,15643.0,15575.0,15604.0,18588.0,15643.0,17573.0,15768.0,15776.0,15776.0,18617.0
3.0,500.0,0.0,15065.0,15031.0,15050.0,18482.0,15065.0,17170.0,15110.0,16420.0,16420.0,18577.0
3.0,500.0,0.0,14484.0,14457.0,14473.0,17975.0,14484.0,16626.0,14458.0,16703.0,16703.0,18477.0
4.0,500.0,0.0,17728.0,17585.0,17703.0,20664.0,17728.0,19625.0,17678.0,17769.0,17769.0,20592.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
