wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT
2.0,40.0,0.0,0.5648194704286869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2507478089300157
2.0,40.0,0.0,0.5504341302560396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23399108845551672
2.0,40.0,0.0,0.5042176352517994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22333640189369372
3.0,40.0,0.0,1.5171304110474781,0.0050415456098608525,0.0,0.0,0.0,0.0050415456098608525,0.0,0.0,0.0,0.0,0.4108533702105224
3.0,40.0,0.0,1.5029606042399357,0.0034404670665501894,0.0,0.0,0.0,0.0034404670665501894,0.0,0.0,0.0,0.0,0.3996641763714147
3.0,40.0,0.0,1.4861064205481913,0.0038040676048533575,0.0,0.0,0.0,0.0038040676048533575,0.0,0.0,0.0,0.0,0.3821440159264247
4.0,40.0,0.0,2.581972843837589,0.016928566961359956,0.0,0.0,0.0,0.016928566961359956,0.0,0.0,0.0,0.0,0.4560529542412012
4.0,40.0,0.0,2.6555290908049693,0.01598593559840758,0.0,0.0,0.0,0.01598593559840758,0.0,0.0,0.0,0.0,0.4688816518252806
4.0,40.0,0.0,2.4489877128891853,0.01315601038685203,0.0,0.0,0.0,0.01315601038685203,0.0,0.0,0.0,0.0,0.4590784386596081
2.0,48.0,8.0,0.4886886850151465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3043478260869563
2.0,48.0,8.0,0.47664546044498685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30206588498045767
2.0,48.0,8.0,0.4192245603309573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2847435805735186
3.0,48.0,8.0,1.2460255954891466,0.0019966347442105215,0.0,0.0,0.0,0.0019966347442105215,0.0,0.0,0.0,0.0,0.45405907080850794
3.0,48.0,8.0,1.2097153389219921,0.0023288847505147045,0.0,0.0,0.0,0.0023288847505147045,0.0,0.0,0.0,0.0,0.4517844416424535
3.0,48.0,8.0,1.1802417720665659,0.0032752628919193584,0.0,0.0,0.0,0.0032752628919193584,0.0,0.0,0.0,0.0,0.4222658732450488
4.0,48.0,8.0,2.066464968711904,0.010388619844758116,0.0,0.0,0.0,0.010388619844758116,0.0,0.0,0.0,0.0,0.5118617592502194
4.0,48.0,8.0,2.0308216978627103,0.010207728892894114,0.0,0.0,0.0,0.010207728892894114,0.0,0.0,0.0,0.0,0.5022894684450371
4.0,48.0,8.0,2.01715668642848,0.00823511365592691,0.0,0.0,0.0,0.00823511365592691,0.0,0.0,0.0,0.0,0.5006990213698438
