wareh,capacity,buffer,QMK,CHI,CHILOC,GP,GS,BS,RND
3.0,1440.0,240.0,111054.0,110991.0,111114.0,135089.0,149881.0,168603.0,174226.0
3.0,1440.0,240.0,110782.0,110763.0,110996.0,136977.0,149778.0,166626.0,174178.0
3.0,1440.0,240.0,110564.0,110427.0,110529.0,138810.0,148842.0,164607.0,173801.0
3.0,1440.0,240.0,110682.0,110347.0,110413.0,134055.0,149421.0,162091.0,173117.0
3.0,1440.0,240.0,110404.0,109679.0,109780.0,132890.0,149568.0,159331.0,172065.0
3.0,1440.0,240.0,110292.0,109459.0,109564.0,132235.0,147408.0,156033.0,171016.0
2.0,1600.0,0.0,109611.0,109764.0,109850.0,128062.0,151367.0,151367.0,154983.0
2.0,1600.0,0.0,109991.0,109482.0,109671.0,127230.0,149842.0,149842.0,154933.0
2.0,1600.0,0.0,109781.0,109189.0,109174.0,127602.0,148149.0,148149.0,154535.0
2.0,1600.0,0.0,111477.0,108913.0,108965.0,127081.0,146211.0,146211.0,154002.0
2.0,1600.0,0.0,111254.0,108912.0,108831.0,127199.0,143948.0,143948.0,153266.0
2.0,1600.0,0.0,111444.0,108440.0,108459.0,127337.0,141578.0,141578.0,152269.0
3.0,1600.0,0.0,115119.0,113412.0,113369.0,150543.0,180078.0,180078.0,186554.0
3.0,1600.0,0.0,113457.0,113129.0,113236.0,150702.0,178809.0,178809.0,186395.0
3.0,1600.0,0.0,115939.0,113060.0,113042.0,150148.0,177392.0,177392.0,185641.0
3.0,1600.0,0.0,113261.0,112733.0,112805.0,149787.0,175460.0,175460.0,185416.0
3.0,1600.0,0.0,113080.0,112718.0,112847.0,147700.0,173682.0,173682.0,184490.0
3.0,1600.0,0.0,114064.0,112316.0,112424.0,146299.0,171642.0,171642.0,183559.0
2.0,1920.0,320.0,107032.0,107450.0,107450.0,108657.0,127968.0,135317.0,144703.0
2.0,1920.0,320.0,106751.0,107172.0,107172.0,109074.0,125885.0,133410.0,144422.0
2.0,1920.0,320.0,107059.0,106776.0,106776.0,108905.0,124440.0,130979.0,143782.0
2.0,1920.0,320.0,106407.0,106298.0,106298.0,108590.0,122630.0,128473.0,142658.0
2.0,1920.0,320.0,105802.0,112105.0,107597.0,108742.0,120808.0,125712.0,141010.0
2.0,1920.0,320.0,106426.0,113550.0,107615.0,108442.0,118873.0,122483.0,139072.0
3.0,1920.0,320.0,111550.0,111559.0,111615.0,131910.0,151081.0,167130.0,174119.0
3.0,1920.0,320.0,111904.0,111053.0,111234.0,131500.0,149412.0,165136.0,174024.0
3.0,1920.0,320.0,110841.0,111093.0,111332.0,129906.0,150193.0,162902.0,173685.0
3.0,1920.0,320.0,111107.0,110756.0,111034.0,127222.0,148775.0,160418.0,173231.0
3.0,1920.0,320.0,110712.0,110282.0,110609.0,126369.0,149055.0,157281.0,172190.0
3.0,1920.0,320.0,111116.0,109864.0,110161.0,125077.0,147624.0,154313.0,171236.0
2.0,2000.0,0.0,110819.0,109630.0,109745.0,141003.0,152161.0,152161.0,155066.0
2.0,2000.0,0.0,109833.0,109658.0,109497.0,141294.0,150445.0,150445.0,154976.0
2.0,2000.0,0.0,109379.0,109459.0,109165.0,139491.0,148699.0,148699.0,154654.0
2.0,2000.0,0.0,109042.0,109242.0,109170.0,139773.0,146825.0,146825.0,154065.0
2.0,2000.0,0.0,109703.0,110145.0,109857.0,139074.0,144724.0,144724.0,153353.0
2.0,2000.0,0.0,109138.0,108853.0,108243.0,137562.0,142369.0,142369.0,152255.0
3.0,2000.0,0.0,113435.0,113355.0,113395.0,162780.0,182225.0,182225.0,186667.0
3.0,2000.0,0.0,115816.0,113068.0,113204.0,162604.0,180790.0,180790.0,186507.0
3.0,2000.0,0.0,113037.0,112839.0,112832.0,162223.0,181334.0,181334.0,186060.0
3.0,2000.0,0.0,115189.0,113049.0,112756.0,160802.0,177270.0,177270.0,185465.0
3.0,2000.0,0.0,113215.0,112864.0,112534.0,159019.0,174965.0,174965.0,184613.0
3.0,2000.0,0.0,112762.0,112567.0,112457.0,157326.0,172054.0,172054.0,183541.0
2.0,2400.0,400.0,107195.0,107222.0,107222.0,115149.0,128983.0,136522.0,144672.0
2.0,2400.0,400.0,106773.0,106773.0,106773.0,114936.0,127572.0,134831.0,144210.0
2.0,2400.0,400.0,106696.0,106404.0,106404.0,115443.0,125875.0,132753.0,143662.0
2.0,2400.0,400.0,106240.0,105914.0,106008.0,114616.0,123896.0,130354.0,142734.0
2.0,2400.0,400.0,106185.0,110538.0,106832.0,114803.0,121747.0,127789.0,141059.0
2.0,2400.0,400.0,106913.0,118853.0,105252.0,112932.0,119039.0,124632.0,138890.0
3.0,2400.0,400.0,111638.0,111193.0,111322.0,135744.0,153106.0,169473.0,174048.0
3.0,2400.0,400.0,111188.0,111122.0,111344.0,138165.0,151542.0,167821.0,174193.0
3.0,2400.0,400.0,111357.0,110804.0,111074.0,136934.0,150976.0,165383.0,173689.0
3.0,2400.0,400.0,111002.0,110501.0,110754.0,133993.0,148843.0,162740.0,173051.0
3.0,2400.0,400.0,110817.0,110036.0,110197.0,135523.0,146597.0,159783.0,172193.0
3.0,2400.0,400.0,110323.0,110861.0,110793.0,133860.0,144908.0,156266.0,171031.0
2.0,2400.0,0.0,109200.0,109499.0,109164.0,137215.0,151457.0,151457.0,155121.0
2.0,2400.0,0.0,109115.0,108787.0,108700.0,137487.0,149622.0,149622.0,154981.0
2.0,2400.0,0.0,109425.0,108897.0,108149.0,137938.0,147828.0,147828.0,154553.0
2.0,2400.0,0.0,108501.0,108420.0,108204.0,137832.0,145718.0,145718.0,154170.0
2.0,2400.0,0.0,108212.0,108397.0,107607.0,137349.0,143410.0,143410.0,153313.0
2.0,2400.0,0.0,107889.0,107647.0,107367.0,136342.0,140877.0,140877.0,152355.0
3.0,2400.0,0.0,112135.0,112466.0,112154.0,156024.0,180151.0,180151.0,186662.0
3.0,2400.0,0.0,112074.0,111865.0,111890.0,155493.0,177909.0,177909.0,186590.0
3.0,2400.0,0.0,112289.0,112035.0,111809.0,153762.0,176402.0,176402.0,186104.0
3.0,2400.0,0.0,111627.0,112070.0,111795.0,154297.0,174611.0,174611.0,185510.0
3.0,2400.0,0.0,111820.0,111399.0,111374.0,152623.0,172417.0,172417.0,184732.0
3.0,2400.0,0.0,111120.0,111476.0,111262.0,152124.0,170252.0,170252.0,183461.0
2.0,2880.0,480.0,105400.0,106371.0,106371.0,111901.0,126748.0,136017.0,144548.0
2.0,2880.0,480.0,106173.0,106146.0,106146.0,112562.0,124222.0,134050.0,144405.0
2.0,2880.0,480.0,106163.0,105764.0,105991.0,113323.0,122695.0,132020.0,143609.0
2.0,2880.0,480.0,105345.0,107006.0,107040.0,113068.0,119799.0,129273.0,142737.0
2.0,2880.0,480.0,105516.0,110009.0,106406.0,113126.0,118252.0,126723.0,141040.0
2.0,2880.0,480.0,104886.0,111622.0,108103.0,113316.0,115936.0,123788.0,139048.0
3.0,2880.0,480.0,110069.0,110270.0,110339.0,132489.0,150255.0,167644.0,174092.0
3.0,2880.0,480.0,110508.0,110006.0,110124.0,132441.0,149403.0,166142.0,174208.0
3.0,2880.0,480.0,110102.0,109757.0,109883.0,131870.0,147744.0,164041.0,173664.0
3.0,2880.0,480.0,109647.0,109320.0,109704.0,132307.0,146080.0,161441.0,173192.0
3.0,2880.0,480.0,109742.0,109306.0,109559.0,132374.0,146885.0,158796.0,172411.0
3.0,2880.0,480.0,109295.0,108831.0,109034.0,133514.0,143358.0,155954.0,171083.0
2.0,2800.0,0.0,108776.0,109403.0,108772.0,136571.0,152206.0,152206.0,155258.0
