dependency,skus,wareh,diff,buffer,weight_mode,mode,benchiter,orders,train_test,parcel_train,parcel_test,flexibility,duration,cap_used,local_search,gap
HD-VF,100,8,0.0,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,724,788,0.396,1.463596103,100,6,0.0
HD-VF,100,8,0.2,0.0,uniform,CHI_1.0e-5,1,200,0.5,66,102,0.29,1.681692676,100,0,0.0
HD-VF,100,8,0.2,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,65,102,0.31,1.68189226,100,2,0.0
HD-VF,100,8,0.2,0.0,uniform,CHI_1.0e-5,1,1000,0.5,470,472,0.31,1.488945539,100,0,0.0
HD-VF,100,8,0.2,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,441,437,0.348,1.489388559,100,2,0.0
HD-VF,100,8,0.2,0.0,uniform,CHI_1.0e-5,1,2000,0.5,708,752,0.414,1.200760393,100,0,0.0
HD-VF,100,8,0.2,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,692,746,0.421,1.201282311,100,2,0.0
HD-VF,100,10,0.0,0.0,uniform,CHI_1.0e-5,1,200,0.5,102,129,0.15,1.639382645,100,0,0.0
HD-VF,100,10,0.0,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,90,120,0.24,1.639650868,100,3,0.0
HD-VF,100,10,0.0,0.0,uniform,CHI_1.0e-5,1,1000,0.5,438,475,0.32,1.405578616,100,0,0.0
HD-VF,100,10,0.0,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,395,427,0.37,1.4060739649999998,100,5,0.0
HD-VF,100,10,0.0,0.0,uniform,CHI_1.0e-5,1,2000,0.5,983,996,0.254,1.612020654,100,0,0.0
HD-VF,100,10,0.0,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,934,987,0.28,1.612701319,100,6,0.0
HD-VF,100,10,0.2,0.0,uniform,CHI_1.0e-5,1,200,0.5,93,111,0.23,1.660306191,100,0,0.0
HD-VF,100,10,0.2,0.0,uniform,CHI_1.0e-5_LS,1,200,0.5,86,110,0.26,1.660547473,100,3,0.0
HD-VF,100,10,0.2,0.0,uniform,CHI_1.0e-5,1,1000,0.5,288,347,0.466,1.749730182,100,0,0.0
HD-VF,100,10,0.2,0.0,uniform,CHI_1.0e-5_LS,1,1000,0.5,271,332,0.484,1.750170609,100,3,0.0
HD-VF,100,10,0.2,0.0,uniform,CHI_1.0e-5,1,2000,0.5,833,828,0.372,1.622606696,100,0,0.0
HD-VF,100,10,0.2,0.0,uniform,CHI_1.0e-5_LS,1,2000,0.5,833,828,0.372,1.623050228,100,1,0.0
HD-VF,100,2,0.0,0.2,uniform,CHI_1.0e-5,1,200,0.5,3,16,1.05,1.45388915,120,0,0.0
HD-VF,100,2,0.0,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,0,19,1.02,1.4540461850000002,120,2,0.0
HD-VF,100,2,0.0,0.2,uniform,CHI_1.0e-5,1,1000,0.5,66,82,1.146,1.805518399,120,0,0.0
HD-VF,100,2,0.0,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,28,62,1.186,1.8059334970000003,120,5,0.0
HD-VF,100,2,0.0,0.2,uniform,CHI_1.0e-5,1,2000,0.5,101,109,1.327,1.592822403,120,0,0.0
HD-VF,100,2,0.0,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,100,116,1.32,1.593359791,120,2,0.0
HD-VF,100,2,0.2,0.2,uniform,CHI_1.0e-5,1,200,0.5,3,10,1.22,1.389965718,120,0,0.0
HD-VF,100,2,0.2,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,3,10,1.22,1.3901351160000002,120,1,0.0
HD-VF,100,2,0.2,0.2,uniform,CHI_1.0e-5,1,1000,0.5,76,87,1.008,1.459063483,120,0,0.0
HD-VF,100,2,0.2,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,45,63,1.056,1.459450729,120,4,0.0
HD-VF,100,2,0.2,0.2,uniform,CHI_1.0e-5,1,2000,0.5,113,126,1.064,1.673020113,120,0,0.0
HD-VF,100,2,0.2,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,89,103,1.087,1.673659001,120,6,0.0
HD-VF,100,4,0.0,0.2,uniform,CHI_1.0e-5,1,200,0.5,27,64,1.05,1.402532183,120,0,0.0
HD-VF,100,4,0.0,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,19,68,1.06,1.402820072,120,3,0.0
HD-VF,100,4,0.0,0.2,uniform,CHI_1.0e-5,1,1000,0.5,177,196,1.13,1.377971056,120,0,0.0
HD-VF,100,4,0.0,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,177,196,1.13,1.37844253,120,1,0.0
HD-VF,100,4,0.0,0.2,uniform,CHI_1.0e-5,1,2000,0.5,353,434,0.858,1.545377673,120,0,0.0
HD-VF,100,4,0.0,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,353,434,0.858,1.546022642,120,1,0.0
HD-VF,100,4,0.2,0.2,uniform,CHI_1.0e-5,1,200,0.5,32,53,0.72,1.473859168,120,0,0.0
HD-VF,100,4,0.2,0.2,uniform,CHI_1.0e-5_LS,1,200,0.5,32,53,0.72,1.474112253,120,1,0.0
HD-VF,100,4,0.2,0.2,uniform,CHI_1.0e-5,1,1000,0.5,187,262,0.774,1.882455304,120,0,0.0
HD-VF,100,4,0.2,0.2,uniform,CHI_1.0e-5_LS,1,1000,0.5,126,186,0.864,1.883090316,120,6,0.0
HD-VF,100,4,0.2,0.2,uniform,CHI_1.0e-5,1,2000,0.5,289,297,1.003,1.856907876,120,0,0.0
HD-VF,100,4,0.2,0.2,uniform,CHI_1.0e-5_LS,1,2000,0.5,260,269,1.024,1.857893915,120,5,0.0
HD-VF,100,6,0.0,0.2,uniform,CHI_1.0e-5,1,200,0.5,64,80,0.62,1.443456957,120,0,0.0
