wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,13669.0,13814.0,13922.0,13922.0,13669.0,13814.0,14925.0,14776.0,15021.0,15021.0,13669.0,15554.0
2.0,40.0,0.0,13495.0,13495.0,13495.0,13495.0,13495.0,13495.0,14548.0,14103.0,15123.0,15123.0,13293.0,15494.0
2.0,40.0,0.0,12993.0,12993.0,13090.0,12993.0,12993.0,12993.0,13947.0,13738.0,15394.0,15394.0,12962.0,15379.0
3.0,40.0,0.0,15772.0,15565.0,15809.0,15665.0,15513.0,15565.0,17547.0,17234.0,17578.0,17578.0,15941.0,18727.0
3.0,40.0,0.0,15531.0,15274.0,15618.0,15600.0,15850.0,15274.0,17344.0,16706.0,17163.0,17163.0,15609.0,18665.0
3.0,40.0,0.0,15195.0,15427.0,15429.0,15429.0,15379.0,15427.0,17293.0,16731.0,17018.0,17018.0,15250.0,18590.0
4.0,40.0,0.0,17506.0,16646.0,16687.0,16639.0,17353.0,16646.0,19549.0,19222.0,20249.0,20249.0,18557.0,20757.0
4.0,40.0,0.0,16640.0,16343.0,16688.0,16688.0,17562.0,16343.0,19374.0,18965.0,20130.0,20130.0,18276.0,20704.0
4.0,40.0,0.0,16645.0,16650.0,16438.0,16438.0,17574.0,16650.0,18932.0,18317.0,19632.0,19632.0,18027.0,20555.0
2.0,48.0,8.0,12002.0,11941.0,12453.0,12350.0,12993.0,11941.0,13202.0,12718.0,12876.0,12670.0,12327.0,14512.0
2.0,48.0,8.0,11752.0,11741.0,12073.0,11959.0,12560.0,11741.0,12884.0,12434.0,13118.0,12293.0,12102.0,14477.0
2.0,48.0,8.0,11463.0,11463.0,11517.0,11517.0,12106.0,11463.0,12189.0,11810.0,13292.0,11710.0,11554.0,14120.0
3.0,48.0,8.0,14645.0,14035.0,14318.0,14318.0,14934.0,14035.0,15779.0,15322.0,15400.0,15824.0,15822.0,17450.0
3.0,48.0,8.0,14621.0,13911.0,14321.0,14060.0,14729.0,13911.0,15719.0,15041.0,14940.0,15231.0,15110.0,17369.0
3.0,48.0,8.0,14430.0,14129.0,13994.0,13994.0,14636.0,14129.0,15282.0,14865.0,14793.0,14874.0,14699.0,17260.0
4.0,48.0,8.0,16226.0,15495.0,15484.0,15484.0,16610.0,15495.0,17731.0,17099.0,17390.0,18058.0,18021.0,19380.0
4.0,48.0,8.0,16181.0,15646.0,15235.0,15228.0,16394.0,15646.0,17616.0,16961.0,17002.0,17914.0,17825.0,19361.0
4.0,48.0,8.0,16044.0,15140.0,15056.0,15056.0,16639.0,15140.0,17374.0,17003.0,16394.0,17567.0,17432.0,19353.0
