wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
3.0,2400.0,295423.0,277029.0,273698.0,304045.0,304312.0,304312.0,366576.0
2.0,3600.0,253858.0,255619.0,254843.0,267136.0,259696.0,259696.0,310161.0
2.0,3600.0,263163.0,244108.0,243768.0,248202.0,274473.0,274473.0,308149.0
2.0,3600.0,272402.0,234146.0,233986.0,239886.0,235303.0,235303.0,302088.0
3.0,3600.0,293273.0,306461.0,301029.0,320991.0,312919.0,312919.0,373206.0
3.0,3600.0,298647.0,291750.0,287234.0,310978.0,297303.0,297303.0,371026.0
3.0,3600.0,274709.0,279832.0,276219.0,299161.0,305050.0,305050.0,367153.0
2.0,4800.0,252734.0,254101.0,253066.0,269458.0,258125.0,258125.0,310285.0
2.0,4800.0,263142.0,243218.0,242859.0,246433.0,245853.0,245853.0,308209.0
2.0,4800.0,272334.0,233418.0,233389.0,237372.0,234613.0,234613.0,302199.0
3.0,4800.0,293587.0,306077.0,299274.0,323082.0,313290.0,313290.0,373404.0
3.0,4800.0,283636.0,292886.0,288197.0,310561.0,296280.0,296280.0,371291.0
3.0,4800.0,289953.0,277462.0,273498.0,301804.0,286998.0,286998.0,366825.0
2.0,6000.0,253764.0,255421.0,254584.0,267882.0,261756.0,261756.0,309932.0
2.0,6000.0,243185.0,243575.0,243160.0,247117.0,273556.0,273556.0,308107.0
2.0,6000.0,232972.0,233171.0,233068.0,236594.0,234222.0,234222.0,302224.0
3.0,6000.0,292634.0,304262.0,298679.0,321054.0,317103.0,317103.0,373080.0
3.0,6000.0,296179.0,294810.0,287676.0,310772.0,297567.0,297567.0,370907.0
3.0,6000.0,292213.0,281023.0,273770.0,296462.0,279800.0,279800.0,366781.0
2.0,7200.0,253056.0,255415.0,254592.0,269244.0,260680.0,260680.0,310292.0
2.0,7200.0,263380.0,243553.0,243043.0,246836.0,245092.0,245092.0,308059.0
2.0,7200.0,271166.0,233111.0,233041.0,236809.0,235415.0,235415.0,302030.0
3.0,7200.0,292132.0,305662.0,298836.0,321134.0,319558.0,319558.0,373177.0
3.0,7200.0,299607.0,294059.0,287836.0,313409.0,295730.0,295730.0,371258.0
3.0,7200.0,273252.0,280483.0,274023.0,297432.0,329799.0,329799.0,367053.0
2.0,8400.0,253623.0,255674.0,254800.0,267709.0,259627.0,259627.0,310396.0
2.0,8400.0,263976.0,243706.0,243157.0,246480.0,246460.0,246460.0,308287.0
2.0,8400.0,271731.0,232396.0,232325.0,236494.0,233561.0,233561.0,301695.0
3.0,8400.0,293196.0,304799.0,299522.0,321343.0,315413.0,315413.0,373131.0
3.0,8400.0,283386.0,290427.0,286304.0,311195.0,296369.0,296369.0,371799.0
3.0,8400.0,273865.0,276773.0,274056.0,296686.0,281161.0,281161.0,366802.0
2.0,9600.0,253644.0,255562.0,254737.0,264035.0,262819.0,262819.0,310282.0
2.0,9600.0,262870.0,243412.0,242892.0,246623.0,244800.0,244800.0,308227.0
2.0,9600.0,272704.0,232952.0,232772.0,237890.0,233566.0,233566.0,302053.0
3.0,9600.0,292318.0,304222.0,297584.0,323750.0,315881.0,315881.0,373115.0
3.0,9600.0,281676.0,290316.0,285854.0,309092.0,295920.0,295920.0,371265.0
3.0,9600.0,293124.0,276320.0,273622.0,299652.0,281432.0,281432.0,367038.0
2.0,10800.0,253509.0,255427.0,254302.0,264408.0,266162.0,266162.0,309914.0
2.0,10800.0,242984.0,243710.0,243182.0,246317.0,245110.0,245110.0,308019.0
2.0,10800.0,272588.0,233242.0,233107.0,238928.0,233918.0,233918.0,301980.0
3.0,10800.0,292242.0,303280.0,296740.0,320855.0,315970.0,315970.0,372534.0
3.0,10800.0,294129.0,289951.0,285724.0,313661.0,297003.0,297003.0,371821.0
3.0,10800.0,293392.0,276021.0,273521.0,295613.0,281974.0,281974.0,367103.0
2.0,12000.0,252599.0,254976.0,253940.0,263812.0,267103.0,267103.0,310273.0
2.0,12000.0,242520.0,243324.0,242697.0,245921.0,245936.0,245936.0,308077.0
2.0,12000.0,232299.0,232509.0,232429.0,237022.0,233291.0,233291.0,301779.0
3.0,12000.0,292453.0,304435.0,298409.0,322188.0,319582.0,319582.0,372964.0
3.0,12000.0,294083.0,290528.0,285939.0,308485.0,295272.0,295272.0,371832.0
3.0,12000.0,291608.0,276597.0,273972.0,291100.0,280813.0,280813.0,366518.0
