wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,15392.0,15356.0,15589.0,15589.0,15493.0,15356.0,15498.0,15457.0,15607.0,15607.0,15398.0,15527.0
2.0,40.0,0.0,15349.0,15297.0,15496.0,15496.0,15461.0,15297.0,15408.0,15383.0,15556.0,15556.0,15351.0,15478.0
2.0,40.0,0.0,15229.0,15145.0,15296.0,15296.0,15301.0,15145.0,15279.0,15212.0,15407.0,15407.0,15208.0,15341.0
3.0,40.0,0.0,18450.0,18409.0,18667.0,18667.0,18455.0,18409.0,18576.0,18541.0,18755.0,18755.0,18532.0,18649.0
3.0,40.0,0.0,18412.0,18334.0,18568.0,18568.0,18502.0,18334.0,18537.0,18477.0,18661.0,18661.0,18450.0,18576.0
3.0,40.0,0.0,18387.0,18256.0,18526.0,18526.0,18339.0,18256.0,18500.0,18440.0,18616.0,18616.0,18409.0,18547.0
4.0,40.0,0.0,20427.0,20306.0,20612.0,20612.0,20436.0,20306.0,20604.0,20557.0,20687.0,20687.0,20495.0,20637.0
4.0,40.0,0.0,20375.0,20274.0,20580.0,20580.0,20351.0,20274.0,20573.0,20534.0,20674.0,20674.0,20462.0,20598.0
4.0,40.0,0.0,20143.0,20105.0,20344.0,20344.0,20277.0,20105.0,20398.0,20366.0,20483.0,20483.0,20316.0,20465.0
2.0,48.0,8.0,14244.0,14244.0,14375.0,14375.0,15282.0,14244.0,14309.0,14291.0,14429.0,14444.0,14375.0,14453.0
2.0,48.0,8.0,14220.0,14220.0,14306.0,14306.0,15092.0,14220.0,14292.0,14225.0,14398.0,14362.0,14327.0,14389.0
2.0,48.0,8.0,13915.0,13859.0,13949.0,13949.0,14551.0,13859.0,14001.0,13939.0,14094.0,14022.0,13957.0,14066.0
3.0,48.0,8.0,17344.0,17153.0,17131.0,17131.0,18160.0,17153.0,17222.0,17166.0,17385.0,17748.0,17389.0,17362.0
3.0,48.0,8.0,17275.0,16938.0,17024.0,17024.0,17622.0,16938.0,16989.0,16986.0,17106.0,17627.0,17240.0,17303.0
3.0,48.0,8.0,17093.0,16972.0,16853.0,16853.0,17495.0,16972.0,16802.0,16822.0,17298.0,17505.0,17145.0,17259.0
4.0,48.0,8.0,19640.0,19067.0,19077.0,19077.0,19811.0,19067.0,19102.0,19005.0,19422.0,19733.0,19534.0,19278.0
4.0,48.0,8.0,19271.0,19129.0,18992.0,18992.0,19769.0,19129.0,19009.0,18965.0,19198.0,19691.0,19314.0,19248.0
4.0,48.0,8.0,19166.0,19082.0,18877.0,18877.0,19270.0,19082.0,18810.0,18795.0,19068.0,19598.0,19160.0,19235.0
