wareh,capacity,buffer,QMK,CHI,CHILOC,KLINKQMK,GP,GS,BS,RND
2.0,1000.0,0.0,0.6767192886953366,0.6787152966793686,0.6853021230266739,0.6767192886953366,0.13926692070404645,0.14648884050081656,0.14648884050081656,0.0
2.0,1000.0,0.0,0.6978917149701036,0.6992813911389859,0.6977637184808645,0.6978917149701036,0.18923366673371245,0.08548336959900527,0.08548336959900527,0.0
2.0,1000.0,0.0,0.7146964315914088,0.7146212676400399,0.7147715955427777,0.7146964315914088,0.24411372305842116,0.017719901535223737,0.017719901535223737,0.0
3.0,1000.0,0.0,0.7120565900343285,0.7219390408821388,0.7213495613578834,0.7120565900343285,0.1912803264098385,0.1292000416103194,0.1292000416103194,0.0
3.0,1000.0,0.0,0.6629025900248104,0.6970227467711643,0.7218911586709023,0.6629025900248104,0.21537551881651862,0.10770514990609126,0.10770514990609126,0.0
3.0,1000.0,0.0,0.7206662597426988,0.731406704854916,0.731406704854916,0.7206662597426988,0.2488966100103296,0.08385763921494971,0.08385763921494971,0.0
4.0,1000.0,0.0,0.7370702217876517,0.7174957457010427,0.7313915553340917,0.7370702217876517,0.20321916455910416,0.10843996502543174,0.10843996502543174,0.0
4.0,1000.0,0.0,0.7403259711735151,0.74102353817294,0.7419096367938313,0.7403259711735151,0.2240792586936644,0.10273088053693802,0.10273088053693802,0.0
4.0,1000.0,0.0,0.7395538411841831,0.7429836395766432,0.7429171337906397,0.7395538411841831,0.22450453189427477,0.09409618636821404,0.09409618636821404,0.0
2.0,1100.0,100.0,0.7115784008307373,0.7641385094656122,0.7756609952871635,0.0,0.3499281092739037,0.31498122853263044,0.2136752136752137,0.0
2.0,1100.0,100.0,0.6923559277464247,0.7730040253251613,0.7732063029714586,0.0,0.37332362400631103,0.24748670024475594,0.2898031838501527,0.0
2.0,1100.0,100.0,0.727332097412994,0.777702873514789,0.778524479649448,0.0,0.42053594000168537,0.18178562399932585,0.37315665290300837,0.0
3.0,1100.0,100.0,0.7202134556879956,0.7580544611241334,0.7589397037554236,0.0,0.3213929479826443,0.24846641065283526,0.14566605156850032,0.0
3.0,1100.0,100.0,0.7278204887805488,0.7541596349771861,0.7544096506031627,0.0,0.29294330895680976,0.24152759547471714,0.192374523407713,0.0
3.0,1100.0,100.0,0.7276441273936911,0.7664238192810706,0.7678910222357137,0.0,0.29962561028053936,0.2256962889883889,0.23700387038020798,0.0
4.0,1100.0,100.0,0.7290614225002005,0.754891347927191,0.7595020447438057,0.0,0.21369577419613506,0.190932964477588,0.11186953732659766,0.0
4.0,1100.0,100.0,0.7367263745531949,0.7579922888469417,0.7596991847062131,0.0,0.263564801799269,0.19823085264468454,0.1413610988393108,0.0
