wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,976.751781,0.794724,0.316858,0.4738155,1.7662839,2.4833753,0.0281769,0.2500119,1.6795713,0.0010261,450.7158071,0.4166861
2.0,40.0,0.0,352.5900029,1.3146391,0.8637655,0.4774485,1.6048337,0.9726082,0.016225,0.0010024,0.0009603,0.0008101,366.8039831,0.0169531
2.0,40.0,0.0,73.9715636,0.8167882,0.6201945,0.3888893,1.6848822,0.7724987,0.0177292,0.0010097,0.0009633,0.0009587,272.1582574,0.0190879
3.0,40.0,0.0,3605.9728918,0.9809818,2.2194514,2.6336949,1.5301393,1.2639868,0.0151278,0.0015924,0.0015427,0.0018732,3612.6664206,0.0277892
3.0,40.0,0.0,3606.3281636,1.2793768,2.2603044,2.3463022,1.1661938,1.282418,0.01319,0.0014861,0.0023522,0.0018496,3617.2134023,0.0317101
3.0,40.0,0.0,3610.6143116,4.0323582,1.0547913,1.8969689,1.1273526,1.3616836,0.0134581,0.0025004,0.0016021,0.0015869,3615.1197687,0.0278637
4.0,40.0,0.0,3604.0033416,5.7324735,2.9411566,2.8570645,1.7311016,14.8717575,0.0168627,0.0025321,0.0028001,0.0026,3643.0846489,0.0892853
4.0,40.0,0.0,3603.1671657,1.1134365,1.8576278,1.8101864,1.0662276,1.0863739,0.0459615,0.0019542,0.0562353,0.0029775,3631.2475226,0.0743341
4.0,40.0,0.0,3603.2005994,2.0194809,2.035177,1.9928364,1.2000206,1.7809501,0.0477304,0.0015032,0.001924,0.0016554,3631.0703876,0.0926333
2.0,48.0,8.0,3616.6966295,1.8620636,1.5729987,1.6450452,1.3025449,2.1137275,0.0190391,0.0012563,0.00127,0.0011259,3863.5580095,0.5417238
2.0,48.0,8.0,3612.7572833,0.678925,0.6631737,0.6085175,0.6530883,0.4437771,0.018716,0.0014369,0.000989,0.0010977,3752.0156735,0.292473
2.0,48.0,8.0,3610.3173758,0.9024855,1.773592,1.6498348,1.1134191,0.9070146,0.0161042,0.0014279,0.0015825,0.0015982,3811.3228152,0.3384913
3.0,48.0,8.0,3604.6247247,1.3871078,1.393724,1.1842745,1.0567783,1.6836696,0.0571441,0.0022591,0.0015916,0.0014466,3931.4348896,0.6936725
3.0,48.0,8.0,3604.8709909,1.1207791,1.3439422,0.9023333,1.3592932,1.00825,0.0173312,0.0072015,0.0010797,0.001044,3901.8041145,0.8188786
3.0,48.0,8.0,3612.4885525,2.4404988,1.1044723,0.8517129,1.5661536,1.8158058,0.0351363,0.0017306,0.0450207,0.0011701,3924.332646,0.7683494
4.0,48.0,8.0,4053.5696531,1.141524,0.7930595,0.8658231,0.8235018,1.4087876,0.0147175,0.0016992,0.0035245,0.0014866,3907.0401607,1.2198444
4.0,48.0,8.0,3601.8304734,0.6003412,0.5365609,0.5847935,0.6221633,0.4421716,0.0153542,0.0012098,0.001745,0.0011914,3905.8551908,1.1303491
4.0,48.0,8.0,3688.3288895,0.1976194,0.5473487,0.5560568,0.5407795,0.1806917,0.0132116,0.0033237,0.001521,0.001365,3766.144625,0.3613907
