wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,12858.0,12858.0,12858.0,12858.0,12858.0,12858.0,14392.0,12992.0,13710.0,13710.0,12858.0,15473.0
2.0,40.0,0.0,12211.0,12211.0,12211.0,12211.0,12211.0,12211.0,13997.0,12323.0,14307.0,14307.0,12211.0,15442.0
2.0,40.0,0.0,11691.0,11691.0,11691.0,11691.0,11732.0,11691.0,13853.0,11770.0,14848.0,14848.0,11691.0,15293.0
3.0,40.0,0.0,15839.0,15525.0,15525.0,15525.0,15901.0,15525.0,17157.0,15606.0,16803.0,16803.0,15525.0,18612.0
3.0,40.0,0.0,15108.0,15027.0,15034.0,15034.0,15340.0,15027.0,16678.0,15112.0,16392.0,16392.0,15064.0,18525.0
3.0,40.0,0.0,14755.0,15626.0,14755.0,14755.0,15088.0,15626.0,16281.0,14866.0,16150.0,16150.0,14717.0,18511.0
4.0,40.0,0.0,17943.0,17613.0,17613.0,17613.0,17979.0,17613.0,19242.0,17707.0,19335.0,19335.0,17772.0,20563.0
4.0,40.0,0.0,17466.0,17196.0,17215.0,17196.0,17553.0,17196.0,18817.0,17361.0,19189.0,19189.0,17215.0,20515.0
4.0,40.0,0.0,16837.0,16771.0,16650.0,16627.0,17067.0,16771.0,18078.0,16692.0,18797.0,18797.0,16652.0,20419.0
2.0,48.0,8.0,11368.0,11363.0,11363.0,11363.0,11732.0,11363.0,12864.0,11441.0,11363.0,11545.0,11379.0,14436.0
2.0,48.0,8.0,11045.0,11045.0,11064.0,11045.0,11283.0,11045.0,12292.0,11064.0,11765.0,11183.0,11041.0,14404.0
2.0,48.0,8.0,10634.0,10634.0,10634.0,10634.0,10848.0,10634.0,11603.0,10627.0,12458.0,10735.0,10618.0,14017.0
3.0,48.0,8.0,14100.0,13994.0,14466.0,14084.0,14692.0,13994.0,15101.0,14555.0,14876.0,14713.0,14638.0,17347.0
3.0,48.0,8.0,13603.0,13524.0,13690.0,13690.0,14077.0,13524.0,14756.0,13865.0,14135.0,13994.0,14107.0,17207.0
3.0,48.0,8.0,13203.0,13238.0,13261.0,13218.0,13644.0,13238.0,14714.0,13462.0,13586.0,13596.0,13106.0,17171.0
4.0,48.0,8.0,16100.0,16063.0,16313.0,16313.0,16545.0,16063.0,17262.0,16429.0,16703.0,16799.0,16362.0,19151.0
4.0,48.0,8.0,15927.0,15756.0,15916.0,15913.0,16407.0,15756.0,17005.0,16091.0,16653.0,16477.0,16934.0,19199.0
4.0,48.0,8.0,15982.0,15526.0,15581.0,15551.0,16129.0,15526.0,16743.0,15693.0,16564.0,16044.0,16326.0,19135.0
