wareh,capacity,QMK,CHI,CHILOC,GP,GS,BS,RND
3.0,2400.0,223620.0,226207.0,224452.0,306868.0,352592.0,352592.0,367290.0
2.0,3600.0,221636.0,223935.0,220476.0,287990.0,304852.0,304852.0,310351.0
2.0,3600.0,216682.0,219160.0,217116.0,277540.0,294909.0,294909.0,308097.0
2.0,3600.0,213957.0,214697.0,213630.0,275769.0,284388.0,284388.0,302154.0
3.0,3600.0,224713.0,225849.0,225007.0,316159.0,363034.0,363034.0,373052.0
3.0,3600.0,221043.0,225765.0,223436.0,336586.0,356683.0,356683.0,371894.0
3.0,3600.0,222321.0,230218.0,227438.0,319198.0,341742.0,341742.0,367043.0
2.0,4800.0,220209.0,225430.0,221216.0,284670.0,303687.0,303687.0,309919.0
2.0,4800.0,215683.0,219180.0,216321.0,280881.0,295251.0,295251.0,308206.0
2.0,4800.0,221242.0,220947.0,219110.0,270679.0,280393.0,280393.0,301876.0
3.0,4800.0,221607.0,224223.0,222331.0,340569.0,366998.0,366998.0,373397.0
3.0,4800.0,230650.0,228724.0,225653.0,322556.0,352275.0,352275.0,371766.0
3.0,4800.0,223340.0,227740.0,225177.0,325220.0,340861.0,340861.0,366540.0
2.0,6000.0,217271.0,221886.0,217966.0,298600.0,305649.0,305649.0,310036.0
2.0,6000.0,218720.0,221428.0,217617.0,283628.0,296458.0,296458.0,308044.0
2.0,6000.0,220560.0,233745.0,232168.0,275703.0,275667.0,275667.0,301920.0
3.0,6000.0,222016.0,225760.0,222276.0,319128.0,366286.0,366286.0,372902.0
3.0,6000.0,221907.0,225903.0,223318.0,344127.0,354969.0,354969.0,371392.0
3.0,6000.0,225315.0,227441.0,225880.0,319615.0,339932.0,339932.0,367267.0
2.0,7200.0,219634.0,226719.0,222639.0,291150.0,303462.0,303462.0,310183.0
2.0,7200.0,217743.0,224206.0,218609.0,285888.0,293491.0,293491.0,308100.0
2.0,7200.0,222268.0,234349.0,227605.0,279863.0,281531.0,281531.0,301827.0
3.0,7200.0,221246.0,230230.0,223517.0,338395.0,366467.0,366467.0,373043.0
3.0,7200.0,219629.0,226882.0,221640.0,335898.0,356845.0,356845.0,371451.0
3.0,7200.0,224367.0,232276.0,229324.0,335030.0,342591.0,342591.0,366988.0
2.0,8400.0,217287.0,230617.0,227289.0,296010.0,305086.0,305086.0,310200.0
2.0,8400.0,218407.0,229456.0,226617.0,290581.0,294265.0,294265.0,308152.0
2.0,8400.0,222376.0,234862.0,227679.0,279863.0,279943.0,279943.0,302206.0
3.0,8400.0,220689.0,229332.0,223338.0,336472.0,366513.0,366513.0,373019.0
3.0,8400.0,226784.0,230110.0,224554.0,343706.0,356831.0,356831.0,371705.0
3.0,8400.0,232773.0,242084.0,237584.0,332161.0,338991.0,338991.0,367140.0
2.0,9600.0,215904.0,222724.0,221447.0,296740.0,305862.0,305862.0,310034.0
2.0,9600.0,214253.0,225530.0,221452.0,295429.0,295500.0,295500.0,308128.0
2.0,9600.0,215282.0,223992.0,221730.0,283659.0,281548.0,281548.0,301649.0
3.0,9600.0,222104.0,230320.0,227945.0,345577.0,364513.0,364513.0,372686.0
3.0,9600.0,226603.0,231075.0,228369.0,331714.0,352575.0,352575.0,371494.0
3.0,9600.0,229971.0,235477.0,232302.0,333002.0,340431.0,340431.0,367149.0
2.0,10800.0,217183.0,225426.0,217592.0,299770.0,305028.0,305028.0,310038.0
2.0,10800.0,216346.0,222100.0,218182.0,294290.0,294399.0,294399.0,308222.0
2.0,10800.0,219446.0,232342.0,229375.0,279534.0,278690.0,278690.0,301718.0
3.0,10800.0,220455.0,229649.0,226321.0,336718.0,365635.0,365635.0,372622.0
3.0,10800.0,222242.0,230160.0,226765.0,344998.0,354055.0,354055.0,371646.0
3.0,10800.0,225413.0,235481.0,224712.0,340215.0,341641.0,341641.0,367382.0
2.0,12000.0,216328.0,221190.0,217347.0,301665.0,304633.0,304633.0,310028.0
2.0,12000.0,217885.0,228215.0,225364.0,287269.0,294407.0,294407.0,308330.0
2.0,12000.0,217796.0,233194.0,228120.0,276152.0,279047.0,279047.0,301787.0
3.0,12000.0,222926.0,231755.0,227637.0,342806.0,365038.0,365038.0,372720.0
3.0,12000.0,221721.0,231499.0,228986.0,345163.0,354428.0,354428.0,371753.0
3.0,12000.0,225212.0,237811.0,233642.0,334976.0,336378.0,336378.0,367020.0
