wareh,capacity,QMK,CHISOL,CHI,KLINK,GP,GS,BS,RND
2.0,100.0,0.07405008635578583,0.050518134715025906,0.06627806563039723,0.03842832469775475,0.04209844559585492,0.0364853195164076,0.0,0.0
2.0,100.0,0.16079244413729554,0.15871918912692928,0.15871918912692928,0.13199723565998617,0.12347385395070261,-0.05736005528680028,0.0,0.0
2.0,100.0,0.29152542372881357,0.2887005649717514,0.2887005649717514,0.26242937853107345,0.25310734463276835,-0.14689265536723164,0.0,0.0
2.0,120.0,0.1748152359295054,0.15065378055713474,0.16913018760659465,0.0,0.1267765776009096,0.13700966458214894,0.12507106310403637,0.0
2.0,120.0,0.3118844386080105,0.3102429415627052,0.3131976362442548,0.0,0.2675640183847669,0.01871306631648063,0.2826657912015758,0.0
2.0,120.0,0.443461781427669,0.4472520530638029,0.4403032217308907,0.0,0.4333543903979785,-0.10107391029690461,0.443461781427669,0.0
3.0,100.0,0.07827221336425569,0.04145528337440209,0.07116973474416582,0.041020437744600666,0.03435280475431222,0.03797651833599072,0.0,0.0
3.0,100.0,0.1153903345724907,0.09769516728624535,0.11776951672862454,0.07048327137546469,0.0887732342007435,0.08356877323420074,0.0,0.0
3.0,100.0,0.15887251761691223,0.15022421524663676,0.14990390775144138,0.12395900064061499,0.13709160794362588,0.08552210121716848,0.0,0.0
3.0,120.0,0.11819757365684576,0.08509532062391681,0.12616984402079723,0.0,0.09480069324090121,0.08353552859618718,0.046447140381282497,0.0
3.0,120.0,0.1517155110793424,0.1579699785561115,0.14814152966404576,0.0,0.1472480343102216,0.11311651179413867,0.12401715511079342,0.0
3.0,120.0,0.2076,0.2268,0.2284,0.0,0.199,0.1656,0.2014,0.0
4.0,100.0,0.07467769399172951,0.03746047190464607,0.0687180734614449,0.03879834590124057,0.028825103381172463,0.019581610313792266,0.0,0.0
4.0,100.0,0.10358119870678936,0.07187266849042527,0.09810992290475007,0.05023625963690624,0.06602835115642874,0.012932106441183784,0.0,0.0
4.0,100.0,0.1337853696701004,0.10966227669839614,0.12948233146433694,0.08019298474377363,0.09675316208110575,0.011344373451558221,0.0,0.0
4.0,120.0,0.09364501679731244,0.05053191489361702,0.1082026875699888,0.0,0.04479283314669653,0.05375139977603583,0.023096304591265396,0.0
4.0,120.0,0.12275449101796407,0.09224408326204733,0.10949529512403763,0.0,0.09652124322783005,0.0474764756201882,0.07855717137154263,0.0
4.0,120.0,0.15239957875733415,0.16729351587182187,0.15089514066496162,0.0,0.15360312923123212,0.07687678652023469,0.13585075974123664,0.0
