wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,OPT,RND
2.0,40.0,0.0,12805.0,12805.0,12805.0,12805.0,12805.0,12805.0,13476.0,12805.0,13662.0,13662.0,12805.0,15501.0
2.0,40.0,0.0,12207.0,12207.0,12207.0,12207.0,12207.0,12207.0,13004.0,12207.0,14223.0,14223.0,12207.0,15452.0
2.0,40.0,0.0,11648.0,11648.0,11648.0,11648.0,11648.0,11648.0,12121.0,11648.0,14762.0,14762.0,11648.0,15314.0
3.0,40.0,0.0,15548.0,15332.0,15332.0,15332.0,15731.0,15332.0,16350.0,15392.0,16878.0,16878.0,15332.0,18594.0
3.0,40.0,0.0,14937.0,14866.0,14866.0,14866.0,15413.0,14866.0,15907.0,14921.0,16522.0,16522.0,14902.0,18496.0
3.0,40.0,0.0,14522.0,15444.0,14550.0,14550.0,14835.0,15444.0,15827.0,14550.0,16317.0,16317.0,14550.0,18479.0
4.0,40.0,0.0,17776.0,17580.0,17614.0,17606.0,17824.0,17580.0,18480.0,17604.0,19189.0,19189.0,17596.0,20536.0
4.0,40.0,0.0,17707.0,17128.0,17131.0,17128.0,17722.0,17128.0,18268.0,17131.0,19057.0,19057.0,17131.0,20525.0
4.0,40.0,0.0,16942.0,16714.0,16469.0,16469.0,17166.0,16714.0,17482.0,16469.0,19183.0,19183.0,16469.0,20348.0
2.0,48.0,8.0,11320.0,11320.0,11320.0,11320.0,11648.0,11320.0,11663.0,11320.0,11320.0,11503.0,11320.0,14411.0
2.0,48.0,8.0,10969.0,10969.0,10969.0,10969.0,11182.0,10969.0,11296.0,10969.0,11736.0,11120.0,10976.0,14361.0
2.0,48.0,8.0,10569.0,10569.0,10569.0,10569.0,10692.0,10569.0,10822.0,10569.0,12336.0,10665.0,10574.0,13946.0
3.0,48.0,8.0,13861.0,13855.0,14281.0,14051.0,14392.0,13855.0,14849.0,14281.0,14869.0,14473.0,14406.0,17371.0
3.0,48.0,8.0,13271.0,13348.0,13542.0,13464.0,13958.0,13348.0,14412.0,13542.0,14379.0,13771.0,13824.0,17247.0
3.0,48.0,8.0,12992.0,13081.0,13220.0,13105.0,13561.0,13081.0,13971.0,13169.0,14150.0,13390.0,13378.0,17231.0
4.0,48.0,8.0,16237.0,15930.0,16237.0,16076.0,16548.0,15930.0,16521.0,16232.0,16649.0,16683.0,16996.0,19139.0
4.0,48.0,8.0,15855.0,15606.0,15826.0,15787.0,16655.0,15606.0,16280.0,15826.0,16548.0,16259.0,16683.0,19158.0
4.0,48.0,8.0,15483.0,15310.0,15411.0,15411.0,16198.0,15310.0,15959.0,15470.0,16443.0,15844.0,15967.0,19208.0
