wareh,capacity,buffer,QMKO,QMK,CHIM,CHI,KL,KLQ,GP,GS,BS,OPT,RND
2.0,20.0,0.0,9.918922838,0.037935099,0.266414131,0.338443967,0.062792296,0.02140003,0.054330075,0.493325679,0.000218102,1.099624771,0.066553252
2.0,20.0,0.0,1.44461574,0.040302191,0.271189008,0.233247357,0.024563725,0.036153294,6.9882e-5,0.000177305,0.000107342,0.635645858,0.000870995
3.0,20.0,0.0,83.792354088,0.11874014,0.305780294,0.425172889,0.067063296,0.235745807,0.00018504,0.000150544,0.000157608,6.739801051,0.000843824
3.0,20.0,0.0,14.099083291,0.089207651,0.286544635,0.284157226,0.073800988,0.140538324,0.000114346,0.000136007,0.000170422,2.410305363,0.000864503
4.0,20.0,0.0,4409.145877647,1.641856048,0.365339941,0.370933581,0.086464176,1.720836329,0.000144914,0.000140395,0.000149473,90.637394061,0.000802657
4.0,20.0,0.0,3203.391250813,0.326209932,0.498503821,0.426101292,0.081972392,0.21996166,0.00015308,0.00015338,0.000136628,22.599179786,0.000459848
2.0,24.0,4.0,14.36487173,0.097439728,0.403046739,0.451225895,0.0,0.0,0.000136528,0.000133802,0.000194678,40.594041115,0.087100301
2.0,24.0,4.0,7.47147947,0.131130467,0.505890984,0.531912214,0.0,0.0,0.000150634,0.000147188,0.00017483,14.667909185,0.00573334
3.0,24.0,4.0,1735.05658292,0.478577998,0.451598703,0.353162427,0.0,0.0,0.000141597,0.000138241,0.000150715,5731.919185061,0.017464897
3.0,24.0,4.0,434.775373135,0.217568352,0.686325886,0.52942479,0.0,0.0,0.000173808,0.000162968,0.000172396,1584.815937275,0.013700962
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
